village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Burungpal,Bastar,414,449575,village,30;63,3.8,Solapur–Chennai Economic Corridor,560.31,Kumar Maranga,2.63,Amagura,19.03,Visakhapatnam Port,195.35,ICD Raipur,244.72,Petrapole ICP,828.31,Visakhapatnam International Airport (VTZ),192.97,MMLP Visakhapatnam,195.35,Muktyala Terminal,291.26,FCI Depot Visakhapatnam,195.35
Kakarwada,Bastar,414,449113,village,30,10.46,Solapur–Chennai Economic Corridor,559.0,Kumar Maranga,10.78,Amagura,19.78,Visakhapatnam Port,187.47,ICD Raipur,252.88,Petrapole ICP,829.99,Visakhapatnam International Airport (VTZ),185.14,MMLP Visakhapatnam,187.47,Muktyala Terminal,286.97,FCI Depot Visakhapatnam,187.47
Sidmur,Bastar,414,449105,village,63,12.82,Solapur–Chennai Economic Corridor,563.38,NAKTISEMRA,12.15,Amagura,16.15,Visakhapatnam Port,184.19,ICD Raipur,253.56,Petrapole ICP,825.77,Visakhapatnam International Airport (VTZ),181.8,MMLP Visakhapatnam,184.19,Muktyala Terminal,290.17,FCI Depot Visakhapatnam,184.19
Sadgud,Bastar,414,449122,village,63,8.87,Solapur–Chennai Economic Corridor,565.23,NAKTISEMRA,8.37,Amagura,13.47,Visakhapatnam Port,187.33,ICD Raipur,249.59,Petrapole ICP,823.72,Visakhapatnam International Airport (VTZ),184.89,MMLP Visakhapatnam,187.33,Muktyala Terminal,293.16,FCI Depot Visakhapatnam,187.33
Jatam,Bastar,414,449127,village,63,6.39,Solapur–Chennai Economic Corridor,565.35,JAGDALPUR,5.55,Amagura,13.29,Visakhapatnam Port,190.7,ICD Raipur,246.34,Petrapole ICP,823.43,Visakhapatnam International Airport (VTZ),188.25,MMLP Visakhapatnam,190.7,Muktyala Terminal,294.52,FCI Depot Visakhapatnam,190.7
Chitapadar,Bastar,414,449078,village,63,5.78,Solapur–Chennai Economic Corridor,568.41,NAKTISEMRA,5.01,Amagura,10.16,Visakhapatnam Port,188.3,ICD Raipur,247.04,Petrapole ICP,820.46,Visakhapatnam International Airport (VTZ),185.81,MMLP Visakhapatnam,188.3,Muktyala Terminal,296.68,FCI Depot Visakhapatnam,188.3
Gumalwada,Bastar,414,449085,village,63,19.25,Solapur–Chennai Economic Corridor,566.89,NAKTISEMRA,18.96,Amagura,19.05,Visakhapatnam Port,174.27,ICD Raipur,261.25,Petrapole ICP,823.01,Visakhapatnam International Airport (VTZ),171.85,MMLP Visakhapatnam,174.27,Muktyala Terminal,290.19,FCI Depot Visakhapatnam,174.27
Kalaguda,Bastar,414,449084,village,63,15.74,Solapur–Chennai Economic Corridor,570.93,AMAGURA,15.3,Amagura,15.3,Visakhapatnam Port,175.33,ICD Raipur,258.24,Petrapole ICP,818.82,Visakhapatnam International Airport (VTZ),172.83,MMLP Visakhapatnam,175.33,Muktyala Terminal,294.61,FCI Depot Visakhapatnam,175.33
Malewahi,Bastar,414,449164,village,63,23.81,Solapur–Chennai Economic Corridor,523.81,Gidam,28.99,Amagura,76.9,Visakhapatnam Port,249.73,ICD Raipur,223.99,Petrapole ICP,866.59,Visakhapatnam International Airport (VTZ),247.71,MMLP Visakhapatnam,249.73,Vedadri Terminal,278.81,FCI FSD Durg,216.88
Pichi Koder,Bastar,414,449166,village,63,27.25,Solapur–Chennai Economic Corridor,529.45,Gidam,31.79,Amagura,72.07,Visakhapatnam Port,247.14,ICD Raipur,221.36,Petrapole ICP,860.83,Visakhapatnam International Airport (VTZ),245.05,MMLP Visakhapatnam,247.14,Vedadri Terminal,283.09,FCI FSD Durg,215.11
Mahima,Bastar,414,449172,village,30,24.43,Solapur–Chennai Economic Corridor,541.9,Silak Jhori,31.43,Amagura,61.39,Visakhapatnam Port,241.1,ICD Raipur,216.57,Petrapole ICP,848.04,Visakhapatnam International Airport (VTZ),238.86,MMLP Visakhapatnam,241.1,Muktyala Terminal,292.41,FCI FSD Durg,212.36
Tiratha,Bastar,414,449295,village,30,18.0,Solapur–Chennai Economic Corridor,548.93,Dilmili,25.76,Amagura,49.06,Visakhapatnam Port,230.01,ICD Raipur,220.8,Petrapole ICP,840.22,Visakhapatnam International Airport (VTZ),227.7,MMLP Visakhapatnam,230.01,Muktyala Terminal,294.25,FCI FSD Durg,218.44
Kurushpal,Bastar,414,449292,village,30,15.02,Solapur–Chennai Economic Corridor,552.04,Bade Arapur,24.45,Amagura,44.97,Visakhapatnam Port,226.77,ICD Raipur,221.51,Petrapole ICP,836.94,Visakhapatnam International Airport (VTZ),224.43,MMLP Visakhapatnam,226.77,Muktyala Terminal,295.86,FCI FSD Durg,219.81
Nadisagar,Bastar,414,449339,village,30,8.87,Solapur–Chennai Economic Corridor,558.47,Bade Arapur,17.65,Amagura,33.03,Visakhapatnam Port,215.89,ICD Raipur,227.04,Petrapole ICP,830.09,Visakhapatnam International Airport (VTZ),213.48,MMLP Visakhapatnam,215.89,Muktyala Terminal,297.55,FCI Depot Visakhapatnam,215.89
Pralee,Bastar,414,449338,village,30,10.18,Solapur–Chennai Economic Corridor,557.35,Bade Arapur,15.65,Amagura,32.41,Visakhapatnam Port,214.41,ICD Raipur,229.03,Petrapole ICP,831.17,Visakhapatnam International Airport (VTZ),212.02,MMLP Visakhapatnam,214.41,Muktyala Terminal,295.86,FCI Depot Visakhapatnam,214.41
Marlenga,Bastar,414,449340,village,30,7.67,Solapur–Chennai Economic Corridor,560.63,Kumar Maranga,12.32,Amagura,27.15,Visakhapatnam Port,209.86,ICD Raipur,231.2,Petrapole ICP,827.82,Visakhapatnam International Airport (VTZ),207.44,MMLP Visakhapatnam,209.86,Muktyala Terminal,297.23,FCI Depot Visakhapatnam,209.86
Salemeta,Bastar,414,449364,village,30,2.83,Solapur–Chennai Economic Corridor,564.57,Kumar Maranga,20.03,Amagura,30.97,Visakhapatnam Port,216.37,ICD Raipur,223.12,Petrapole ICP,824.03,Visakhapatnam International Airport (VTZ),213.88,MMLP Visakhapatnam,216.37,Muktyala Terminal,303.64,FCI Depot Visakhapatnam,216.37
Lamker,Bastar,414,449333,village,30,4.37,Solapur–Chennai Economic Corridor,563.31,Kumar Maranga,21.9,Amagura,33.53,Visakhapatnam Port,218.73,ICD Raipur,221.72,Petrapole ICP,825.37,Visakhapatnam International Airport (VTZ),216.25,MMLP Visakhapatnam,218.73,Muktyala Terminal,303.38,FCI Depot Visakhapatnam,218.73
Jhartarai,Bastar,414,449334,village,30,6.16,Solapur–Chennai Economic Corridor,561.46,Kumar Maranga,20.96,Amagura,33.78,Visakhapatnam Port,218.28,ICD Raipur,223.17,Petrapole ICP,827.19,Visakhapatnam International Airport (VTZ),215.83,MMLP Visakhapatnam,218.28,Muktyala Terminal,301.42,FCI Depot Visakhapatnam,218.28
Lohandiguda,Bastar,414,449231,village,63,17.63,Solapur–Chennai Economic Corridor,549.0,Bade Arapur,19.0,Amagura,42.85,Visakhapatnam Port,222.22,ICD Raipur,227.44,Petrapole ICP,839.73,Visakhapatnam International Airport (VTZ),219.93,MMLP Visakhapatnam,222.22,Muktyala Terminal,290.95,FCI Depot Visakhapatnam,222.22
Benidharaur,Bastar,414,449230,village,30,17.44,Solapur–Chennai Economic Corridor,549.9,Bade Arapur,19.82,Amagura,42.8,Visakhapatnam Port,222.8,ICD Raipur,226.34,Petrapole ICP,838.85,Visakhapatnam International Airport (VTZ),220.49,MMLP Visakhapatnam,222.8,Muktyala Terminal,292.09,FCI Depot Visakhapatnam,222.8
Bodara,Bastar,414,449289,village,30,15.62,Solapur–Chennai Economic Corridor,551.63,Bade Arapur,21.02,Amagura,42.45,Visakhapatnam Port,223.45,ICD Raipur,224.64,Petrapole ICP,837.17,Visakhapatnam International Airport (VTZ),221.13,MMLP Visakhapatnam,223.45,Muktyala Terminal,294.05,FCI FSD Durg,223.12
Chhotealnar,Bastar,414,449309,village,30,5.47,Solapur–Chennai Economic Corridor,561.64,Bade Arapur,27.32,Amagura,39.75,Visakhapatnam Port,224.95,ICD Raipur,217.17,Petrapole ICP,827.32,Visakhapatnam International Airport (VTZ),222.49,MMLP Visakhapatnam,224.95,Muktyala Terminal,304.32,FCI FSD Durg,216.92
Jatanpal,Bastar,414,449302,village,30,13.01,Solapur–Chennai Economic Corridor,553.99,Bade Arapur,26.33,Amagura,45.18,Visakhapatnam Port,227.98,ICD Raipur,219.22,Petrapole ICP,835.09,Visakhapatnam International Airport (VTZ),225.61,MMLP Visakhapatnam,227.98,Muktyala Terminal,298.26,FCI FSD Durg,217.69
Guriya,Bastar,414,449301,village,30,11.44,Solapur–Chennai Economic Corridor,555.48,Bade Arapur,28.31,Amagura,45.86,Visakhapatnam Port,229.42,ICD Raipur,217.04,Petrapole ICP,833.7,Visakhapatnam International Airport (VTZ),227.03,MMLP Visakhapatnam,229.42,Muktyala Terminal,300.3,FCI FSD Durg,215.6
Kawadgaon,Bastar,414,449300,village,30,11.1,Solapur–Chennai Economic Corridor,555.61,Bade Arapur,31.0,Amagura,48.27,Visakhapatnam Port,232.15,ICD Raipur,214.63,Petrapole ICP,833.77,Visakhapatnam International Airport (VTZ),229.75,MMLP Visakhapatnam,232.15,Muktyala Terminal,301.59,FCI FSD Durg,213.0
Mandlapal,Bastar,414,449314,village,30,9.61,Solapur–Chennai Economic Corridor,556.7,Bade Arapur,35.9,Amagura,52.18,Visakhapatnam Port,236.79,ICD Raipur,210.02,Petrapole ICP,833.08,Visakhapatnam International Airport (VTZ),234.37,MMLP Visakhapatnam,236.79,Muktyala Terminal,304.62,FCI FSD Durg,208.17
