district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
NORTH TWENTY-FOUR PARGANAS,1635,10.65,12.54,47.706422018348626,88.01223241590213,100.0,46.95,46.08,0.0,12.35474006116208,55.779816513761475,47.89,49.56,0.0,7.767584097859327,53.51681957186545,255.94,253.58,0.0,0.0,0.0,43.06,40.47,5.382262996941896,25.137614678899084,65.62691131498471,35.06,35.92,6.055045871559633,31.25382262996942,77.73700305810397,44.14,45.77,0.3669724770642202,12.660550458715598,60.12232415902141,98.21,102.0,0.0,0.0,0.0,44.14,45.77,0.3669724770642202,12.660550458715598,60.12232415902141,6917382.0
Nadia,1363,5.59,10.17,69.4057226705796,88.62802641232575,99.85326485693324,78.95,79.49,0.0,0.0,13.646368305209098,98.12,99.56,0.0,0.0,2.494497432134996,243.19,245.32,0.0,0.0,0.0,51.01,57.15,0.0,7.263389581804843,49.00953778429934,85.33,86.5,0.0,0.0,15.700660308143801,95.13,96.48,0.0,0.0,6.089508437270727,131.85,133.42,0.0,0.0,0.0,95.13,96.48,0.0,0.0,6.089508437270727,5288972.0
PURBA MEDINIPUR,3023,6.48,8.11,68.77274230896461,100.0,100.0,86.52,84.17,0.0,0.0,5.921270261329805,86.52,83.93,0.0,0.0,5.458154151505128,179.62,180.2,0.0,0.0,0.0,162.64,160.06,0.0,0.0,0.0,102.67,100.38,0.0,0.0,0.0,90.63,88.46,0.0,0.0,1.0254713860403573,42.02,40.99,3.0764141581210716,16.903738008600726,70.49288785974198,62.95,64.98,0.0,0.0,15.018193847171684,5248089.0
Paschim Bardhaman,406,5.545,6.77,74.63054187192118,100.0,100.0,23.005000000000003,22.95,11.576354679802956,57.14285714285714,100.0,167.07999999999998,169.57,0.0,0.0,0.0,137.65499999999997,138.07,0.0,0.0,0.0,179.53,181.4,0.0,0.0,0.0,167.555,170.06,0.0,0.0,0.0,167.72500000000002,170.15,0.0,0.0,0.0,143.715,143.78,0.0,0.0,0.0,137.065,138.44,0.0,0.0,0.0,6176571.0
Paschim Medinipur,5714,9.75,10.96,50.91004550227511,95.50227511375569,100.0,83.08,84.88,0.0,0.0,4.602730136506826,97.74000000000001,97.05,0.0,0.0,0.21001050052502626,134.35500000000002,131.93,0.0,0.0,0.0,161.06,161.67,0.0,0.0,0.0,110.43,110.04,0.0,0.0,0.0,101.155,100.68,0.0,0.0,0.052502625131256565,80.13499999999999,82.55,0.0,0.0,2.9226461323066153,31.915,32.59,4.3227161358067905,32.97164858242912,88.8694434721736,4140171.0
Purba Bardhaman,2191,7.43,8.22,66.54495664080329,99.08717480602465,100.0,53.37,54.67,0.0,2.464628023733455,43.587403012323136,93.44,94.83,0.0,0.0,0.0,191.44,190.04,0.0,0.0,0.0,93.04,93.94,0.0,0.0,0.4107713372889092,87.92,90.1,0.0,0.0,0.0,92.32,93.94,0.0,0.0,0.0,133.43,131.39,0.0,0.0,0.0,92.09,92.89,0.0,0.0,0.0,6176571.0
Puruliya,2699,7.58,12.52,59.577621341237496,81.62282326787698,100.0,61.54,63.64,0.0,0.07410151908114117,27.121155983697665,203.08,207.25,0.0,0.0,0.0,61.77,64.79,0.0,0.7410151908114117,27.565765098184514,238.29,243.73,0.0,0.0,0.0,209.24,213.22,0.0,0.0,0.0,205.01,208.88,0.0,0.0,0.0,197.31,202.09,0.0,0.0,0.0,104.93,104.01,0.0,0.0,0.0,3021701.0
SOUTH TWENTY-FOUR PARGANAS,2175,6.62,8.55,66.16091954022988,96.82758620689656,99.44827586206897,37.94,42.13,0.27586206896551724,19.632183908045977,72.55172413793105,37.94,42.2,0.27586206896551724,19.632183908045977,72.55172413793105,228.91,230.1,0.0,0.0,0.04597701149425287,104.33,105.76,0.0,0.0,0.0,49.18,52.18,0.09195402298850575,6.344827586206897,51.44827586206897,39.84,44.0,0.22988505747126436,17.28735632183908,68.82758620689656,39.13,42.02,0.0,17.839080459770116,72.183908045977,39.84,43.94,0.22988505747126436,17.28735632183908,68.82758620689656,8744550.0
UTTAR DINAJPUR,1499,9.08,9.75,55.10340226817878,99.866577718479,100.0,58.35,63.61,0.46697798532354906,8.539026017344895,42.8285523682455,351.47,356.53,0.0,0.0,0.0,107.81,102.22,0.0,0.0,9.539693128752502,59.29,58.58,0.0,3.602401601067378,35.156771180787196,301.39,301.15,0.0,0.0,0.0,246.93,244.44,0.0,0.0,0.0,77.66,83.05,0.0,0.0,2.935290193462308,107.91,102.34,0.0,0.0,9.539693128752502,2973383.0
__STATE__,41322,,9.60002925021739,55.851604472194,92.6576641982479,99.96611974251005,,63.5019319694448,2.359517932336286,11.761289385799332,34.53124243744252,,151.57458000463964,0.06534049658777406,2.0449155413581144,10.7981220657277,,173.23459704914998,0.25410193117467694,1.2269493248148686,5.0675185131407,,113.4689882269504,0.21296161850830067,2.320797638062049,11.470887178742558,,131.9472004224839,0.24442185760611781,1.9892551183388993,10.173757320555636,,117.59046731114921,0.05324040462707517,2.025555394220996,10.604520594356517,,94.46810292399911,0.44044334736943996,3.3952858041721115,15.739799622477129,,83.60445471538247,0.9946275591694497,8.457964280528532,33.461594308116744,98666959.0
