village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Dabem,NORTH GOA,585,626789,village,KARMALI,21.04,ICD Mangalore (Panambur),301.12,Mormugao Port,37.21,Mangaluru International Airport (IXE),297.9,Rupaidiha ICP,1568.96
Bombedem,NORTH GOA,585,626802,village,CASTLE ROCK,24.48,ICD Mangalore (Panambur),298.48,Mormugao Port,42.22,Mangaluru International Airport (IXE),295.17,Rupaidiha ICP,1567.43
Ambedem,NORTH GOA,585,626803,village,CASTLE ROCK,24.99,ICD Mangalore (Panambur),299.07,Mormugao Port,42.27,Mangaluru International Airport (IXE),295.76,Rupaidiha ICP,1566.99
Edorem,NORTH GOA,585,626791,village,KARMALI,24.85,ICD Mangalore (Panambur),300.91,Mormugao Port,40.97,Mangaluru International Airport (IXE),297.63,Rupaidiha ICP,1566.6
Ansolem,NORTH GOA,585,626814,village,KARMALI,20.64,ICD Mangalore (Panambur),296.06,Mormugao Port,36.18,Mangaluru International Airport (IXE),292.86,Rupaidiha ICP,1573.1
Siranguli,NORTH GOA,585,626834,village,KULEM,18.29,ICD Mangalore (Panambur),291.76,Mormugao Port,42.52,Mangaluru International Airport (IXE),288.44,Rupaidiha ICP,1572.29
Tivrem,SOUTH GOA,586,626843,village,KARMALI,4.57,ICD Mangalore (Panambur),299.38,Mormugao Port,20.71,Mangaluru International Airport (IXE),296.47,Rupaidiha ICP,1581.45
Boma,SOUTH GOA,586,626848,village,KARMALI,4.71,ICD Mangalore (Panambur),296.74,Mormugao Port,19.57,Mangaluru International Airport (IXE),293.85,Rupaidiha ICP,1583.98
Curti,SOUTH GOA,586,626870,village,KARMALI,13.85,ICD Mangalore (Panambur),288.27,Mormugao Port,25.01,Mangaluru International Airport (IXE),285.3,Rupaidiha ICP,1587.15
Arvalem,NORTH GOA,585,917385,village,KARMALI,14.08,ICD Mangalore (Panambur),303.23,Mormugao Port,30.37,Mangaluru International Airport (IXE),300.15,Rupaidiha ICP,1572.39
Poroscodem,NORTH GOA,585,626640,village,PERNEM,3.02,ICD Pune,304.39,Mormugao Port,35.22,Pune Airport (PNQ),311.33,Rupaidiha ICP,1565.69
Velsao,SOUTH GOA,586,626882,village,CANSAULIM,1.13,ICD Mangalore (Panambur),286.89,Mormugao Port,12.43,Mangaluru International Airport (IXE),284.23,Rupaidiha ICP,1599.58
Chandor,SOUTH GOA,586,626911,village,CHANDAR,1.26,ICD Mangalore (Panambur),271.64,Mormugao Port,32.87,Mangaluru International Airport (IXE),268.72,Rupaidiha ICP,1600.46
Loliem,SOUTH GOA,586,627027,village,LOLIEM,0.86,ICD Mangalore (Panambur),236.91,Mormugao Port,60.88,Mangaluru International Airport (IXE),234.22,Rupaidiha ICP,1632.12
Poinguinim,SOUTH GOA,586,627026,village,LOLIEM,4.66,ICD Mangalore (Panambur),240.84,Mormugao Port,57.78,Mangaluru International Airport (IXE),238.06,Rupaidiha ICP,1626.85
Canacona (M CI),SOUTH GOA,586,252100,village,CANCONA,0.59,ICD Mangalore (Panambur),245.67,Mormugao Port,52.12,Mangaluru International Airport (IXE),242.99,Rupaidiha ICP,1626.55
Cotigao,SOUTH GOA,586,627028,village,ASNOTI,13.41,ICD Mangalore (Panambur),236.69,Mormugao Port,65.84,Mangaluru International Airport (IXE),233.62,Rupaidiha ICP,1621.78
Canacona,SOUTH GOA,586,627024,village,CANCONA,4.0,ICD Mangalore (Panambur),246.23,Mormugao Port,52.31,Mangaluru International Airport (IXE),243.47,Rupaidiha ICP,1623.74
Gaodongrem,SOUTH GOA,586,627025,village,LOLIEM,10.29,ICD Mangalore (Panambur),243.54,Mormugao Port,56.86,Mangaluru International Airport (IXE),240.63,Rupaidiha ICP,1621.21
Nundem,SOUTH GOA,586,627019,village,LOLIEM,17.68,ICD Mangalore (Panambur),245.24,Mormugao Port,58.81,Mangaluru International Airport (IXE),242.16,Rupaidiha ICP,1614.72
Agonda,SOUTH GOA,586,627023,village,CANCONA,5.4,ICD Mangalore (Panambur),250.7,Mormugao Port,46.72,Mangaluru International Airport (IXE),248.08,Rupaidiha ICP,1625.13
Quisconda,SOUTH GOA,586,626963,village,CANCONA,9.03,ICD Mangalore (Panambur),249.72,Mormugao Port,50.26,Mangaluru International Airport (IXE),246.87,Rupaidiha ICP,1618.35
Mangal,SOUTH GOA,586,626968,village,CANCONA,16.16,ICD Mangalore (Panambur),246.43,Mormugao Port,56.74,Mangaluru International Airport (IXE),243.39,Rupaidiha ICP,1615.2
Barcem,SOUTH GOA,586,626961,village,CANCONA,6.22,ICD Mangalore (Panambur),251.6,Mormugao Port,46.67,Mangaluru International Airport (IXE),248.88,Rupaidiha ICP,1621.23
Corla,SOUTH GOA,586,626966,village,CANCONA,11.7,ICD Mangalore (Panambur),249.75,Mormugao Port,51.38,Mangaluru International Airport (IXE),246.83,Rupaidiha ICP,1616.32
Cazur,SOUTH GOA,586,626967,village,CANCONA,14.57,ICD Mangalore (Panambur),248.98,Mormugao Port,53.53,Mangaluru International Airport (IXE),245.98,Rupaidiha ICP,1614.67
Verlem,SOUTH GOA,586,627020,village,LOLIEM,21.92,ICD Mangalore (Panambur),242.73,Mormugao Port,64.04,Mangaluru International Airport (IXE),239.52,Rupaidiha ICP,1612.92
Gocoldem,SOUTH GOA,586,626962,village,CANCONA,8.58,ICD Mangalore (Panambur),251.49,Mormugao Port,47.99,Mangaluru International Airport (IXE),248.68,Rupaidiha ICP,1618.31
Cola,SOUTH GOA,586,627022,village,BALLI,9.49,ICD Mangalore (Panambur),256.35,Mormugao Port,40.9,Mangaluru International Airport (IXE),253.78,Rupaidiha ICP,1622.64
Quedem,SOUTH GOA,586,626960,village,BALLI,6.93,ICD Mangalore (Panambur),255.04,Mormugao Port,43.02,Mangaluru International Airport (IXE),252.34,Rupaidiha ICP,1619.77
Vichundrem,SOUTH GOA,586,627016,village,CANCONA,19.13,ICD Mangalore (Panambur),250.1,Mormugao Port,54.87,Mangaluru International Airport (IXE),247.01,Rupaidiha ICP,1610.88
Padi,SOUTH GOA,586,626959,village,BALLI,6.79,ICD Mangalore (Panambur),254.61,Mormugao Port,44.31,Mangaluru International Airport (IXE),251.84,Rupaidiha ICP,1617.7
Neturlim,SOUTH GOA,586,627018,village,CANCONA,21.96,ICD Mangalore (Panambur),247.53,Mormugao Port,58.93,Mangaluru International Airport (IXE),244.36,Rupaidiha ICP,1610.61
