state,district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
Andaman and Nicobar Islands,NICOBARS,86,381.855,425.21,0.0,0.0,0.0,1605.28,1622.83,0.0,0.0,0.0,1509.465,1537.1,0.0,0.0,0.0,1510.535,1552.02,0.0,0.0,0.0,1504.6550000000002,1539.43,0.0,0.0,0.0,1550.865,1571.73,0.0,0.0,0.0,1623.06,1660.31,0.0,0.0,0.0,1526.875,1559.76,0.0,0.0,0.0,1524.915,1558.45,0.0,0.0,0.0,1504.6550000000002,1549.78,0.0,0.0,0.0,1524.915,1556.59,0.0,0.0,0.0,35779.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,305,6.49,9.07,69.50819672131148,93.44262295081968,99.34426229508196,1157.82,1162.97,0.0,0.0,0.0,1044.14,1050.29,0.0,0.0,0.0,1044.61,1050.76,0.0,0.0,0.0,1037.72,1043.86,0.0,0.0,0.0,1097.26,1103.18,0.0,0.0,0.0,1107.8,1110.2,0.0,0.0,0.0,1096.8,1102.7,0.0,0.0,0.0,1152.84,1152.36,0.0,0.0,0.0,1037.72,1043.86,0.0,0.0,0.0,1100.41,1106.32,0.0,0.0,0.0,105930.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,191,5.85,15.91,63.87434554973822,74.86910994764398,94.24083769633508,1272.36,1272.76,0.0,0.0,0.0,1140.62,1141.15,0.0,0.0,0.0,1141.03,1141.56,0.0,0.0,0.0,1134.68,1135.18,0.0,0.0,0.0,1188.05,1188.87,0.0,0.0,0.0,1239.01,1237.27,0.0,0.0,0.0,1187.25,1187.9,0.0,0.0,0.0,1209.65,1209.74,0.0,0.0,0.0,1134.68,1135.18,0.0,0.0,0.0,1191.26,1191.64,0.0,0.0,0.0,238872.0
Andaman and Nicobar Islands,__STATE__,582,,52.485087826244616,57.38831615120274,73.53951890034365,82.9896907216495,,1275.111929891403,0.0,0.0,0.0,,1153.08410929605,0.0,0.0,0.0,,1154.874916771988,0.0,0.0,0.0,,1147.7663696558684,0.0,0.0,0.0,,1201.0125038033952,0.0,0.0,0.0,,1241.6722772024875,0.0,0.0,0.0,,1199.1447624552986,0.0,0.0,0.0,,1226.5517475386316,0.0,0.0,0.0,,1148.7393889342873,0.0,0.0,0.0,,1202.2017423097843,0.0,0.0,0.0,380581.0
Andhra Pradesh,Alluri Sitharama Raju,3428,8.96,11.25,54.78413068844807,88.44807467911319,100.0,563.37,549.5,0.0,0.0,0.0,37.405,36.72,12.485414235705951,31.70945157526254,73.97899649941657,127.89,128.97,0.0,0.0,0.0,93.32,103.3,0.0,0.0,0.6417736289381564,356.96,352.61,0.0,0.0,0.0,848.5699999999999,864.08,0.0,0.0,0.0,92.19,102.31,0.0,0.0,1.3418903150525088,93.32,97.65,0.0,0.0,0.6417736289381564,258.135,242.92,0.0,0.0,0.0,93.32,97.65,0.0,0.0,0.6417736289381564,3661007.0
Andhra Pradesh,Anakapalli,736,12.73,12.46,39.40217391304348,96.05978260869566,100.0,575.095,573.15,0.0,0.0,0.0,14.66,15.71,35.59782608695652,79.8913043478261,100.0,166.22,167.18,0.0,0.0,0.0,43.195,45.63,0.2717391304347826,13.722826086956522,61.95652173913043,402.115,404.41,0.0,0.0,0.0,847.755,850.85,0.0,0.0,0.0,42.285,46.1,0.5434782608695652,12.907608695652172,61.27717391304349,43.195,45.63,0.2717391304347826,13.722826086956522,61.95652173913043,266.355,263.36,0.0,0.0,0.0,43.195,45.63,0.2717391304347826,13.722826086956522,61.95652173913043,1552458.0
Andhra Pradesh,Ananthapuramu,512,7.355,11.15,60.7421875,86.5234375,100.0,151.75,150.67,0.0,0.0,0.0,10.74,14.2,47.65625,82.6171875,99.8046875,161.64999999999998,156.79,0.0,0.0,0.0,285.43,284.11,0.0,0.0,0.0,210.82,208.13,0.0,0.0,0.0,1477.91,1482.94,0.0,0.0,0.0,186.94,184.84,0.0,0.0,0.0,45.1,44.65,5.078125,19.140625,60.7421875,368.965,374.46,0.0,0.0,0.0,155.655,152.47,0.0,0.0,0.0,2233808.0
Andhra Pradesh,Annamayya,543,6.18,7.65,68.32412523020258,99.4475138121547,100.0,94.05,92.89,0.0,0.0,0.0,14.11,16.42,37.01657458563536,77.71639042357275,100.0,150.54,145.97,0.0,0.0,0.0,150.54,146.56,0.0,0.0,0.0,116.25,117.31,0.0,0.0,0.0,1446.71,1442.69,0.0,0.0,0.0,139.64,135.26,0.0,0.0,0.0,134.79,133.38,0.0,0.0,0.0,340.3,339.44,0.0,0.0,0.0,80.11,78.78,0.0,0.5524861878453038,8.655616942909761,1458898.0
Andhra Pradesh,Bapatla,286,5.25,6.3,78.32167832167832,99.65034965034964,100.0,293.29,292.71,0.0,0.0,0.0,9.265,11.63,53.4965034965035,88.81118881118881,100.0,108.855,107.73,0.0,0.0,0.0,193.525,193.28,0.0,0.0,0.0,266.115,262.29,0.0,0.0,0.0,1166.605,1164.9,0.0,0.0,0.0,255.43,251.75,0.0,0.0,0.0,68.36500000000001,70.3,0.0,0.0,21.67832167832168,66.845,67.84,0.0,0.0,21.67832167832168,48.65,49.93,0.0,3.146853146853147,54.1958041958042,1792828.0
Andhra Pradesh,Chittoor,847,4.32,5.1,87.2491145218418,100.0,100.0,31.09,39.77,27.03659976387249,46.51711924439197,60.68476977567887,13.25,14.85,37.89846517119244,83.82526564344747,100.0,138.62,139.13,0.0,0.0,0.0,147.89,153.59,0.0,0.0,0.0,62.17,61.27,0.1180637544273907,6.8476977567886665,42.14876033057851,1489.17,1499.99,0.0,0.0,0.0,100.72,101.81,0.0,0.0,0.0,103.04,97.26,0.0,0.4722550177095631,6.375442739079102,382.85,385.31,0.0,0.0,0.0,63.78,62.65,0.0,1.6528925619834711,28.68949232585597,1900506.0
