state,district,district_code,pop_2011,is_island,primary_port,primary_port_probability,primary_port_drive_hours,secondary_port,secondary_port_probability,secondary_port_drive_hours,hinterland_category,contestability_index
Arunachal Pradesh,DIBANG VALLEY,257.0,7871,False,Paradip Port,23.7,37.52,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.0,30.57,Highly Contested / Split Hinterland,0.933
Arunachal Pradesh,EAST KAMENG,247.0,44539,False,Paradip Port,23.7,37.57,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.0,30.62,Highly Contested / Split Hinterland,0.933
Arunachal Pradesh,EAST SIANG,251.0,41837,False,Paradip Port,24.2,34.16,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.0,27.22,Highly Contested / Split Hinterland,0.938
Arunachal Pradesh,KAMLE,733.0,51100,False,Paradip Port,23.8,36.82,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.2,29.88,Highly Contested / Split Hinterland,0.934
Arunachal Pradesh,KEYI PANYOR,789.0,42310,False,Paradip Port,24.0,35.82,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.5,28.87,Highly Contested / Split Hinterland,0.935
Arunachal Pradesh,KRA DAADI,721.0,31538,False,Paradip Port,23.8,37.18,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.1,30.24,Highly Contested / Split Hinterland,0.933
Arunachal Pradesh,KURUNG KUMEY,256.0,62189,False,Paradip Port,23.6,38.11,Syama Prasad Mookerjee Port (Kolkata/Haldia),16.8,31.17,Highly Contested / Split Hinterland,0.932
Arunachal Pradesh,LEPA RADA,729.0,10341,False,Paradip Port,23.9,36.25,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.3,29.31,Highly Contested / Split Hinterland,0.934
Arunachal Pradesh,LOHIT,259.0,93174,False,Paradip Port,24.0,35.44,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.6,28.5,Highly Contested / Split Hinterland,0.936
Arunachal Pradesh,LONGDING,680.0,48699,False,Paradip Port,24.5,32.77,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.5,25.83,Highly Contested / Split Hinterland,0.941
Arunachal Pradesh,LOWER DIBANG VALLEY,258.0,31748,False,Paradip Port,24.2,34.67,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.8,27.73,Highly Contested / Split Hinterland,0.937
Arunachal Pradesh,LOWER SIANG,723.0,30643,False,Paradip Port,23.8,36.91,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.2,29.97,Highly Contested / Split Hinterland,0.934
Arunachal Pradesh,LOWER SUBANSIRI,255.0,8729,False,Paradip Port,23.9,36.0,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.4,29.06,Highly Contested / Split Hinterland,0.935
Arunachal Pradesh,NAMSAI,724.0,47658,False,Paradip Port,24.2,34.3,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.0,27.35,Highly Contested / Split Hinterland,0.938
Arunachal Pradesh,PAKKE KESSANG,726.0,23662,False,Paradip Port,23.9,36.3,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.3,29.36,Highly Contested / Split Hinterland,0.934
Arunachal Pradesh,PAPUMPARE,248.0,144822,False,Paradip Port,24.0,35.44,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.6,28.5,Highly Contested / Split Hinterland,0.936
Arunachal Pradesh,SHI YOMI,730.0,35999,False,Paradip Port,23.4,39.59,Syama Prasad Mookerjee Port (Kolkata/Haldia),16.5,32.64,Highly Contested / Split Hinterland,0.93
Arunachal Pradesh,SIANG,722.0,150926,False,Paradip Port,23.9,35.97,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.4,29.02,Highly Contested / Split Hinterland,0.935
Arunachal Pradesh,TAWANG,245.0,48527,False,Paradip Port,25.4,27.86,Syama Prasad Mookerjee Port (Kolkata/Haldia),20.8,20.92,Highly Contested / Split Hinterland,0.954
Arunachal Pradesh,TIRAP,254.0,54464,False,Paradip Port,24.3,33.51,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.2,26.57,Highly Contested / Split Hinterland,0.939
Arunachal Pradesh,UPPER SIANG,252.0,32360,False,Paradip Port,23.9,36.59,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.2,29.65,Highly Contested / Split Hinterland,0.934
Arunachal Pradesh,UPPER SUBANSIRI,249.0,73724,False,Paradip Port,23.6,38.04,Syama Prasad Mookerjee Port (Kolkata/Haldia),16.8,31.1,Highly Contested / Split Hinterland,0.932
Arunachal Pradesh,WEST KAMENG,246.0,58931,False,Paradip Port,25.5,26.88,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.4,19.93,Highly Contested / Split Hinterland,0.958
Arunachal Pradesh,WEST SIANG,250.0,17992,False,Paradip Port,24.0,35.37,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.6,28.43,Highly Contested / Split Hinterland,0.936
Assam,BAJALI,771.0,347190,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),27.0,13.5,Paradip Port,26.6,20.44,Highly Contested / Split Hinterland,0.996
Assam,BAKSA,324.0,644490,False,Paradip Port,26.6,21.02,Syama Prasad Mookerjee Port (Kolkata/Haldia),26.3,14.07,Highly Contested / Split Hinterland,0.998
Assam,BARPETA,303.0,1249015,False,Paradip Port,26.3,22.72,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.5,15.78,Highly Contested / Split Hinterland,0.982
Assam,BISWANATH,734.0,802369,False,Paradip Port,24.0,35.61,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.6,28.66,Highly Contested / Split Hinterland,0.936
Assam,BONGAIGAON,319.0,732606,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),28.5,12.37,Paradip Port,26.7,19.32,Highly Contested / Split Hinterland,0.982
Assam,CACHAR,316.0,1692478,False,Paradip Port,25.4,27.44,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.0,20.5,Highly Contested / Split Hinterland,0.956
Assam,CHARAIDEO,704.0,430435,False,Paradip Port,24.6,31.88,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.9,24.94,Highly Contested / Split Hinterland,0.942
Assam,CHIRANG,320.0,484461,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),27.7,12.94,Paradip Port,26.7,19.88,Highly Contested / Split Hinterland,0.99
Assam,DARANG,325.0,879320,False,Paradip Port,25.7,25.79,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.1,18.85,Highly Contested / Split Hinterland,0.963
Assam,DHEMAJI,308.0,628833,False,Paradip Port,24.5,32.59,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.6,25.65,Highly Contested / Split Hinterland,0.941
Assam,DHUBRI,301.0,1536110,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),30.6,11.08,Paradip Port,26.8,18.02,Highly Contested / Split Hinterland,0.962
Assam,DIBRUGARH,310.0,1284755,False,Paradip Port,24.5,32.62,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.6,25.68,Highly Contested / Split Hinterland,0.941
Assam,DIMA HASAO,315.0,208267,False,Paradip Port,25.6,26.79,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.4,19.85,Highly Contested / Split Hinterland,0.959
Assam,GOALPARA,302.0,929871,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),27.8,12.92,Paradip Port,26.7,19.86,Highly Contested / Split Hinterland,0.99
Assam,GOLAGHAT,313.0,989342,False,Paradip Port,25.7,26.13,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.8,19.19,Highly Contested / Split Hinterland,0.962
Assam,HAILAKANDI,318.0,638555,False,Paradip Port,25.6,26.36,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.7,19.41,Highly Contested / Split Hinterland,0.961
Assam,HOJAI,720.0,1004841,False,Paradip Port,26.1,24.07,Syama Prasad Mookerjee Port (Kolkata/Haldia),23.4,17.13,Highly Contested / Split Hinterland,0.973
Assam,JORHAT,312.0,661885,False,Paradip Port,25.7,26.14,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.8,19.19,Highly Contested / Split Hinterland,0.962
Assam,KAMRUP METRO,322.0,938849,False,Paradip Port,26.4,21.99,Syama Prasad Mookerjee Port (Kolkata/Haldia),25.2,15.05,Highly Contested / Split Hinterland,0.988
Assam,KAMRUP RURAL,321.0,1739069,False,Paradip Port,26.5,21.29,Syama Prasad Mookerjee Port (Kolkata/Haldia),26.0,14.35,Highly Contested / Split Hinterland,0.995
Assam,KARBI ANGLONG,314.0,655159,False,Paradip Port,25.9,25.04,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.6,18.1,Highly Contested / Split Hinterland,0.967
Assam,KOKRAJHAR,300.0,891372,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),30.5,11.1,Paradip Port,26.8,18.04,Highly Contested / Split Hinterland,0.963
Assam,LAKHIMPUR,307.0,1020821,False,Paradip Port,24.2,34.18,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.0,27.24,Highly Contested / Split Hinterland,0.938
Assam,MAJULI,707.0,442902,False,Paradip Port,24.7,31.58,Syama Prasad Mookerjee Port (Kolkata/Haldia),19.0,24.63,Highly Contested / Split Hinterland,0.943
Assam,MARIGAON,304.0,884980,False,Paradip Port,26.2,23.15,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.1,16.21,Highly Contested / Split Hinterland,0.979
Assam,NAGAON,305.0,1745268,False,Paradip Port,26.2,23.38,Syama Prasad Mookerjee Port (Kolkata/Haldia),23.9,16.44,Highly Contested / Split Hinterland,0.977
Assam,NALBARI,323.0,757493,False,Paradip Port,26.4,22.28,Syama Prasad Mookerjee Port (Kolkata/Haldia),25.0,15.34,Highly Contested / Split Hinterland,0.986
Assam,SIBSAGAR,311.0,688055,False,Paradip Port,24.8,31.11,Syama Prasad Mookerjee Port (Kolkata/Haldia),19.2,24.17,Highly Contested / Split Hinterland,0.944
Assam,SONITPUR,306.0,1098720,False,Paradip Port,26.0,24.63,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.9,17.69,Highly Contested / Split Hinterland,0.969
Assam,SOUTH SALMARA,664.0,255118,False,Paradip Port,26.3,22.84,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.4,15.89,Highly Contested / Split Hinterland,0.982
Assam,SRIBHUMI,317.0,1163257,False,Paradip Port,25.6,26.43,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.7,19.48,Highly Contested / Split Hinterland,0.96
Assam,TAMULPUR,766.0,1388011,False,Paradip Port,26.5,21.55,Syama Prasad Mookerjee Port (Kolkata/Haldia),25.7,14.6,Highly Contested / Split Hinterland,0.992
Assam,TINSUKIA,309.0,1301542,False,Paradip Port,24.4,33.36,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.3,26.41,Highly Contested / Split Hinterland,0.939
Assam,UDALGURI,326.0,817787,False,Paradip Port,25.8,25.45,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.3,18.51,Highly Contested / Split Hinterland,0.965
Assam,WEST KARBI ANAGLONG,752.0,272347,False,Paradip Port,25.1,29.28,Syama Prasad Mookerjee Port (Kolkata/Haldia),20.0,22.33,Highly Contested / Split Hinterland,0.95
Bihar,Araria,209.0,2806898,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),38.4,7.61,Paradip Port,25.8,14.55,Highly Contested / Split Hinterland,0.874
Bihar,Arwal,240.0,661150,False,Paradip Port,35.2,11.71,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.3,10.27,Highly Contested / Split Hinterland,0.872
Bihar,Aurangabad,235.0,2564825,False,Paradip Port,36.2,10.8,Syama Prasad Mookerjee Port (Kolkata/Haldia),23.4,9.36,Highly Contested / Split Hinterland,0.872
Bihar,Banka,225.0,2045923,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),39.1,7.4,Paradip Port,25.7,14.34,Highly Contested / Split Hinterland,0.866
Bihar,Begusarai,222.0,2955569,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),33.1,8.51,Paradip Port,27.4,14.33,Highly Contested / Split Hinterland,0.943
Bihar,Bhagalpur,224.0,3063373,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),43.1,6.37,Paradip Port,25.0,13.31,Highly Contested / Split Hinterland,0.819
Bihar,Bhojpur,231.0,2748353,False,Paradip Port,34.1,12.23,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.4,10.79,Highly Contested / Split Hinterland,0.873
Bihar,Buxar,232.0,1713560,False,Paradip Port,33.7,12.23,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.2,10.79,Highly Contested / Split Hinterland,0.875
Bihar,Darbhanga,215.0,4100963,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),29.4,10.52,Paradip Port,24.9,17.46,Highly Contested / Split Hinterland,0.955
Bihar,Gaya,236.0,4422156,False,Paradip Port,37.6,10.14,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.8,8.7,Highly Contested / Split Hinterland,0.871
Bihar,Gopalganj,217.0,2573785,False,Paradip Port,31.1,15.05,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.7,13.61,Highly Contested / Split Hinterland,0.877
Bihar,Jamui,238.0,1765337,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),30.5,9.38,Paradip Port,28.2,14.78,Highly Contested / Split Hinterland,0.977
Bihar,Jehanabad,239.0,1156211,False,Paradip Port,31.8,14.32,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.6,11.74,Highly Contested / Split Hinterland,0.907
Bihar,Kaimur (Bhabua),233.0,1632430,False,Paradip Port,32.8,12.39,Syama Prasad Mookerjee Port (Kolkata/Haldia),20.6,10.95,Highly Contested / Split Hinterland,0.877
Bihar,Katihar,212.0,3076670,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),42.9,6.44,Paradip Port,25.1,13.38,Highly Contested / Split Hinterland,0.822
Bihar,Khagaria,223.0,1677533,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),33.7,9.37,Paradip Port,26.4,16.31,Highly Contested / Split Hinterland,0.927
Bihar,Kishanganj,210.0,1692838,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),37.1,8.06,Paradip Port,26.1,15.0,Highly Contested / Split Hinterland,0.889
Bihar,Lakhisarai,227.0,961204,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),37.4,7.95,Paradip Port,25.9,14.9,Highly Contested / Split Hinterland,0.886
Bihar,Madhepura,213.0,2004898,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),36.4,8.31,Paradip Port,26.1,15.25,Highly Contested / Split Hinterland,0.898
Bihar,Madhubani,207.0,4584705,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),32.0,9.51,Paradip Port,25.3,16.45,Highly Contested / Split Hinterland,0.934
Bihar,Munger,226.0,1374222,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),39.3,7.32,Paradip Port,25.6,14.26,Highly Contested / Split Hinterland,0.863
Bihar,Muzaffarpur,216.0,4827227,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),27.9,10.68,Paradip Port,25.0,17.16,Highly Contested / Split Hinterland,0.971
Bihar,Nalanda,229.0,2907051,False,Paradip Port,32.4,13.44,Syama Prasad Mookerjee Port (Kolkata/Haldia),23.5,10.86,Highly Contested / Split Hinterland,0.911
Bihar,Nawada,237.0,2210826,False,Paradip Port,32.1,13.97,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.8,11.45,Highly Contested / Split Hinterland,0.907
Bihar,Pashchim Champaran,203.0,3980888,False,Paradip Port,27.3,16.74,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.2,12.98,Highly Contested / Split Hinterland,0.939
