state,district,district_code,pop_2011,is_island,primary_port,primary_port_probability,primary_port_drive_hours,secondary_port,secondary_port_probability,secondary_port_drive_hours,hinterland_category,contestability_index
Chhattisgarh,RAIGARH,403.0,1172143,False,Paradip Port,31.5,12.77,Visakhapatnam Port,14.6,15.07,Highly Contested / Split Hinterland,0.831
Chhattisgarh,RAIPUR,410.0,953024,False,Paradip Port,32.3,9.78,Visakhapatnam Port,18.6,10.09,Highly Contested / Split Hinterland,0.864
Chhattisgarh,RAJNANDGAON,408.0,626305,False,Paradip Port,27.3,11.32,Visakhapatnam Port,15.9,11.63,Highly Contested / Split Hinterland,0.886
Chhattisgarh,SAKTI,759.0,688072,False,Paradip Port,41.7,8.49,Syama Prasad Mookerjee Port (Kolkata/Haldia),15.8,10.16,Highly Contested / Split Hinterland,0.742
Chhattisgarh,SARANGARH-BILAIGARH,757.0,544096,False,Paradip Port,41.6,8.09,Syama Prasad Mookerjee Port (Kolkata/Haldia),15.6,9.76,Highly Contested / Split Hinterland,0.74
Chhattisgarh,SUKMA,649.0,328191,False,Visakhapatnam Port,32.6,7.3,Paradip Port,19.9,13.31,Highly Contested / Split Hinterland,0.873
Chhattisgarh,SURAJPUR,641.0,816860,False,Paradip Port,35.2,13.01,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.8,11.57,Highly Contested / Split Hinterland,0.866
Chhattisgarh,SURGUJA,401.0,604019,False,Paradip Port,35.5,12.67,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.2,11.23,Highly Contested / Split Hinterland,0.866
Chhattisgarh,UTTAR BASTAR KANKER,413.0,770434,False,Paradip Port,23.8,14.01,Visakhapatnam Port,14.0,14.32,Highly Contested / Split Hinterland,0.902
Dadra and Nagar Haveli and Daman and Diu,DADRA AND NAGAR HAVELI,496.0,343164,False,Mumbai Port,44.6,2.79,Jawaharlal Nehru Port (JNPT),37.0,3.61,Highly Contested / Split Hinterland,0.924
Dadra and Nagar Haveli and Daman and Diu,DAMAN,495.0,185686,False,Mumbai Port,43.5,2.93,Jawaharlal Nehru Port (JNPT),36.7,3.75,Highly Contested / Split Hinterland,0.932
Dadra and Nagar Haveli and Daman and Diu,DIU,494.0,49354,False,Deendayal Port (Kandla),56.0,6.64,Jawaharlal Nehru Port (JNPT),13.1,12.79,Dominant / Mildly Contested,0.572
Delhi,CENTRAL,95.0,799575,False,Deendayal Port (Kandla),27.3,17.1,Paradip Port,16.1,24.71,Highly Contested / Split Hinterland,0.888
Delhi,EAST,93.0,1114056,False,Deendayal Port (Kandla),27.2,17.26,Paradip Port,16.1,24.88,Highly Contested / Split Hinterland,0.889
Delhi,NAZUL,,0,False,Deendayal Port (Kandla),27.3,17.12,Paradip Port,16.1,24.75,Highly Contested / Split Hinterland,0.888
Delhi,NEW DELHI,94.0,194984,False,Deendayal Port (Kandla),31.5,15.9,Paradip Port,13.0,28.59,Highly Contested / Split Hinterland,0.814
Delhi,NORTH,91.0,1219269,False,Deendayal Port (Kandla),30.8,17.81,Paradip Port,13.5,30.77,Highly Contested / Split Hinterland,0.827
Delhi,NORTH EAST,92.0,1005683,False,Deendayal Port (Kandla),27.4,17.02,Paradip Port,16.0,24.72,Highly Contested / Split Hinterland,0.886
Delhi,NORTH WEST,90.0,1711505,False,Deendayal Port (Kandla),31.6,15.79,Paradip Port,12.9,28.48,Highly Contested / Split Hinterland,0.813
Delhi,SHAHDARA,676.0,2820107,False,Deendayal Port (Kandla),27.2,17.11,Paradip Port,16.1,24.66,Highly Contested / Split Hinterland,0.889
Delhi,SOUTH,98.0,1647066,False,Deendayal Port (Kandla),31.4,16.0,Paradip Port,13.0,28.69,Highly Contested / Split Hinterland,0.815
Delhi,SOUTH EAST,677.0,1417770,False,Deendayal Port (Kandla),23.3,19.06,Paradip Port,17.6,23.7,Highly Contested / Split Hinterland,0.943
Delhi,SOUTH WEST,97.0,1949768,False,Deendayal Port (Kandla),31.7,15.76,Paradip Port,12.9,28.45,Highly Contested / Split Hinterland,0.813
Delhi,WEST,96.0,2175169,False,Deendayal Port (Kandla),31.6,15.84,Paradip Port,12.9,28.53,Highly Contested / Split Hinterland,0.814
Goa,KUSHAVATI,793.0,422969,False,Mormugao Port,64.0,1.22,New Mangalore Port,13.5,4.76,Dominant / Mildly Contested,0.495
Goa,NORTH GOA,585.0,559190,False,Jawaharlal Nehru Port (JNPT),27.5,7.97,Mumbai Port,12.9,10.94,Highly Contested / Split Hinterland,0.853
Goa,SOUTH GOA,586.0,476386,False,Mormugao Port,90.1,0.46,New Mangalore Port,3.6,4.9,Captive Hinterland,0.135
Gujarat,AHMADABAD,474.0,6496453,False,Deendayal Port (Kandla),67.4,4.72,Jawaharlal Nehru Port (JNPT),9.8,12.18,Dominant / Mildly Contested,0.423
Gujarat,AMRELI,480.0,1427317,False,Deendayal Port (Kandla),64.7,4.98,Jawaharlal Nehru Port (JNPT),10.9,11.73,Dominant / Mildly Contested,0.462
Gujarat,ANAND,482.0,2100423,False,Deendayal Port (Kandla),35.3,7.72,Jawaharlal Nehru Port (JNPT),22.7,8.08,Highly Contested / Split Hinterland,0.874
Gujarat,ARVALLI,650.0,1053947,False,Deendayal Port (Kandla),45.6,6.84,Jawaharlal Nehru Port (JNPT),17.9,9.64,Highly Contested / Split Hinterland,0.723
Gujarat,BANAS KANTHA,469.0,3152346,False,Deendayal Port (Kandla),73.8,4.19,Jawaharlal Nehru Port (JNPT),7.3,13.62,Dominant / Mildly Contested,0.335
Gujarat,BHARUCH,488.0,1521670,False,Jawaharlal Nehru Port (JNPT),29.9,6.37,Mumbai Port,29.5,5.55,Highly Contested / Split Hinterland,0.997
Gujarat,BHAVNAGAR,481.0,2329324,False,Deendayal Port (Kandla),54.6,5.94,Jawaharlal Nehru Port (JNPT),14.6,10.59,Dominant / Mildly Contested,0.6
Gujarat,BOTAD,653.0,1057895,False,Deendayal Port (Kandla),66.9,4.55,Jawaharlal Nehru Port (JNPT),10.4,11.25,Dominant / Mildly Contested,0.435
Gujarat,CHHOTAUDEPUR,654.0,1941542,False,Jawaharlal Nehru Port (JNPT),30.3,7.57,Mumbai Port,29.0,6.74,Highly Contested / Split Hinterland,0.986
Gujarat,DAHOD,485.0,2190352,False,Jawaharlal Nehru Port (JNPT),24.3,10.48,Deendayal Port (Kandla),23.0,13.52,Highly Contested / Split Hinterland,0.987
Gujarat,DANGS,489.0,231744,False,Mumbai Port,32.7,5.0,Jawaharlal Nehru Port (JNPT),32.2,5.82,Highly Contested / Split Hinterland,0.996
Gujarat,DEVBHUMI DWARKA,656.0,846677,False,Deendayal Port (Kandla),76.8,4.6,Jawaharlal Nehru Port (JNPT),6.0,17.18,Captive Hinterland,0.292
Gujarat,GANDHINAGAR,473.0,1401533,False,Deendayal Port (Kandla),57.6,5.76,Jawaharlal Nehru Port (JNPT),13.1,11.29,Dominant / Mildly Contested,0.556
Gujarat,GIR SOMNATH,652.0,564694,False,Deendayal Port (Kandla),54.2,7.14,Jawaharlal Nehru Port (JNPT),13.5,13.28,Dominant / Mildly Contested,0.593
Gujarat,JAMNAGAR,477.0,1707586,False,Deendayal Port (Kandla),67.0,6.0,Jawaharlal Nehru Port (JNPT),8.8,16.4,Dominant / Mildly Contested,0.418
Gujarat,JUNAGADH,479.0,2074644,False,Deendayal Port (Kandla),54.5,7.45,Jawaharlal Nehru Port (JNPT),13.0,14.2,Dominant / Mildly Contested,0.585
Gujarat,KACHCHH,468.0,2090570,False,Deendayal Port (Kandla),88.7,2.74,Jawaharlal Nehru Port (JNPT),2.9,17.37,Captive Hinterland,0.142
Gujarat,KHEDA,483.0,1995596,False,Jawaharlal Nehru Port (JNPT),23.2,11.82,Deendayal Port (Kandla),23.0,14.85,Highly Contested / Split Hinterland,0.998
Gujarat,MAHESANA,471.0,2031996,False,Deendayal Port (Kandla),66.0,4.7,Jawaharlal Nehru Port (JNPT),10.4,11.51,Dominant / Mildly Contested,0.444
Gujarat,MAHISAGAR,655.0,750914,False,Jawaharlal Nehru Port (JNPT),23.2,11.82,Deendayal Port (Kandla),23.0,14.85,Highly Contested / Split Hinterland,0.998
Gujarat,MORBI,657.0,1475820,False,Deendayal Port (Kandla),90.4,2.1,Jawaharlal Nehru Port (JNPT),2.8,13.95,Captive Hinterland,0.124
Gujarat,NARMADA,487.0,595064,False,Jawaharlal Nehru Port (JNPT),28.7,9.04,Mumbai Port,20.7,9.53,Highly Contested / Split Hinterland,0.92
Gujarat,NAVSARI,490.0,1331457,False,Mumbai Port,39.4,3.52,Jawaharlal Nehru Port (JNPT),35.4,4.34,Highly Contested / Split Hinterland,0.96
Gujarat,PANCH MAHALS,484.0,1498314,False,Jawaharlal Nehru Port (JNPT),23.8,11.03,Deendayal Port (Kandla),23.0,14.06,Highly Contested / Split Hinterland,0.992
Gujarat,PATAN,470.0,1362004,False,Deendayal Port (Kandla),79.4,3.37,Jawaharlal Nehru Port (JNPT),6.0,12.88,Captive Hinterland,0.267
Gujarat,PORBANDAR,478.0,593588,False,Deendayal Port (Kandla),69.0,5.52,Jawaharlal Nehru Port (JNPT),8.5,15.74,Dominant / Mildly Contested,0.395
Gujarat,RAJKOT,476.0,2648396,False,Deendayal Port (Kandla),72.6,4.19,Jawaharlal Nehru Port (JNPT),8.2,12.56,Dominant / Mildly Contested,0.356
Gujarat,SABAR KANTHA,472.0,1396009,False,Deendayal Port (Kandla),55.8,5.66,Jawaharlal Nehru Port (JNPT),14.1,10.44,Dominant / Mildly Contested,0.583
Gujarat,SURAT,492.0,6108237,False,Mumbai Port,35.9,4.11,Jawaharlal Nehru Port (JNPT),33.8,4.93,Highly Contested / Split Hinterland,0.978
Gujarat,SURENDRANAGAR,475.0,1660322,False,Deendayal Port (Kandla),82.0,3.06,Jawaharlal Nehru Port (JNPT),5.4,12.8,Captive Hinterland,0.233
Gujarat,TAPI,493.0,807495,False,Mumbai Port,33.8,4.78,Jawaharlal Nehru Port (JNPT),32.9,5.61,Highly Contested / Split Hinterland,0.991
Gujarat,VADODARA,486.0,2284641,False,Jawaharlal Nehru Port (JNPT),26.9,7.02,Deendayal Port (Kandla),26.4,8.86,Highly Contested / Split Hinterland,0.996
Gujarat,VALSAD,491.0,1711120,False,Mumbai Port,43.1,3.02,Jawaharlal Nehru Port (JNPT),36.6,3.85,Highly Contested / Split Hinterland,0.935
Haryana,AMBALA,70.0,1109877,False,Deendayal Port (Kandla),32.3,16.22,Paradip Port,14.6,27.5,Highly Contested / Split Hinterland,0.823
Haryana,BHIWANI,81.0,1163029,False,Deendayal Port (Kandla),30.7,16.41,Paradip Port,13.5,28.32,Highly Contested / Split Hinterland,0.828
Haryana,CHARKI DADRI,732.0,488072,False,Deendayal Port (Kandla),31.9,15.14,Paradip Port,13.2,27.05,Highly Contested / Split Hinterland,0.814
Haryana,FARIDABAD,88.0,1678700,False,Deendayal Port (Kandla),23.4,18.76,Paradip Port,17.6,23.4,Highly Contested / Split Hinterland,0.942
Haryana,FATEHABAD,78.0,980269,False,Deendayal Port (Kandla),38.9,13.57,Paradip Port,11.9,29.25,Highly Contested / Split Hinterland,0.729
Haryana,GURUGRAM,86.0,1524153,False,Deendayal Port (Kandla),31.6,15.87,Paradip Port,12.9,28.56,Highly Contested / Split Hinterland,0.814
Haryana,HISAR,80.0,1699184,False,Deendayal Port (Kandla),35.2,14.93,Paradip Port,12.1,29.85,Highly Contested / Split Hinterland,0.77
Haryana,JHAJJAR,83.0,957466,False,Deendayal Port (Kandla),30.8,15.54,Paradip Port,14.1,26.22,Highly Contested / Split Hinterland,0.832
Haryana,JIND,77.0,1305897,False,Deendayal Port (Kandla),34.1,15.14,Paradip Port,12.8,28.75,Highly Contested / Split Hinterland,0.787
Haryana,KAITHAL,73.0,1086526,False,Deendayal Port (Kandla),35.7,14.98,Paradip Port,12.5,29.64,Highly Contested / Split Hinterland,0.768
Haryana,KARNAL,74.0,1418199,False,Deendayal Port (Kandla),32.2,16.24,Paradip Port,13.2,29.2,Highly Contested / Split Hinterland,0.811
Haryana,KURUKSHETRA,72.0,1003833,False,Deendayal Port (Kandla),33.7,15.7,Paradip Port,12.9,29.47,Highly Contested / Split Hinterland,0.792
Haryana,MAHENDRAGARH,84.0,926603,False,Deendayal Port (Kandla),31.4,15.58,Paradip Port,13.4,27.35,Highly Contested / Split Hinterland,0.82
Haryana,NUH,87.0,1154943,False,Deendayal Port (Kandla),32.4,14.99,Jawaharlal Nehru Port (JNPT),12.8,21.03,Highly Contested / Split Hinterland,0.804
Haryana,PALWAL,89.0,1085056,False,Deendayal Port (Kandla),23.6,18.3,Paradip Port,17.6,22.94,Highly Contested / Split Hinterland,0.94
Haryana,PANCHKULA,69.0,584089,False,Deendayal Port (Kandla),33.9,15.7,Paradip Port,13.8,28.36,Highly Contested / Split Hinterland,0.799
Haryana,PANIPAT,75.0,1254394,False,Deendayal Port (Kandla),30.6,17.01,Paradip Port,13.2,29.7,Highly Contested / Split Hinterland,0.826
Haryana,REWARI,85.0,895419,False,Deendayal Port (Kandla),31.0,16.84,Jawaharlal Nehru Port (JNPT),13.0,22.88,Highly Contested / Split Hinterland,0.819
Haryana,ROHTAK,82.0,1033688,False,Deendayal Port (Kandla),32.1,15.43,Paradip Port,13.0,28.02,Highly Contested / Split Hinterland,0.809
Haryana,SIRSA,79.0,1314516,False,Deendayal Port (Kandla),41.4,12.76,Jawaharlal Nehru Port (JNPT),11.3,22.39,Highly Contested / Split Hinterland,0.699
Haryana,SONIPAT,76.0,1479068,False,Deendayal Port (Kandla),28.9,16.62,Paradip Port,15.1,25.79,Highly Contested / Split Hinterland,0.862
Haryana,YAMUNANAGAR,71.0,1208482,False,Deendayal Port (Kandla),29.7,17.17,Paradip Port,15.3,26.96,Highly Contested / Split Hinterland,0.856
Himachal Pradesh,BILASPUR,30.0,379805,False,Deendayal Port (Kandla),33.4,17.51,Paradip Port,13.7,31.6,Highly Contested / Split Hinterland,0.802
Himachal Pradesh,CHAMBA,23.0,518525,False,Deendayal Port (Kandla),33.7,18.14,Paradip Port,13.2,33.61,Highly Contested / Split Hinterland,0.795
Himachal Pradesh,HAMIRPUR,28.0,452435,False,Deendayal Port (Kandla),34.2,16.84,Paradip Port,13.5,31.1,Highly Contested / Split Hinterland,0.792
Himachal Pradesh,KANGRA,24.0,1514722,False,Deendayal Port (Kandla),34.4,16.96,Paradip Port,13.3,31.73,Highly Contested / Split Hinterland,0.788
Himachal Pradesh,KINNAUR,34.0,84562,False,Deendayal Port (Kandla),30.2,20.02,Paradip Port,14.5,32.75,Highly Contested / Split Hinterland,0.843
Himachal Pradesh,KULLU,26.0,437946,False,Deendayal Port (Kandla),30.6,19.84,Paradip Port,14.4,32.81,Highly Contested / Split Hinterland,0.838
Himachal Pradesh,LAHUL & SPITI,25.0,31725,False,Deendayal Port (Kandla),29.6,21.75,Paradip Port,14.6,35.0,Highly Contested / Split Hinterland,0.85
Himachal Pradesh,MANDI,27.0,1003341,False,Deendayal Port (Kandla),32.1,18.79,Paradip Port,14.0,32.59,Highly Contested / Split Hinterland,0.819
Himachal Pradesh,SHIMLA,33.0,814670,False,Deendayal Port (Kandla),28.9,19.42,Paradip Port,15.5,29.67,Highly Contested / Split Hinterland,0.866
Himachal Pradesh,SIRMAUR,32.0,532571,False,Deendayal Port (Kandla),31.6,17.11,Paradip Port,14.8,28.45,Highly Contested / Split Hinterland,0.832
Himachal Pradesh,SOLAN,31.0,573174,False,Deendayal Port (Kandla),33.4,16.29,Paradip Port,13.9,29.02,Highly Contested / Split Hinterland,0.806
Himachal Pradesh,UNA,29.0,521126,False,Deendayal Port (Kandla),34.9,16.18,Paradip Port,13.3,30.39,Highly Contested / Split Hinterland,0.785
Jammu and Kashmir,ANANTNAG,14.0,1094123,False,Deendayal Port (Kandla),30.0,23.18,Paradip Port,14.0,38.65,Highly Contested / Split Hinterland,0.84
Jammu and Kashmir,BADGAM,2.0,815408,False,Deendayal Port (Kandla),29.3,24.42,Paradip Port,14.1,39.89,Highly Contested / Split Hinterland,0.848
Jammu and Kashmir,BANDIPURA,9.0,618195,False,Deendayal Port (Kandla),28.9,25.03,Paradip Port,14.2,40.49,Highly Contested / Split Hinterland,0.852
Jammu and Kashmir,BARAMULA,8.0,738332,False,Deendayal Port (Kandla),29.1,24.75,Paradip Port,14.1,40.22,Highly Contested / Split Hinterland,0.85
Jammu and Kashmir,DODA,16.0,451445,False,Deendayal Port (Kandla),32.0,20.18,Paradip Port,13.5,35.65,Highly Contested / Split Hinterland,0.815
Jammu and Kashmir,GANDERBAL,11.0,341209,False,Deendayal Port (Kandla),29.2,24.58,Paradip Port,14.1,40.05,Highly Contested / Split Hinterland,0.849
Jammu and Kashmir,JAMMU,21.0,1645043,False,Deendayal Port (Kandla),33.8,18.06,Paradip Port,13.2,33.53,Highly Contested / Split Hinterland,0.794
Jammu and Kashmir,KATHUA,7.0,707130,False,Deendayal Port (Kandla),34.5,17.3,Paradip Port,13.0,32.76,Highly Contested / Split Hinterland,0.785
Jammu and Kashmir,KISHTWAR,18.0,264638,False,Deendayal Port (Kandla),30.5,22.27,Paradip Port,13.8,37.73,Highly Contested / Split Hinterland,0.833
Jammu and Kashmir,KULGAM,15.0,332894,False,Deendayal Port (Kandla),29.6,23.76,Paradip Port,14.0,39.23,Highly Contested / Split Hinterland,0.844
Jammu and Kashmir,KUPWARA,1.0,998407,False,Deendayal Port (Kandla),28.8,25.4,Paradip Port,14.2,40.87,Highly Contested / Split Hinterland,0.854
Jammu and Kashmir,MIRPUR,,0,False,Deendayal Port (Kandla),31.7,20.63,Paradip Port,13.6,36.1,Highly Contested / Split Hinterland,0.819
Jammu and Kashmir,MUZAFFARABAD,,0,False,Deendayal Port (Kandla),28.0,26.92,Paradip Port,14.3,42.38,Highly Contested / Split Hinterland,0.863
Jammu and Kashmir,PULWAMA,12.0,642896,False,Deendayal Port (Kandla),29.8,23.57,Paradip Port,14.0,39.04,Highly Contested / Split Hinterland,0.842
Jammu and Kashmir,PUNCH,5.0,536312,False,Deendayal Port (Kandla),31.2,21.26,Paradip Port,13.7,36.73,Highly Contested / Split Hinterland,0.825
Jammu and Kashmir,RAJAURI,6.0,746023,False,Deendayal Port (Kandla),32.3,19.86,Paradip Port,13.5,35.33,Highly Contested / Split Hinterland,0.812
Jammu and Kashmir,RAMBAN,17.0,325455,False,Deendayal Port (Kandla),29.6,23.82,Paradip Port,14.0,39.29,Highly Contested / Split Hinterland,0.844
Jammu and Kashmir,RIASI,20.0,311577,False,Deendayal Port (Kandla),32.3,19.79,Paradip Port,13.5,35.26,Highly Contested / Split Hinterland,0.812
Jammu and Kashmir,SAMBA,22.0,365817,False,Deendayal Port (Kandla),34.4,17.47,Paradip Port,13.1,32.94,Highly Contested / Split Hinterland,0.787
Jammu and Kashmir,SHUPIYAN,13.0,305383,False,Deendayal Port (Kandla),29.5,24.03,Paradip Port,14.1,39.5,Highly Contested / Split Hinterland,0.846
Jammu and Kashmir,SRINAGAR,10.0,315854,False,Deendayal Port (Kandla),29.6,23.9,Paradip Port,14.0,39.37,Highly Contested / Split Hinterland,0.845
Jammu and Kashmir,UDHAMPUR,19.0,588708,False,Deendayal Port (Kandla),32.5,19.5,Paradip Port,13.4,34.97,Highly Contested / Split Hinterland,0.809
Jharkhand,BOKARO,355.0,2090816,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),41.3,4.86,Paradip Port,34.7,8.11,Highly Contested / Split Hinterland,0.934
Jharkhand,CHATRA,347.0,1084321,False,Paradip Port,39.5,9.04,Syama Prasad Mookerjee Port (Kolkata/Haldia),26.9,7.6,Highly Contested / Split Hinterland,0.874
Jharkhand,DEOGHAR,350.0,1504389,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),31.5,8.84,Paradip Port,29.6,13.78,Highly Contested / Split Hinterland,0.981
Jharkhand,DHANBAD,354.0,2602229,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),48.2,3.85,Paradip Port,31.8,7.45,Highly Contested / Split Hinterland,0.835
Jharkhand,DUMKA,362.0,1328447,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),31.9,9.2,Paradip Port,28.5,14.81,Highly Contested / Split Hinterland,0.966
Jharkhand,EAST SINGHBHUM,357.0,2315456,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),46.1,3.49,Paradip Port,34.6,6.24,Highly Contested / Split Hinterland,0.885
Jharkhand,GARHWA,346.0,1335765,False,Paradip Port,37.7,10.47,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.6,9.03,Highly Contested / Split Hinterland,0.869
Jharkhand,GIRIDIH,349.0,2438126,False,Paradip Port,33.7,12.88,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.6,10.38,Highly Contested / Split Hinterland,0.909
Jharkhand,GODDA,351.0,1328453,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),38.2,7.65,Paradip Port,25.7,14.59,Highly Contested / Split Hinterland,0.876
Jharkhand,GUMLA,366.0,1037050,False,Paradip Port,42.1,8.14,Syama Prasad Mookerjee Port (Kolkata/Haldia),25.0,7.43,Highly Contested / Split Hinterland,0.829
Jharkhand,HAZARIBAGH,360.0,1803408,False,Paradip Port,35.7,12.08,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.5,10.64,Highly Contested / Split Hinterland,0.868
Jharkhand,JAMTARA,363.0,822471,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),52.8,3.77,Paradip Port,27.0,8.49,Dominant / Mildly Contested,0.743
Jharkhand,KHUNTI,365.0,553017,False,Paradip Port,50.8,5.9,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.5,6.12,Dominant / Mildly Contested,0.736
Jharkhand,KODERMA,348.0,462179,False,Paradip Port,31.6,14.74,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.0,12.23,Highly Contested / Split Hinterland,0.904
Jharkhand,LATEHAR,359.0,729952,False,Paradip Port,40.0,8.75,Syama Prasad Mookerjee Port (Kolkata/Haldia),27.5,7.31,Highly Contested / Split Hinterland,0.875
Jharkhand,LOHARDAGA,356.0,466683,False,Paradip Port,40.5,8.13,Syama Prasad Mookerjee Port (Kolkata/Haldia),28.5,6.69,Highly Contested / Split Hinterland,0.881
Jharkhand,PAKUR,353.0,898934,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),34.7,8.86,Paradip Port,26.1,15.8,Highly Contested / Split Hinterland,0.914
Jharkhand,PALAMU,358.0,1948229,False,Paradip Port,37.7,10.09,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.9,8.65,Highly Contested / Split Hinterland,0.871
Jharkhand,RAMGARH,361.0,978312,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),37.7,5.76,Paradip Port,35.2,9.02,Highly Contested / Split Hinterland,0.975
Jharkhand,RANCHI,364.0,2918767,False,Paradip Port,42.6,6.96,Syama Prasad Mookerjee Port (Kolkata/Haldia),31.9,5.52,Highly Contested / Split Hinterland,0.893
Jharkhand,SAHIBGANJ,352.0,1142180,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),49.2,5.23,Paradip Port,23.9,12.17,Highly Contested / Split Hinterland,0.747
Jharkhand,SARAIKELA-KHARSAWAN,369.0,1070376,False,Paradip Port,47.9,5.45,Syama Prasad Mookerjee Port (Kolkata/Haldia),30.8,4.74,Highly Contested / Split Hinterland,0.829
Jharkhand,SIMDEGA,367.0,605300,False,Paradip Port,49.7,6.78,Syama Prasad Mookerjee Port (Kolkata/Haldia),18.6,8.19,Highly Contested / Split Hinterland,0.689
Jharkhand,WEST SINGHBHUM,368.0,1523273,False,Paradip Port,47.6,7.71,Syama Prasad Mookerjee Port (Kolkata/Haldia),17.9,9.29,Highly Contested / Split Hinterland,0.703
Karnataka,B\dar,558.0,1703747,False,Jawaharlal Nehru Port (JNPT),24.6,8.53,Mumbai Port,12.0,11.42,Highly Contested / Split Hinterland,0.874
Karnataka,Bagalkot,556.0,1893171,False,Jawaharlal Nehru Port (JNPT),23.5,7.71,New Mangalore Port,15.4,7.22,Highly Contested / Split Hinterland,0.919
Karnataka,Ballari,565.0,1234167,False,Chennai Port,16.6,8.08,Kamarajar Port (Ennore),14.5,8.19,Highly Contested / Split Hinterland,0.98
Karnataka,Belagavi,555.0,4800550,False,Jawaharlal Nehru Port (JNPT),28.3,7.16,New Mangalore Port,13.2,8.24,Highly Contested / Split Hinterland,0.849
Karnataka,Bengaluru (Rural),583.0,977885,False,New Mangalore Port,23.2,4.71,Chennai Port,18.1,5.99,Highly Contested / Split Hinterland,0.948
Karnataka,Bengaluru (Urban),572.0,9587834,False,New Mangalore Port,15.5,9.25,Chennai Port,14.5,10.54,Highly Contested / Split Hinterland,0.989
Karnataka,Chamarajanagara,578.0,1018520,False,Cochin Port,22.7,7.28,V.O. Chidambaranar Port (Tuticorin),14.4,10.22,Highly Contested / Split Hinterland,0.918
Karnataka,Chikkaballapura,582.0,1258440,False,Chennai Port,19.4,6.09,New Mangalore Port,18.2,5.8,Highly Contested / Split Hinterland,0.988
Karnataka,Chikkamagaluru,570.0,1141674,False,New Mangalore Port,47.8,3.1,Chennai Port,8.8,9.45,Highly Contested / Split Hinterland,0.61
Karnataka,Chitradurga,566.0,1664012,False,New Mangalore Port,25.6,4.88,Chennai Port,12.1,8.4,Highly Contested / Split Hinterland,0.865
Karnataka,Dakshina Kannada,575.0,2151574,False,New Mangalore Port,90.1,0.75,Mormugao Port,1.6,5.78,Captive Hinterland,0.115
Karnataka,Davanagere,567.0,1475264,False,New Mangalore Port,21.4,5.81,Jawaharlal Nehru Port (JNPT),13.5,10.6,Highly Contested / Split Hinterland,0.921
Karnataka,Dharwad,562.0,1848605,False,New Mangalore Port,20.6,5.36,Mormugao Port,18.3,3.8,Highly Contested / Split Hinterland,0.977
Karnataka,Gadag,561.0,1069357,False,New Mangalore Port,19.3,6.23,Jawaharlal Nehru Port (JNPT),18.1,8.95,Highly Contested / Split Hinterland,0.988
Karnataka,Hassan,574.0,1780179,False,New Mangalore Port,53.3,2.49,Chennai Port,9.0,8.0,Dominant / Mildly Contested,0.557
Karnataka,Haveri,564.0,1603218,False,New Mangalore Port,25.7,4.69,Mormugao Port,16.0,4.12,Highly Contested / Split Hinterland,0.903
Karnataka,Kalaburagi,579.0,2572913,False,Jawaharlal Nehru Port (JNPT),24.4,7.94,Mumbai Port,11.4,10.91,Highly Contested / Split Hinterland,0.87
Karnataka,Kodagu,576.0,553550,False,New Mangalore Port,69.1,1.97,Chennai Port,4.5,11.19,Dominant / Mildly Contested,0.355
Karnataka,Kolara,581.0,1532932,False,Chennai Port,27.1,4.4,Kamarajar Port (Ennore),23.3,4.52,Highly Contested / Split Hinterland,0.962
Karnataka,Koppal,560.0,1395373,False,Jawaharlal Nehru Port (JNPT),20.8,8.89,New Mangalore Port,16.2,7.51,Highly Contested / Split Hinterland,0.953
Karnataka,Mandya,573.0,1808685,False,New Mangalore Port,17.7,7.23,Chennai Port,15.6,8.52,Highly Contested / Split Hinterland,0.979
Karnataka,Mysuru,577.0,3000117,False,Cochin Port,26.4,5.89,V.O. Chidambaranar Port (Tuticorin),15.1,8.83,Highly Contested / Split Hinterland,0.887
Karnataka,Raichur,559.0,1934975,False,Jawaharlal Nehru Port (JNPT),16.5,11.14,Chennai Port,13.8,9.84,Highly Contested / Split Hinterland,0.972
Karnataka,Ramanagara,584.0,1081388,False,New Mangalore Port,16.0,8.76,Chennai Port,14.7,10.05,Highly Contested / Split Hinterland,0.987
Karnataka,Shivamogga,568.0,1757263,False,New Mangalore Port,36.6,3.73,Mormugao Port,13.8,4.44,Highly Contested / Split Hinterland,0.772
Karnataka,Tumakuru,571.0,2681129,False,New Mangalore Port,20.2,5.82,Chennai Port,16.8,7.11,Highly Contested / Split Hinterland,0.966
