village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
MUHIUDDINPUR,KARNAL,74,59183,village,KARNAL,15.31,Naultha,52.01,Dahej Port,984.84,ICD Loni,110.47,Attari ICP,280.51,Indira Gandhi International Airport (DEL),130.49,MMLP Sangrur,132.03,Varanasi Multi-Modal Terminal,745.73,FCI Depot Karnal,14.01
DHABI KALAN,FATEHABAD,78,60496,village,Bhattu,6.56,Bhattu,6.56,Deendayal Port (Kandla),847.49,ICD Ludhiana,178.9,Attari ICP,205.6,Indira Gandhi International Airport (DEL),190.69,MMLP Sangrur,110.97,Varanasi Multi-Modal Terminal,862.76,FCI Depot Bathinda,102.55
PARBHAWAT,KAITHAL,73,58807,village,Kaithal,16.22,Chajli,47.66,Deendayal Port (Kandla),954.27,ICD Ludhiana,116.38,Attari ICP,206.61,Indira Gandhi International Airport (DEL),166.59,MMLP Sangrur,55.45,Varanasi Multi-Modal Terminal,818.5,FCI Depot Kaithal,15.24
GUGION,YAMUNANAGAR,71,57713,village,DARAZPUR,1.29,Naultha,96.88,Dahej Port,1028.37,ICD Baddi,95.67,Attari ICP,266.85,Indira Gandhi International Airport (DEL),175.62,MMLP Sangrur,129.27,Varanasi Multi-Modal Terminal,768.68,FCI Depot Karnal,55.89
Marwa Khurd,YAMUNANAGAR,71,58143,village,DARAZPUR,17.6,Naultha,113.24,Dahej Port,1044.53,ICD Baddi,84.38,Attari ICP,266.03,Indira Gandhi International Airport (DEL),191.44,MMLP Sangrur,134.37,Varanasi Multi-Modal Terminal,775.37,FCI Depot Karnal,72.23
DAIRA,YAMUNANAGAR,71,57690,village,DARAZPUR,8.61,Naultha,103.93,Dahej Port,1034.84,ICD Baddi,88.63,Attari ICP,263.52,Indira Gandhi International Airport (DEL),183.12,MMLP Sangrur,128.5,Varanasi Multi-Modal Terminal,774.11,FCI Depot Karnal,62.81
HARIABAS,YAMUNANAGAR,71,57862,village,KALANOUR,5.02,Naultha,90.27,Dahej Port,1023.07,ICD Baddi,108.65,Attari ICP,278.74,Indira Gandhi International Airport (DEL),165.93,MMLP Sangrur,138.68,Varanasi Multi-Modal Terminal,755.48,FCI Depot Karnal,50.57
HARIOLI,AMBALA,70,57532,village,TANDWAL,2.69,Naultha,101.33,Deendayal Port (Kandla),1024.07,ICD Baddi,80.05,Attari ICP,242.35,Indira Gandhi International Airport (DEL),184.74,MMLP Sangrur,106.15,Varanasi Multi-Modal Terminal,791.66,FCI Depot Patiala,55.72
JAMAITGARH,YAMUNANAGAR,71,58114,village,DARAZPUR,22.13,Naultha,117.77,Dahej Port,1048.98,ICD Baddi,81.37,Attari ICP,265.74,Indira Gandhi International Airport (DEL),195.89,MMLP Sangrur,135.89,Varanasi Multi-Modal Terminal,777.48,FCI Depot Dehradun,72.25
MUHAMMADPUR,SIRSA,79,60776,village,Ellenabad,19.56,Bhattu,53.9,Deendayal Port (Kandla),840.26,ICD Ludhiana,176.43,Attari ICP,169.97,Sri Guru Ram Dass Jee International Airport (ATQ),235.12,MMLP Sangrur,122.88,Varanasi Multi-Modal Terminal,917.28,FCI Depot Bathinda,72.07
MANIPUR,YAMUNANAGAR,71,58252,village,YAMUNANAGAR JAGADHARI,24.25,Naultha,119.38,Dahej Port,1051.94,ICD Baddi,90.17,Attari ICP,277.28,Indira Gandhi International Airport (DEL),194.61,MMLP Sangrur,146.99,Varanasi Multi-Modal Terminal,767.53,FCI Depot Dehradun,60.89
NAGLA RANGHRAN,YAMUNANAGAR,71,57823,village,KALANOUR,15.89,Naultha,78.82,Dahej Port,1011.53,ICD Baddi,114.98,Attari ICP,277.17,Indira Gandhi International Airport (DEL),155.72,MMLP Sangrur,134.08,Varanasi Multi-Modal Terminal,753.86,FCI Depot Karnal,38.99
BAKARWALA,YAMUNANAGAR,71,58261,village,YAMUNANAGAR JAGADHARI,26.35,Naultha,121.08,Dahej Port,1053.92,ICD Baddi,94.05,Attari ICP,282.51,Indira Gandhi International Airport (DEL),194.87,MMLP Sangrur,152.27,Varanasi Multi-Modal Terminal,763.31,FCI Depot Dehradun,55.57
BHUKHERI,YAMUNANAGAR,71,57950,village,YAMUNANAGAR JAGADHARI,9.25,Naultha,104.2,Dahej Port,1036.93,ICD Baddi,99.64,Attari ICP,278.24,Indira Gandhi International Airport (DEL),179.47,MMLP Sangrur,142.51,Varanasi Multi-Modal Terminal,760.58,FCI Depot Karnal,64.23
MALWALA,FATEHABAD,78,60265,village,BUDHLADA,24.62,Bhattu,38.25,Deendayal Port (Kandla),887.97,ICD Ludhiana,134.38,Attari ICP,168.54,Indira Gandhi International Airport (DEL),206.59,MMLP Sangrur,68.89,Varanasi Multi-Modal Terminal,877.3,FCI Depot Bathinda,68.49
KANHERI KHURD,YAMUNANAGAR,71,57705,village,DARAZPUR,4.73,Naultha,100.19,Dahej Port,1031.35,ICD Baddi,92.09,Attari ICP,264.88,Indira Gandhi International Airport (DEL),179.24,MMLP Sangrur,128.48,Varanasi Multi-Modal Terminal,771.58,FCI Depot Karnal,59.12
