district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
LUDHIANA,933,7.81,8.49,62.37942122186495,100.0,100.0,22.99,24.98,9.860664523043944,57.663451232583064,94.21221864951768,1013.81,1013.72,0.0,0.0,0.0,27.99,26.95,7.395498392282958,41.157556270096464,99.78563772775992,132.85,128.17,0.0,0.0,0.0,146.57,144.18,0.0,0.0,0.0,70.06,69.37,0.0,0.0,9.003215434083602,906.03,908.87,0.0,0.0,0.0,26.83,25.62,7.288317256162916,43.30117899249732,100.0,3465593.0
MALER KOTLA,190,5.65,7.15,72.10526315789474,100.0,100.0,35.215,34.93,0.0,5.7894736842105265,100.0,986.54,986.61,0.0,0.0,0.0,40.665,40.86,0.0,1.0526315789473684,88.94736842105263,136.83499999999998,137.26,0.0,0.0,0.0,165.695,165.15,0.0,0.0,0.0,35.105000000000004,34.83,0.0,6.315789473684211,100.0,889.665,889.91,0.0,0.0,0.0,32.7,32.07,0.0,7.368421052631578,100.0,306601.0
MANSA,239,12.14,12.23,42.67782426778243,96.23430962343096,100.0,35.99,36.25,0.0,14.644351464435147,91.21338912133892,905.49,903.97,0.0,0.0,0.0,117.25,117.41,0.0,0.0,0.0,155.26,155.08,0.0,0.0,0.0,202.67,202.03,0.0,0.0,0.0,53.87,55.26,0.0,0.0,40.58577405857741,884.93,884.6,0.0,0.0,0.0,48.18,49.16,0.0,0.0,55.64853556485355,743171.0
MOGA,319,11.0,11.65,45.76802507836991,95.61128526645768,100.0,76.37,76.2,0.0,0.0,0.0,977.33,976.23,0.0,0.0,0.0,66.75,66.74,0.0,0.0,5.956112852664576,63.27,63.79,0.0,0.0,11.912225705329153,101.39,103.34,0.0,0.0,0.0,94.82,92.36,0.0,0.0,0.0,965.81,963.9,0.0,0.0,0.0,20.61,19.4,13.479623824451412,73.66771159874608,100.0,941538.0
PATHANKOT,534,6.03,8.1,64.41947565543072,100.0,100.0,46.425,48.91,0.0,0.0,60.67415730337079,1130.15,1135.32,0.0,0.0,0.0,154.81,155.08,0.0,0.0,0.0,61.69,65.46,0.0,0.0,18.726591760299627,93.9,98.71,0.0,0.0,0.0,85.83000000000001,85.43,0.0,0.0,0.0,1039.14,1039.56,0.0,0.0,0.0,85.83000000000001,85.43,0.0,0.0,0.0,586929.0
PATIALA,969,10.34,11.83,48.710010319917444,92.46646026831785,100.0,62.27,59.09,0.0,1.3415892672858616,33.43653250773993,996.56,995.97,0.0,0.0,0.0,71.68,73.45,0.0,0.0,6.707946336429309,194.19,191.66,0.0,0.0,0.0,197.46,197.38,0.0,0.0,0.0,57.15,56.81,0.0,1.6511867905056758,39.834881320949435,836.14,837.94,0.0,0.0,0.0,22.71,22.17,8.771929824561402,61.19711042311662,100.0,1855704.0
RUPNAGAR,604,5.025,6.26,82.11920529801324,100.0,100.0,55.135,54.34,0.0,0.0,30.4635761589404,1064.5900000000001,1064.26,0.0,0.0,0.0,33.705,34.66,0.16556291390728478,20.695364238410598,89.23841059602648,173.32999999999998,171.34,0.0,0.0,0.0,176.83499999999998,175.4,0.0,0.0,0.0,108.265,108.19,0.0,0.0,0.0,881.935,884.46,0.0,0.0,0.0,63.870000000000005,62.68,0.0,0.0,9.271523178807946,651796.0
SANGRUR,397,7.3,8.68,66.49874055415617,99.49622166246851,100.0,27.21,27.29,7.5566750629722925,42.0654911838791,100.0,957.41,953.5,0.0,0.0,0.0,77.23,81.48,0.0,0.0,4.282115869017632,159.81,160.51,0.0,0.0,0.0,188.72,186.95,0.0,0.0,0.0,22.3,24.12,12.090680100755668,58.43828715365239,94.7103274559194,865.95,865.85,0.0,0.0,0.0,22.01,22.87,12.090680100755668,61.46095717884131,99.74811083123426,1313771.0
SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR),420,5.4,6.0,86.66666666666667,100.0,100.0,70.62,73.82,0.0,0.0,0.0,1045.455,1046.17,0.0,0.0,0.0,33.44,33.59,0.7142857142857143,30.714285714285715,87.61904761904762,203.27499999999998,206.35,0.0,0.0,0.0,207.77499999999998,209.05,0.0,0.0,0.0,98.39500000000001,97.92,0.0,0.0,0.0,844.065,840.11,0.0,0.0,0.0,50.665,51.58,0.0,0.0,45.95238095238095,1004882.0
SHAHID BHAGAT SINGH NAGAR,436,8.46,9.4,56.65137614678899,100.0,100.0,37.754999999999995,37.08,0.0,7.79816513761468,98.1651376146789,1051.0749999999998,1051.2,0.0,0.0,0.0,36.595,36.59,0.0,7.79816513761468,96.3302752293578,145.28,143.05,0.0,0.0,0.0,146.37,143.28,0.0,0.0,0.0,101.055,100.78,0.0,0.0,0.0,910.055,912.22,0.0,0.0,0.0,37.115,38.34,0.0,8.944954128440367,84.40366972477065,597508.0
SRI MUKTSAR SAHIB,235,8.96,8.57,57.02127659574469,100.0,100.0,47.55,47.75,0.0,2.127659574468085,58.29787234042553,897.98,898.03,0.0,0.0,0.0,142.21,141.04,0.0,0.0,0.0,85.22,86.41,0.0,0.0,0.425531914893617,152.87,154.24,0.0,0.0,0.0,126.29,126.7,0.0,0.0,0.0,983.15,982.44,0.0,0.0,0.0,42.12,42.51,0.0,2.553191489361702,79.57446808510639,909149.0
TARN TARAN,492,18.814999999999998,18.76,11.178861788617885,78.45528455284553,100.0,44.864999999999995,46.66,0.0,1.8292682926829267,60.56910569105691,1012.31,1011.52,0.0,0.0,0.0,106.465,106.97,0.0,0.0,0.0,39.09,37.23,2.8455284552845526,22.96747967479675,76.42276422764228,43.075,43.24,0.0,7.520325203252034,70.32520325203252,143.815,144.65,0.0,0.0,0.0,1021.585,1022.21,0.0,0.0,0.0,54.205,53.11,0.0,2.2357723577235773,41.260162601626014,1100684.0
__STATE__,12830,,9.199262901988833,64.72330475448167,97.02260327357756,100.0,,42.725129208131726,3.5697583787996883,19.680436477007017,64.74668745128605,,1006.7371214535495,0.0,0.0,0.0,,85.03786521442137,0.568978955572876,6.102883865939205,27.568199532346068,,101.12659535213119,1.1223694466095089,6.76539360872954,23.554169914263447,,123.1122725692823,0.4286827747466875,4.224473889321902,12.018706157443491,,95.44568722027294,0.37412314886983633,2.1200311769290723,10.0,,950.7171932437548,0.0,0.0,0.0,,48.71252610473454,2.7513639906469214,18.028059236165237,52.22915042868278,27743339.0
