village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
CHAK 40 N P,GANGANAGAR,99,065349,village,911,3.5,Amritsar–Jamnagar Expressway,76.03,Rai Singh Nagar,8.83,Ladhuka,131.72,Deendayal Port (Kandla),765.77,ICD Ludhiana,279.77,Attari ICP,212.22,Sri Guru Ram Dass Jee International Airport (ATQ),278.73,MMLP Sangrur,246.5,Varanasi Multi-Modal Terminal,1032.24,FCI Depot Bathinda,167.27,BIKANER Toll Plaza,85.48
CHAK 48 N P,GANGANAGAR,99,065359,village,911,2.21,Amritsar–Jamnagar Expressway,78.19,Rai Singh Nagar,10.62,Ladhuka,133.57,Deendayal Port (Kandla),764.12,ICD Ludhiana,282.2,Attari ICP,214.11,Sri Guru Ram Dass Jee International Airport (ATQ),280.49,MMLP Sangrur,249.08,Varanasi Multi-Modal Terminal,1034.26,FCI Depot Bathinda,169.78,BIKANER Toll Plaza,86.72
CHAK 20 N P,GANGANAGAR,99,065335,village,911,9.32,Amritsar–Jamnagar Expressway,66.31,Mohan Nagar,1.18,Ladhuka,125.87,Deendayal Port (Kandla),771.07,ICD Ludhiana,270.58,Attari ICP,206.04,Sri Guru Ram Dass Jee International Airport (ATQ),273.16,MMLP Sangrur,236.25,Varanasi Multi-Modal Terminal,1022.88,FCI Depot Bathinda,157.66,HANUMANGARH Toll Plaza,77.59
CHAK 12 N R D,GANGANAGAR,99,065303,village,62,18.23,Amritsar–Jamnagar Expressway,52.77,Masaniwala,12.24,Ladhuka,119.23,Deendayal Port (Kandla),778.33,ICD Ludhiana,257.98,Attari ICP,198.39,Sri Guru Ram Dass Jee International Airport (ATQ),266.26,MMLP Sangrur,221.88,Varanasi Multi-Modal Terminal,1009.31,FCI Depot Bathinda,144.49,HANUMANGARH Toll Plaza,62.37
CHAK 41 N P,GANGANAGAR,99,065348,village,911,2.02,Amritsar–Jamnagar Expressway,77.66,Rai Singh Nagar,9.06,Ladhuka,132.02,Deendayal Port (Kandla),765.64,ICD Ludhiana,280.71,Attari ICP,212.55,Sri Guru Ram Dass Jee International Airport (ATQ),278.95,MMLP Sangrur,247.74,Varanasi Multi-Modal Terminal,1033.87,FCI Depot Bathinda,168.33,BIKANER Toll Plaza,86.93
CHAK 32 M L,GANGANAGAR,99,065259,village,911,18.46,Amritsar–Jamnagar Expressway,58.42,Mohan Nagar,13.44,Ladhuka,116.08,Deendayal Port (Kandla),781.01,ICD Ludhiana,258.1,Attari ICP,195.74,Sri Guru Ram Dass Jee International Airport (ATQ),263.31,MMLP Sangrur,223.63,Varanasi Multi-Modal Terminal,1014.82,FCI Depot Bathinda,145.04,HANUMANGARH Toll Plaza,65.98
CHAK 5 M G M,GANGANAGAR,99,066135,village,911,4.14,Amritsar–Jamnagar Expressway,84.82,ANUPGARH,44.7,Bhadwasi,175.71,Deendayal Port (Kandla),686.48,ICD Ludhiana,352.48,Attari ICP,291.58,Jaipur International Airport (JAI),346.8,MMLP Sangrur,310.86,Varanasi Multi-Modal Terminal,1041.41,FCI Depot Bathinda,238.43,BIKANER Toll Plaza,81.54
3 Apm,GANGANAGAR,99,065611,village,911,3.35,Amritsar–Jamnagar Expressway,88.96,ANUPGARH,5.7,Ladhuka,162.75,Deendayal Port (Kandla),735.74,ICD Ludhiana,310.65,Attari ICP,243.34,Sri Guru Ram Dass Jee International Airport (ATQ),309.39,MMLP Sangrur,275.04,Varanasi Multi-Modal Terminal,1042.71,FCI Depot Bathinda,197.58,BIKANER Toll Plaza,88.67
CHAK 2A P M,GANGANAGAR,99,065619,village,911,5.65,Amritsar–Jamnagar Expressway,91.17,ANUPGARH,6.35,Ladhuka,164.43,Deendayal Port (Kandla),734.38,ICD Ludhiana,312.87,Attari ICP,245.03,Sri Guru Ram Dass Jee International Airport (ATQ),310.94,MMLP Sangrur,277.45,Varanasi Multi-Modal Terminal,1044.83,FCI Depot Bathinda,199.86,BIKANER Toll Plaza,90.7
CHAK 41 G B,GANGANAGAR,99,066519,village,911,22.2,Amritsar–Jamnagar Expressway,63.46,RAMSINGHPUR,5.92,Ladhuka,154.72,Deendayal Port (Kandla),742.27,ICD Ludhiana,293.45,Attari ICP,234.49,Sri Guru Ram Dass Jee International Airport (ATQ),302.0,MMLP Sangrur,254.06,Varanasi Multi-Modal Terminal,1017.56,FCI Depot Bathinda,179.51,BIKANER Toll Plaza,64.35
CHAK 32 A,GANGANAGAR,99,065641,village,911,11.21,Amritsar–Jamnagar Expressway,96.82,ANUPGARH,11.95,Ladhuka,173.74,Deendayal Port (Kandla),725.89,ICD Ludhiana,322.88,Attari ICP,254.34,Sri Guru Ram Dass Jee International Airport (ATQ),319.97,MMLP Sangrur,287.28,Varanasi Multi-Modal Terminal,1050.35,FCI Depot Bathinda,209.86,BIKANER Toll Plaza,96.1
CHAK 1 LSM,GANGANAGAR,99,065587,village,911,0.32,Amritsar–Jamnagar Expressway,86.35,ANUPGARH,8.73,Ladhuka,158.4,Deendayal Port (Kandla),739.81,ICD Ludhiana,306.03,Attari ICP,238.98,Sri Guru Ram Dass Jee International Airport (ATQ),305.14,MMLP Sangrur,270.56,Varanasi Multi-Modal Terminal,1040.41,FCI Depot Bathinda,192.97,BIKANER Toll Plaza,86.75
CHAK 5 B G D,GANGANAGAR,99,066579,village,911,23.3,Amritsar–Jamnagar Expressway,56.7,Bugia Halt,4.52,Ladhuka,135.98,Deendayal Port (Kandla),761.28,ICD Ludhiana,274.42,Attari ICP,215.43,Sri Guru Ram Dass Jee International Airport (ATQ),283.15,MMLP Sangrur,236.5,Varanasi Multi-Modal Terminal,1012.37,FCI Depot Bathinda,160.64,BIKANER Toll Plaza,65.3
CHAK 13 P S,GANGANAGAR,99,065246,village,911,15.29,Amritsar–Jamnagar Expressway,58.23,Mohan Nagar,18.49,Ladhuka,110.35,Deendayal Port (Kandla),786.75,ICD Ludhiana,253.01,Attari ICP,189.99,Sri Guru Ram Dass Jee International Airport (ATQ),257.57,MMLP Sangrur,219.44,Varanasi Multi-Modal Terminal,1014.68,FCI Depot Bathinda,140.2,HANUMANGARH Toll Plaza,63.62
CHAK 11 P S,GANGANAGAR,99,065185,village,911,2.98,Amritsar–Jamnagar Expressway,74.37,Rai Singh Nagar,3.76,Ladhuka,119.38,Deendayal Port (Kandla),778.04,ICD Ludhiana,268.63,Attari ICP,199.89,Sri Guru Ram Dass Jee International Airport (ATQ),266.41,MMLP Sangrur,237.04,Varanasi Multi-Modal Terminal,1030.93,FCI Depot Bathinda,156.71,HANUMANGARH Toll Plaza,81.87
CHAK 12 P S,GANGANAGAR,99,065186,village,911,1.42,Amritsar–Jamnagar Expressway,75.3,Rai Singh Nagar,2.11,Ladhuka,120.88,Deendayal Port (Kandla),776.64,ICD Ludhiana,270.33,Attari ICP,201.4,Sri Guru Ram Dass Jee International Airport (ATQ),267.86,MMLP Sangrur,238.72,Varanasi Multi-Modal Terminal,1031.91,FCI Depot Bathinda,158.42,HANUMANGARH Toll Plaza,83.31
CHAK 5 B W M,GANGANAGAR,99,065383,village,911,6.23,Amritsar–Jamnagar Expressway,93.65,Rai Singh Nagar,24.73,Ladhuka,143.88,Deendayal Port (Kandla),756.26,ICD Ludhiana,296.74,Attari ICP,224.43,Sri Guru Ram Dass Jee International Airport (ATQ),289.73,MMLP Sangrur,265.17,Varanasi Multi-Modal Terminal,1049.09,FCI Depot Bathinda,185.03,BIKANER Toll Plaza,98.39
LIKHMASAR BARANI,GANGANAGAR,99,065214,village,911,4.09,Amritsar–Jamnagar Expressway,89.05,Rai Singh Nagar,18.96,Ladhuka,139.12,Deendayal Port (Kandla),760.19,ICD Ludhiana,291.11,Attari ICP,219.71,Sri Guru Ram Dass Jee International Airport (ATQ),285.31,MMLP Sangrur,259.36,Varanasi Multi-Modal Terminal,1044.81,FCI Depot Bathinda,179.29,BIKANER Toll Plaza,95.37
CHAK 39 N P,GANGANAGAR,99,065344,village,911,2.91,Amritsar–Jamnagar Expressway,76.15,Rai Singh Nagar,7.74,Ladhuka,130.66,Deendayal Port (Kandla),766.86,ICD Ludhiana,278.95,Attari ICP,211.17,Sri Guru Ram Dass Jee International Airport (ATQ),277.66,MMLP Sangrur,245.9,Varanasi Multi-Modal Terminal,1032.47,FCI Depot Bathinda,166.53,BIKANER Toll Plaza,86.12
CHAK 42 P S,GANGANAGAR,99,065210,village,911,7.05,Amritsar–Jamnagar Expressway,92.93,Rai Singh Nagar,22.08,Ladhuka,140.55,Deendayal Port (Kandla),759.58,ICD Ludhiana,293.74,Attari ICP,221.1,Sri Guru Ram Dass Jee International Airport (ATQ),286.38,MMLP Sangrur,262.59,Varanasi Multi-Modal Terminal,1048.65,FCI Depot Bathinda,182.2,BIKANER Toll Plaza,98.86
CHAK 43 P S,GANGANAGAR,99,065212,village,911,5.23,Amritsar–Jamnagar Expressway,90.39,Rai Singh Nagar,19.89,Ladhuka,139.42,Deendayal Port (Kandla),760.17,ICD Ludhiana,291.87,Attari ICP,220.0,Sri Guru Ram Dass Jee International Airport (ATQ),285.49,MMLP Sangrur,260.36,Varanasi Multi-Modal Terminal,1046.17,FCI Depot Bathinda,180.16,BIKANER Toll Plaza,96.66
CHAK 5 N P,GANGANAGAR,99,065311,village,911,18.2,Amritsar–Jamnagar Expressway,57.27,Masaniwala,9.94,Ladhuka,120.28,Deendayal Port (Kandla),776.87,ICD Ludhiana,261.3,Attari ICP,199.85,Sri Guru Ram Dass Jee International Airport (ATQ),267.49,MMLP Sangrur,225.97,Varanasi Multi-Modal Terminal,1013.87,FCI Depot Bathinda,148.02,HANUMANGARH Toll Plaza,67.01
