village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
SURKHI,DAMOH,428,462454,village,BANDAKPUR,4.5,Shivpur - Godawari Commodity Pvt. Ltd.,254.16,Dahej Port,745.71,ICD Gwalior,287.9,Rupaidiha ICP,514.39,Dr. Babasaheb Ambedkar International Airport (NAG),307.35,MMLP Nagpur (Sindi),361.1,Varanasi Multi-Modal Terminal,373.97,FCI FSD Niwari,148.73
AMKHERA,DAMOH,428,462447,village,KARHIYA BHADELI,1.66,Shivpur - Godawari Commodity Pvt. Ltd.,252.13,Dahej Port,741.71,ICD Gwalior,287.17,Rupaidiha ICP,516.69,Dr. Babasaheb Ambedkar International Airport (NAG),305.59,MMLP Nagpur (Sindi),359.22,Varanasi Multi-Modal Terminal,377.91,FCI FSD Niwari,147.09
BHADAULI,DAMOH,428,462448,village,KARHIYA BHADELI,1.62,Shivpur - Godawari Commodity Pvt. Ltd.,253.99,Dahej Port,741.88,ICD Gwalior,289.23,Rupaidiha ICP,518.27,Dr. Babasaheb Ambedkar International Airport (NAG),303.82,MMLP Nagpur (Sindi),357.48,Varanasi Multi-Modal Terminal,378.05,FCI FSD Niwari,149.05
DHANAUWA,DAMOH,428,462450,village,KARHIYA BHADELI,3.79,Shivpur - Godawari Commodity Pvt. Ltd.,256.32,Dahej Port,742.21,ICD Gwalior,291.75,Rupaidiha ICP,520.13,Dr. Babasaheb Ambedkar International Airport (NAG),301.71,MMLP Nagpur (Sindi),355.43,Varanasi Multi-Modal Terminal,378.11,FCI FSD Niwari,151.48
MADIYA,DAMOH,428,462451,village,BANDAKPUR,2.76,Shivpur - Godawari Commodity Pvt. Ltd.,257.63,Dahej Port,744.33,ICD Gwalior,292.4,Rupaidiha ICP,519.15,Dr. Babasaheb Ambedkar International Airport (NAG),302.4,MMLP Nagpur (Sindi),356.19,Varanasi Multi-Modal Terminal,376.07,FCI FSD Niwari,152.57
SADIYA,DAMOH,428,462452,village,BANDAKPUR,2.08,Shivpur - Godawari Commodity Pvt. Ltd.,258.32,Dahej Port,745.14,ICD Gwalior,292.88,Rupaidiha ICP,518.95,Dr. Babasaheb Ambedkar International Airport (NAG),302.48,MMLP Nagpur (Sindi),356.29,Varanasi Multi-Modal Terminal,375.32,FCI FSD Niwari,153.2
NONPANI,DAMOH,428,462459,village,BANDAKPUR,5.11,Sathnaraini,253.28,Dahej Port,752.03,ICD Kanpur,291.71,Rupaidiha ICP,515.19,Dr. Babasaheb Ambedkar International Airport (NAG),305.51,MMLP Nagpur (Sindi),359.52,Varanasi Multi-Modal Terminal,368.54,FCI FSD Niwari,156.27
PANDA,DAMOH,428,462462,village,GHATERA,5.38,Sathnaraini,249.59,Dahej Port,755.49,ICD Kanpur,288.57,Rupaidiha ICP,511.92,Dr. Babasaheb Ambedkar International Airport (NAG),308.57,MMLP Nagpur (Sindi),362.65,Varanasi Multi-Modal Terminal,364.87,FCI FSD Niwari,156.39
NAUWAPATI,DAMOH,428,462460,village,GHATERA,6.72,Sathnaraini,246.84,Dahej Port,758.41,ICD Kanpur,286.42,Rupaidiha ICP,509.63,Dr. Babasaheb Ambedkar International Airport (NAG),310.68,MMLP Varanasi,361.85,Varanasi Multi-Modal Terminal,361.85,FCI FSD Niwari,157.07
GUNJI,DAMOH,428,462458,village,BANDAKPUR,1.61,Sathnaraini,255.89,Dahej Port,746.56,ICD Gwalior,290.78,Rupaidiha ICP,516.17,Dr. Babasaheb Ambedkar International Airport (NAG),305.27,MMLP Nagpur (Sindi),359.09,Varanasi Multi-Modal Terminal,373.54,FCI FSD Niwari,151.59
PARASAI,DAMOH,428,462269,village,DAMOH,11.62,Shivpur - Godawari Commodity Pvt. Ltd.,239.67,Dahej Port,734.57,ICD Gwalior,275.91,Rupaidiha ICP,512.7,Dr. Babasaheb Ambedkar International Airport (NAG),311.8,MMLP Nagpur (Sindi),365.01,Varanasi Multi-Modal Terminal,383.76,FCI FSD Niwari,134.87
DHIGSAR,DAMOH,428,462267,village,KARHIYA BHADELI,11.19,Shivpur - Godawari Commodity Pvt. Ltd.,241.74,Dahej Port,737.7,ICD Gwalior,276.97,Rupaidiha ICP,511.28,Dr. Babasaheb Ambedkar International Airport (NAG),312.58,MMLP Nagpur (Sindi),365.91,Varanasi Multi-Modal Terminal,380.71,FCI FSD Niwari,136.61
BHODAL KHEDI,DAMOH,428,462266,village,KARHIYA BHADELI,8.44,Shivpur - Godawari Commodity Pvt. Ltd.,245.07,Dahej Port,740.2,ICD Gwalior,279.74,Rupaidiha ICP,511.7,Dr. Babasaheb Ambedkar International Airport (NAG),311.48,MMLP Nagpur (Sindi),364.94,Varanasi Multi-Modal Terminal,378.48,FCI FSD Niwari,139.81
PADRAI,DAMOH,428,462264,village,KARHIYA BHADELI,11.56,Shivpur - Godawari Commodity Pvt. Ltd.,241.98,Dahej Port,739.34,ICD Gwalior,276.57,Rupaidiha ICP,509.76,Dr. Babasaheb Ambedkar International Airport (NAG),313.88,MMLP Nagpur (Sindi),367.25,Varanasi Multi-Modal Terminal,379.01,FCI FSD Niwari,136.65
JAMUNHATRI R F,DAMOH,428,NA,village,DAMOH,39.43,Kalmeshwar,248.88,Dahej Port,711.53,ICD Nagpur (MIHAN),260.99,Rupaidiha ICP,562.3,Dr. Babasaheb Ambedkar International Airport (NAG),261.87,MMLP Nagpur (Sindi),314.94,Varanasi Multi-Modal Terminal,414.43,FCI FSD Niwari,171.13
HINNAI,DAMOH,428,462279,village,DAMOH,5.67,Shivpur - Godawari Commodity Pvt. Ltd.,244.02,Dahej Port,732.99,ICD Gwalior,281.46,Rupaidiha ICP,518.3,Dr. Babasaheb Ambedkar International Airport (NAG),305.84,MMLP Nagpur (Sindi),359.09,Varanasi Multi-Modal Terminal,385.98,FCI FSD Niwari,139.76
UMARI,DAMOH,428,462277,village,DAMOH,6.95,Shivpur - Godawari Commodity Pvt. Ltd.,242.96,Dahej Port,733.11,ICD Gwalior,280.21,Rupaidiha ICP,517.2,Dr. Babasaheb Ambedkar International Airport (NAG),307.06,MMLP Nagpur (Sindi),360.29,Varanasi Multi-Modal Terminal,385.7,FCI FSD Niwari,138.6
