village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Hee Patal,Gyalshing,242,261036,village,510,9.43,19,499.87,Darjeeling,25.39,Budhma,196.29,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,511.95,ICD Siliguri,63.15,Jogbani ICP,131.27,Jay Prakash Narayan International Airport (PAT),353.21,MMLP Jogighopa,258.93,Hatsingimari Ro-Ro Terminal,217.7,FCI Depot Gangtok,11.97,DARJILING Toll Plaza,28.86
Radhukhanu,Gyalshing,242,261034,village,510,13.49,19,500.8,Darjeeling,27.76,Budhma,194.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,512.9,ICD Siliguri,65.58,Jogbani ICP,128.99,Jay Prakash Narayan International Airport (PAT),349.96,MMLP Jogighopa,263.13,Hatsingimari Ro-Ro Terminal,221.56,FCI Depot Gangtok,14.78,DARJILING Toll Plaza,31.05
Sangkhu,Gyalshing,242,261033,village,510,15.58,19,500.35,Darjeeling,28.26,Budhma,192.39,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,512.45,ICD Siliguri,65.99,Jogbani ICP,127.24,Jay Prakash Narayan International Airport (PAT),347.93,MMLP Jogighopa,264.76,Hatsingimari Ro-Ro Terminal,222.86,FCI Depot Gangtok,16.81,DARJILING Toll Plaza,31.43
Tikjya,Gyalshing,242,261018,village,510,8.98,19,505.12,Darjeeling,30.25,Budhma,200.74,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,517.2,ICD Siliguri,67.83,Jogbani ICP,135.64,Jay Prakash Narayan International Airport (PAT),356.52,MMLP Jogighopa,260.55,Hatsingimari Ro-Ro Terminal,220.41,FCI Depot Gangtok,8.28,DARJILING Toll Plaza,33.8
Lingchom,Gyalshing,242,261019,village,510,9.99,19,504.32,Darjeeling,29.79,Budhma,199.27,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,516.4,ICD Siliguri,67.49,Jogbani ICP,134.15,Jay Prakash Narayan International Airport (PAT),354.97,MMLP Jogighopa,261.35,Hatsingimari Ro-Ro Terminal,220.9,FCI Depot Gangtok,9.81,DARJILING Toll Plaza,33.29
Sardong,Gyalshing,242,261020,village,510,11.59,19,504.17,Darjeeling,30.13,Budhma,198.04,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,516.26,ICD Siliguri,67.92,Jogbani ICP,132.9,Jay Prakash Narayan International Airport (PAT),353.45,MMLP Jogighopa,262.77,Hatsingimari Ro-Ro Terminal,222.08,FCI Depot Gangtok,11.41,DARJILING Toll Plaza,33.57
Lungzik,Gyalshing,242,261021,village,510,12.02,19,503.46,Darjeeling,29.64,Budhma,197.14,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,515.56,ICD Siliguri,67.46,Jogbani ICP,132.0,Jay Prakash Narayan International Airport (PAT),352.61,MMLP Jogighopa,262.94,Hatsingimari Ro-Ro Terminal,222.05,FCI Depot Gangtok,12.19,DARJILING Toll Plaza,33.05
Yangthang,Gyalshing,242,261017,village,510,7.48,19,504.74,Darjeeling,29.59,Budhma,201.45,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,516.82,ICD Siliguri,67.03,Jogbani ICP,136.38,Lokpriya Gopinath Bordoloi International Airport (GAU),355.1,MMLP Jogighopa,259.07,Hatsingimari Ro-Ro Terminal,219.05,FCI Depot Gangtok,7.13,DARJILING Toll Plaza,33.18
Sapong,Gyalshing,242,261022,village,510,13.41,19,503.25,Darjeeling,29.95,Budhma,196.02,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,515.35,ICD Siliguri,67.78,Jogbani ICP,130.87,Jay Prakash Narayan International Airport (PAT),351.26,MMLP Jogighopa,264.11,Hatsingimari Ro-Ro Terminal,223.01,FCI Depot Gangtok,13.59,DARJILING Toll Plaza,33.29
Bongten,Gyalshing,242,261023,village,510,14.68,19,503.27,Darjeeling,30.47,Budhma,195.19,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,515.38,ICD Siliguri,68.29,Jogbani ICP,130.02,Jay Prakash Narayan International Airport (PAT),350.16,MMLP Jogighopa,265.26,Hatsingimari Ro-Ro Terminal,224.0,FCI Depot Gangtok,14.78,DARJILING Toll Plaza,33.76
Srinagi,Gyalshing,242,261024,village,510,15.82,19,502.82,Darjeeling,30.57,Budhma,194.06,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,514.92,ICD Siliguri,68.35,Jogbani ICP,128.88,Jay Prakash Narayan International Airport (PAT),348.9,MMLP Jogighopa,266.11,Hatsingimari Ro-Ro Terminal,224.63,FCI Depot Gangtok,16.05,DARJILING Toll Plaza,33.79
Liching,Gyalshing,242,261025,village,510,16.69,19,502.83,Darjeeling,30.98,Budhma,193.49,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,514.94,ICD Siliguri,68.71,Jogbani ICP,128.29,Jay Prakash Narayan International Airport (PAT),348.14,MMLP Jogighopa,266.89,Hatsingimari Ro-Ro Terminal,225.31,FCI Depot Gangtok,16.88,DARJILING Toll Plaza,34.15
Gyaten,Gyalshing,242,261026,village,510,18.38,19,503.24,Darjeeling,32.14,Budhma,192.7,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,515.36,ICD Siliguri,69.79,Jogbani ICP,127.49,Jay Prakash Narayan International Airport (PAT),346.9,MMLP Jogighopa,268.55,Sahibganj Multi-Modal Terminal,225.72,FCI Depot Gangtok,18.34,DARJILING Toll Plaza,35.24
Karmatar,Gyalshing,242,261027,village,510,20.78,19,505.18,Darjeeling,34.91,Budhma,192.74,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,517.31,ICD Siliguri,72.47,Jogbani ICP,127.51,Jay Prakash Narayan International Airport (PAT),345.95,MMLP Jogighopa,271.36,Sahibganj Multi-Modal Terminal,227.11,FCI Depot Gangtok,20.08,DARJILING Toll Plaza,37.96
Bhaluthang,Gyalshing,242,261003,village,510,9.03,19,509.16,Darjeeling,33.79,Budhma,205.53,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,521.23,ICD Siliguri,70.94,Jogbani ICP,140.4,Lokpriya Gopinath Bordoloi International Airport (GAU),355.69,MMLP Jogighopa,260.09,Hatsingimari Ro-Ro Terminal,221.05,FCI Depot Gangtok,5.04,DARJILING Toll Plaza,37.41
Gyalshing Nagar Panchayat,Gyalshing,242,801417,village,510,7.39,19,507.25,Darjeeling,31.84,Budhma,204.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,519.32,ICD Siliguri,68.99,Jogbani ICP,139.29,Lokpriya Gopinath Bordoloi International Airport (GAU),354.59,MMLP Jogighopa,258.83,Hatsingimari Ro-Ro Terminal,219.49,FCI Depot Gangtok,4.7,DARJILING Toll Plaza,35.47
Gyalshing Forest Block (Part),Gyalshing,242,261048,village,510,5.23,19,504.37,Darjeeling,28.9,Budhma,202.71,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,516.44,ICD Siliguri,66.03,Jogbani ICP,137.7,Lokpriya Gopinath Bordoloi International Airport (GAU),352.85,MMLP Jogighopa,256.88,Hatsingimari Ro-Ro Terminal,217.08,FCI Depot Gangtok,5.55,DARJILING Toll Plaza,32.54
Omchung,Gyalshing,242,261014,village,510,4.15,19,505.3,Darjeeling,29.69,Budhma,204.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,517.35,ICD Siliguri,66.44,Jogbani ICP,139.69,Lokpriya Gopinath Bordoloi International Airport (GAU),351.44,MMLP Jogighopa,255.62,Hatsingimari Ro-Ro Terminal,216.24,FCI Depot Gangtok,3.64,DARJILING Toll Plaza,33.35
Yangtey,Gyalshing,242,261001,village,510,5.58,19,507.02,Darjeeling,31.41,Budhma,205.84,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,519.07,ICD Siliguri,68.14,Jogbani ICP,140.81,Lokpriya Gopinath Bordoloi International Airport (GAU),352.23,MMLP Jogighopa,256.56,Hatsingimari Ro-Ro Terminal,217.49,FCI Depot Gangtok,2.51,DARJILING Toll Plaza,35.07
Unglok,Gyalshing,242,261002,village,510,8.16,19,509.34,Darjeeling,33.79,Budhma,206.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,521.4,ICD Siliguri,70.67,Jogbani ICP,141.7,Lokpriya Gopinath Bordoloi International Airport (GAU),354.17,MMLP Jogighopa,258.66,Hatsingimari Ro-Ro Terminal,219.88,FCI Depot Gangtok,3.41,DARJILING Toll Plaza,37.45
Kyongsa,Gyalshing,242,261016,village,510,6.39,19,505.1,Darjeeling,29.74,Budhma,202.61,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,517.17,ICD Siliguri,66.99,Jogbani ICP,137.56,Lokpriya Gopinath Bordoloi International Airport (GAU),354.0,MMLP Jogighopa,258.06,Hatsingimari Ro-Ro Terminal,218.27,FCI Depot Gangtok,5.81,DARJILING Toll Plaza,33.36
Yuksom,Gyalshing,242,260981,village,510,15.89,19,514.69,Darjeeling,39.9,Budhma,207.04,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,526.77,ICD Siliguri,77.38,Jogbani ICP,141.82,Jay Prakash Narayan International Airport (PAT),360.13,MMLP Jogighopa,266.33,Hatsingimari Ro-Ro Terminal,227.78,FCI Depot Gangtok,11.07,DARJILING Toll Plaza,43.47
Dubdi,Gyalshing,242,260980,village,510,14.8,19,514.66,Darjeeling,39.55,Budhma,208.18,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,526.74,ICD Siliguri,76.85,Jogbani ICP,142.97,Lokpriya Gopinath Bordoloi International Airport (GAU),359.95,MMLP Jogighopa,264.74,Hatsingimari Ro-Ro Terminal,226.43,FCI Depot Gangtok,9.64,DARJILING Toll Plaza,43.15
Labing,Gyalshing,242,260983,village,510,12.58,19,512.62,Darjeeling,37.39,Budhma,207.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,524.69,ICD Siliguri,74.63,Jogbani ICP,142.06,Lokpriya Gopinath Bordoloi International Airport (GAU),358.27,MMLP Jogighopa,262.92,Hatsingimari Ro-Ro Terminal,224.36,FCI Depot Gangtok,7.64,DARJILING Toll Plaza,41.0
Gerethang,Gyalshing,242,260982,village,510,11.36,19,511.98,Darjeeling,36.6,Budhma,207.58,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,524.05,ICD Siliguri,73.69,Jogbani ICP,142.42,Lokpriya Gopinath Bordoloi International Airport (GAU),356.88,MMLP Jogighopa,261.52,Hatsingimari Ro-Ro Terminal,223.0,FCI Depot Gangtok,6.25,DARJILING Toll Plaza,40.23
Arithang,Gyalshing,242,261005,village,510,11.5,19,512.88,Darjeeling,37.38,Budhma,209.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,524.95,ICD Siliguri,74.28,Jogbani ICP,143.84,Lokpriya Gopinath Bordoloi International Airport (GAU),356.19,MMLP Jogighopa,260.97,Hatsingimari Ro-Ro Terminal,222.77,FCI Depot Gangtok,6.02,DARJILING Toll Plaza,41.03
Chongrang,Gyalshing,242,261004,village,510,10.5,19,512.55,Darjeeling,36.95,Budhma,209.75,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,524.6,ICD Siliguri,73.6,Jogbani ICP,144.62,Lokpriya Gopinath Bordoloi International Airport (GAU),354.65,MMLP Jogighopa,259.47,Hatsingimari Ro-Ro Terminal,221.41,FCI Depot Gangtok,4.85,DARJILING Toll Plaza,40.61
Dhupidara,Gyalshing,242,261008,village,510,16.39,19,519.1,Darjeeling,43.45,Budhma,215.64,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,531.15,ICD Siliguri,79.71,Jogbani ICP,150.45,Lokpriya Gopinath Bordoloi International Airport (GAU),355.96,MMLP Jogighopa,261.46,Hatsingimari Ro-Ro Terminal,224.83,FCI Depot Gangtok,10.78,DARJILING Toll Plaza,47.13
Labdang,Gyalshing,242,261007,village,510,15.5,19,518.05,Darjeeling,42.42,Budhma,214.41,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,530.1,ICD Siliguri,78.81,Jogbani ICP,149.23,Lokpriya Gopinath Bordoloi International Airport (GAU),356.14,MMLP Jogighopa,261.51,Hatsingimari Ro-Ro Terminal,224.59,FCI Depot Gangtok,9.83,DARJILING Toll Plaza,46.08
Kongri,Gyalshing,242,261006,village,510,13.44,19,516.3,Darjeeling,40.66,Budhma,214.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,528.35,ICD Siliguri,76.73,Jogbani ICP,149.16,Lokpriya Gopinath Bordoloi International Airport (GAU),353.72,MMLP Jogighopa,259.01,Hatsingimari Ro-Ro Terminal,222.02,FCI Depot Gangtok,7.94,DARJILING Toll Plaza,44.34
Mangnam,Gyalshing,242,261010,village,510,14.47,19,517.49,Darjeeling,41.96,Budhma,216.84,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,529.52,ICD Siliguri,77.47,Jogbani ICP,151.72,Lokpriya Gopinath Bordoloi International Airport (GAU),351.9,MMLP Jogighopa,257.43,Hatsingimari Ro-Ro Terminal,221.02,FCI Depot Gangtok,9.49,DARJILING Toll Plaza,45.63
Narkhola,Gyalshing,242,261009,village,510,16.01,19,518.97,Darjeeling,43.35,Budhma,216.95,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,531.01,ICD Siliguri,79.18,Jogbani ICP,151.79,Lokpriya Gopinath Bordoloi International Airport (GAU),353.92,MMLP Jogighopa,259.52,Hatsingimari Ro-Ro Terminal,223.17,FCI Depot Gangtok,10.66,DARJILING Toll Plaza,47.03
Dentam,Gyalshing,242,261032,village,510,16.65,19,501.37,Darjeeling,29.7,Budhma,192.4,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,513.48,ICD Siliguri,67.39,Jogbani ICP,127.22,Jay Prakash Narayan International Airport (PAT),347.44,MMLP Jogighopa,266.23,Sahibganj Multi-Modal Terminal,224.3,FCI Depot Gangtok,17.39,DARJILING Toll Plaza,32.84
Mangmo,Gyalshing,242,261031,village,510,17.19,19,500.8,Darjeeling,29.46,Budhma,191.63,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,512.91,ICD Siliguri,67.09,Jogbani ICP,126.45,Jay Prakash Narayan International Airport (PAT),346.71,MMLP Jogighopa,266.43,Sahibganj Multi-Modal Terminal,223.62,FCI Depot Gangtok,18.09,DARJILING Toll Plaza,32.55
Begha,Gyalshing,242,261030,village,510,18.79,19,500.84,Darjeeling,30.33,Budhma,190.59,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,512.96,ICD Siliguri,67.83,Jogbani ICP,125.39,Jay Prakash Narayan International Airport (PAT),345.32,MMLP Jogighopa,267.88,Sahibganj Multi-Modal Terminal,223.27,FCI Depot Gangtok,19.55,DARJILING Toll Plaza,33.33
Maneybong,Gyalshing,242,261029,village,510,20.48,19,502.37,Darjeeling,32.54,Budhma,190.62,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,514.5,ICD Siliguri,69.96,Jogbani ICP,125.4,Jay Prakash Narayan International Airport (PAT),344.58,MMLP Jogighopa,270.08,Sahibganj Multi-Modal Terminal,224.37,FCI Depot Gangtok,20.66,DARJILING Toll Plaza,35.5
