village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
,SOUTH WEST,97,,village,SHAHABAD MOHAMADPUR,4.8,Farukh Nagar,22.32,Dahej Port,869.22,ICD Garhi Harsaru,17.26,Attari ICP,360.01,Indira Gandhi International Airport (DEL),7.52,MMLP Sangrur,213.5,Varanasi Multi-Modal Terminal,679.69,FCI Depot Delhi (NCR),18.19
,SOUTH WEST,97,,village,SHAHABAD MOHAMADPUR,2.55,Farukh Nagar,23.28,Dahej Port,868.93,ICD Garhi Harsaru,16.95,Attari ICP,362.47,Indira Gandhi International Airport (DEL),5.28,MMLP Sangrur,215.87,Varanasi Multi-Modal Terminal,677.2,FCI Depot Delhi (NCR),16.75
,SOUTH WEST,97,800441,village,SHAHABAD MOHAMADPUR,2.11,Farukh Nagar,25.75,Dahej Port,871.5,ICD Garhi Harsaru,19.55,Attari ICP,362.14,Indira Gandhi International Airport (DEL),4.25,MMLP Sangrur,215.2,Varanasi Multi-Modal Terminal,676.62,FCI Depot Delhi (NCR),14.46
,SOUTH WEST,97,,village,SHAHABAD MOHAMADPUR,3.32,Farukh Nagar,24.07,Dahej Port,870.48,ICD Garhi Harsaru,18.46,Attari ICP,360.91,Indira Gandhi International Airport (DEL),5.93,MMLP Sangrur,214.17,Varanasi Multi-Modal Terminal,678.28,FCI Depot Delhi (NCR),16.33
,SOUTH WEST,97,,village,SHAHABAD MOHAMADPUR,4.57,Farukh Nagar,25.11,Dahej Port,872.07,ICD Garhi Harsaru,20.07,Attari ICP,359.58,Indira Gandhi International Airport (DEL),6.81,MMLP Sangrur,212.7,Varanasi Multi-Modal Terminal,679.11,FCI Depot Delhi (NCR),15.91
,SOUTH WEST,97,,village,PALAM,1.81,Farukh Nagar,27.01,Dahej Port,872.72,ICD Patparganj,20.13,Attari ICP,362.13,Indira Gandhi International Airport (DEL),4.13,MMLP Sangrur,215.04,Varanasi Multi-Modal Terminal,676.19,FCI Depot Delhi (NCR),13.31
,SOUTH WEST,97,,village,SHAHABAD MOHAMADPUR,6.13,Farukh Nagar,23.92,Dahej Port,871.54,ICD Garhi Harsaru,19.7,Attari ICP,358.03,Indira Gandhi International Airport (DEL),8.57,MMLP Sangrur,211.31,Varanasi Multi-Modal Terminal,680.93,FCI Depot Delhi (NCR),17.66
,SOUTH WEST,97,,village,MUNDKA,7.48,Farukh Nagar,24.17,Dahej Port,872.69,ICD Garhi Harsaru,21.36,Attari ICP,355.03,Indira Gandhi International Airport (DEL),11.44,MMLP Sangrur,208.3,Varanasi Multi-Modal Terminal,683.7,FCI Depot Delhi (NCR),19.39
,SOUTH WEST,97,800441,village,MUNDKA,8.58,Farukh Nagar,23.21,Dahej Port,871.62,ICD Garhi Harsaru,20.26,Attari ICP,355.63,Indira Gandhi International Airport (DEL),11.08,MMLP Sangrur,209.02,Varanasi Multi-Modal Terminal,683.44,FCI Depot Delhi (NCR),19.7
,SOUTH WEST,97,,village,GHEVRA,8.82,Farukh Nagar,21.74,Dahej Port,870.52,ICD Garhi Harsaru,19.7,Attari ICP,354.4,Indira Gandhi International Airport (DEL),12.77,MMLP Sangrur,208.03,Varanasi Multi-Modal Terminal,685.15,FCI Depot Delhi (NCR),21.71
,SOUTH WEST,97,,village,GHEVRA,9.68,Farukh Nagar,21.11,Dahej Port,869.77,ICD Garhi Harsaru,18.86,Attari ICP,355.06,Indira Gandhi International Airport (DEL),12.39,MMLP Sangrur,208.76,Varanasi Multi-Modal Terminal,684.72,FCI Depot Delhi (NCR),21.75
,SOUTH WEST,97,,village,BIJWASAN,9.79,Farukh Nagar,19.01,Dahej Port,867.69,ICD Garhi Harsaru,17.03,Attari ICP,355.45,Indira Gandhi International Airport (DEL),13.11,MMLP Sangrur,209.44,Varanasi Multi-Modal Terminal,685.09,FCI Depot Delhi (NCR),23.24
,SOUTH WEST,97,,village,BIJWASAN,10.4,Farukh Nagar,18.04,Dahej Port,866.85,ICD Garhi Harsaru,16.53,Attari ICP,355.13,Indira Gandhi International Airport (DEL),13.96,MMLP Sangrur,209.26,Varanasi Multi-Modal Terminal,685.76,FCI Depot Delhi (NCR),24.27
,SOUTH WEST,97,,village,PALAM VIHAR HALT,10.8,Farukh Nagar,16.59,Dahej Port,865.5,ICD Garhi Harsaru,15.63,Attari ICP,355.02,Indira Gandhi International Airport (DEL),15.0,MMLP Sangrur,209.37,Varanasi Multi-Modal Terminal,686.4,FCI Depot Delhi (NCR),25.59
,SOUTH WEST,97,,village,GHEVRA,8.22,Farukh Nagar,21.5,Dahej Port,870.6,ICD Garhi Harsaru,20.51,Attari ICP,352.57,Indira Gandhi International Airport (DEL),14.68,MMLP Sangrur,206.29,Varanasi Multi-Modal Terminal,687.06,FCI Depot Delhi (NCR),23.32
,SOUTH WEST,97,,village,BAHADURGARH,11.51,Farukh Nagar,16.42,Dahej Port,865.68,ICD Garhi Harsaru,17.75,Attari ICP,351.73,Indira Gandhi International Airport (DEL),18.19,MMLP Sangrur,206.28,Varanasi Multi-Modal Terminal,689.84,FCI Depot Delhi (NCR),28.22
,SOUTH WEST,97,,village,BAHADURGARH,11.34,Farukh Nagar,17.62,Dahej Port,866.8,ICD Garhi Harsaru,17.67,Attari ICP,352.91,Indira Gandhi International Airport (DEL),16.26,MMLP Sangrur,207.19,Varanasi Multi-Modal Terminal,688.14,FCI Depot Delhi (NCR),26.2
,SOUTH WEST,97,,village,PALAM VIHAR HALT,12.04,Farukh Nagar,15.9,Dahej Port,865.02,ICD Garhi Harsaru,15.93,Attari ICP,353.97,Indira Gandhi International Airport (DEL),16.39,MMLP Sangrur,208.46,Varanasi Multi-Modal Terminal,687.72,FCI Depot Delhi (NCR),26.91
,SOUTH WEST,97,,village,Sultanpur Kalia,12.75,Farukh Nagar,13.84,Dahej Port,863.08,ICD Garhi Harsaru,15.26,Attari ICP,353.41,Indira Gandhi International Airport (DEL),18.39,MMLP Sangrur,208.26,Varanasi Multi-Modal Terminal,689.09,FCI Depot Delhi (NCR),29.16
,SOUTH WEST,97,,village,BAHADURGARH,13.2,Farukh Nagar,14.38,Dahej Port,863.63,ICD Garhi Harsaru,16.66,Attari ICP,351.87,Indira Gandhi International Airport (DEL),19.48,MMLP Sangrur,206.74,Varanasi Multi-Modal Terminal,690.52,FCI Depot Delhi (NCR),29.94
,SOUTH WEST,97,,village,Sultanpur Kalia,11.36,Farukh Nagar,12.03,Dahej Port,861.29,ICD Garhi Harsaru,14.86,Attari ICP,353.01,Indira Gandhi International Airport (DEL),20.22,MMLP Sangrur,208.19,Varanasi Multi-Modal Terminal,690.26,FCI Depot Delhi (NCR),31.19
,SOUTH WEST,97,,village,Sultanpur Kalia,12.54,Farukh Nagar,12.85,Dahej Port,862.02,ICD Garhi Harsaru,16.34,Attari ICP,351.53,Indira Gandhi International Airport (DEL),21.04,MMLP Sangrur,206.7,Varanasi Multi-Modal Terminal,691.54,FCI Depot Delhi (NCR),31.72
,SOUTH WEST,97,,village,GHEVRA,5.61,Farukh Nagar,24.18,Dahej Port,873.28,ICD Garhi Harsaru,22.95,Attari ICP,351.74,Indira Gandhi International Airport (DEL),14.76,MMLP Sangrur,205.11,Varanasi Multi-Modal Terminal,686.96,FCI Depot Delhi (NCR),22.08
,SOUTH WEST,97,,village,PALAM,4.13,Narela,25.46,Dahej Port,874.79,ICD Patparganj,20.73,Attari ICP,359.24,Indira Gandhi International Airport (DEL),7.17,MMLP Sangrur,212.01,Varanasi Multi-Modal Terminal,678.52,FCI Depot Delhi (NCR),13.89
,WEST,96,,village,NANGLOI,3.25,Narela,20.87,Dahej Port,877.87,ICD Patparganj,23.24,Attari ICP,354.11,Indira Gandhi International Airport (DEL),12.53,MMLP Sangrur,206.73,Varanasi Multi-Modal Terminal,682.87,FCI Depot Delhi (NCR),16.76
,SOUTH WEST,97,,village,PALAM,2.55,Narela,26.86,Dahej Port,873.97,ICD Patparganj,20.05,Attari ICP,360.85,Indira Gandhi International Airport (DEL),5.52,MMLP Sangrur,213.65,Varanasi Multi-Modal Terminal,677.11,FCI Depot Delhi (NCR),13.18
,SOUTH WEST,97,,village,PALAM,1.5,Noli,26.54,Dahej Port,874.75,ICD Patparganj,18.33,Attari ICP,362.11,Indira Gandhi International Airport (DEL),4.78,MMLP Sangrur,214.75,Varanasi Multi-Modal Terminal,675.52,FCI Depot Delhi (NCR),11.47
,SOUTH WEST,97,,village,PALAM,1.07,Noli,26.32,Dahej Port,874.44,ICD Patparganj,17.33,Attari ICP,363.73,Indira Gandhi International Airport (DEL),3.6,MMLP Sangrur,216.34,Varanasi Multi-Modal Terminal,673.92,FCI Depot Delhi (NCR),10.52
,SOUTH WEST,97,,village,NASIRPUR HALT,1.81,Noli,25.8,Dahej Port,875.79,ICD Patparganj,18.17,Attari ICP,361.24,Indira Gandhi International Airport (DEL),5.94,MMLP Sangrur,213.8,Varanasi Multi-Modal Terminal,676.08,FCI Depot Delhi (NCR),11.31
,SOUTH WEST,97,800441,village,BIJWASAN,3.68,Farukh Nagar,25.54,Dahej Port,867.44,ICD Garhi Harsaru,16.78,Attari ICP,368.22,Indira Gandhi International Airport (DEL),3.88,MMLP Sangrur,221.52,Varanasi Multi-Modal Terminal,671.69,FCI Depot Delhi (NCR),15.45
,SOUTH WEST,97,,village,BIJWASAN,1.12,Farukh Nagar,23.01,Dahej Port,866.43,ICD Garhi Harsaru,14.96,Attari ICP,366.02,Indira Gandhi International Airport (DEL),5.13,MMLP Sangrur,219.58,Varanasi Multi-Modal Terminal,674.38,FCI Depot Delhi (NCR),17.35
,SOUTH WEST,97,,village,BIJWASAN,2.12,Farukh Nagar,22.47,Dahej Port,865.34,ICD Garhi Harsaru,14.02,Attari ICP,366.74,Indira Gandhi International Airport (DEL),6.06,MMLP Sangrur,220.41,Varanasi Multi-Modal Terminal,674.03,FCI Depot Delhi (NCR),18.19
NANAK HERI,SOUTH WEST,97,064033,village,GURGAON,3.83,Farukh Nagar,16.41,Dahej Port,862.07,ICD Garhi Harsaru,10.1,Attari ICP,362.69,Indira Gandhi International Airport (DEL),11.48,MMLP Sangrur,217.08,Varanasi Multi-Modal Terminal,679.6,FCI Depot Delhi (NCR),23.63
RAGHUPUR,SOUTH WEST,97,064031,village,PALAM VIHAR HALT,2.68,Farukh Nagar,18.14,Dahej Port,863.32,ICD Garhi Harsaru,11.3,Attari ICP,363.39,Indira Gandhi International Airport (DEL),9.75,MMLP Sangrur,217.55,Varanasi Multi-Modal Terminal,678.36,FCI Depot Delhi (NCR),21.93
