district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
KARAIKAL,37,2.04,3.32,97.2972972972973,100.0,100.0,257.42,258.05,0.0,0.0,0.0,5.71,5.81,97.2972972972973,100.0,100.0,78.87,79.28,0.0,0.0,0.0,6.36,6.45,89.1891891891892,100.0,100.0,198.87,198.58,0.0,0.0,0.0,1634.5,1633.93,0.0,0.0,0.0,122.48,121.84,0.0,0.0,0.0,243.24,243.2,0.0,0.0,0.0,391.45,391.15,0.0,0.0,0.0,122.73,121.98,0.0,0.0,0.0,46.43,47.04,0.0,0.0,75.67567567567568,213920.0
PUDUCHERRY,92,1.63,2.99,98.91304347826086,100.0,100.0,152.8,171.49,0.0,0.0,0.0,5.359999999999999,6.94,84.78260869565217,96.73913043478261,100.0,55.585,70.89,0.0,0.0,25.0,112.2,115.48,0.0,0.0,0.0,135.275,152.21,0.0,0.0,0.0,1549.0949999999998,1528.86,0.0,0.0,0.0,128.515,127.83,0.0,0.0,0.0,136.7,138.46,0.0,0.0,0.0,420.905,392.36,0.0,0.0,0.0,141.79000000000002,138.12,0.0,0.0,0.0,8.295,8.58,67.3913043478261,100.0,100.0,1034033.0
__STATE__,129,,3.046567514962503,98.44961240310077,100.0,100.0,,186.32783059137645,0.0,0.0,0.0,,6.746299115431431,88.37209302325581,97.67441860465115,100.0,,72.32818621374362,0.0,0.0,17.829457364341085,,96.79043588981317,25.581395348837212,28.68217054263566,28.68217054263566,,160.15859293579166,0.0,0.0,0.0,,1546.8707539306367,0.0,0.0,0.0,,126.80321389507458,0.0,0.0,0.0,,156.41418641567432,0.0,0.0,0.0,,392.15258577847084,0.0,0.0,0.0,,135.3533342681976,0.0,0.0,0.0,,15.172686743811667,48.06201550387597,71.31782945736434,93.02325581395348,1247953.0
