district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
Gangtok,62,2.005,2.92,100.0,100.0,100.0,507.47,507.72,0.0,0.0,0.0,42.555,42.52,0.0,0.0,87.09677419354838,222.96,222.97,0.0,0.0,0.0,519.4,519.62,0.0,0.0,0.0,67.265,67.73,0.0,0.0,0.0,163.385,162.96,0.0,0.0,0.0,324.36,324.08,0.0,0.0,0.0,230.245,229.91,0.0,0.0,0.0,195.245,195.44,0.0,0.0,0.0,29.380000000000003,28.88,0.0,35.483870967741936,98.38709677419355,45.349999999999994,45.39,0.0,0.0,74.19354838709677,131307.0
Gyalshing,70,12.3,12.11,34.285714285714285,98.57142857142858,100.0,507.225,507.51,0.0,0.0,0.0,32.760000000000005,33.28,0.0,1.4285714285714286,100.0,202.49,202.1,0.0,0.0,0.0,519.2950000000001,519.59,0.0,0.0,0.0,70.41,70.56,0.0,0.0,0.0,137.57,136.98,0.0,0.0,0.0,353.365,353.18,0.0,0.0,0.0,261.8,262.32,0.0,0.0,0.0,222.89,222.34,0.0,0.0,0.0,9.82,10.52,51.42857142857142,100.0,100.0,36.34,36.77,0.0,0.0,98.57142857142858,24289.0
Mangan,53,7.13,10.78,64.15094339622641,88.67924528301887,98.11320754716981,530.11,532.17,0.0,0.0,0.0,62.4,65.47,0.0,0.0,1.8867924528301887,237.07,238.15,0.0,0.0,0.0,542.0,544.05,0.0,0.0,0.0,90.61,92.38,0.0,0.0,0.0,180.75,183.23,0.0,0.0,0.0,329.89,330.24,0.0,0.0,0.0,238.5,239.32,0.0,0.0,0.0,209.13,210.65,0.0,0.0,0.0,39.87,41.65,0.0,0.0,84.90566037735849,65.76,68.67,0.0,0.0,0.0,11540.0
Namchi,149,2.76,3.29,96.64429530201343,100.0,100.0,493.78,496.28,0.0,0.0,0.0,24.54,25.21,0.0,53.02013422818792,100.0,206.25,207.65,0.0,0.0,0.0,505.77,508.27,0.0,0.0,0.0,53.06,55.58,0.0,0.0,42.281879194630875,143.34,144.12,0.0,0.0,0.0,334.68,335.14,0.0,0.0,0.0,238.92,239.12,0.0,0.0,0.0,198.54,199.79,0.0,0.0,0.0,21.25,19.87,12.080536912751679,76.51006711409396,100.0,27.19,28.27,0.0,41.61073825503356,98.65771812080537,395324.0
Pakyong,60,1.38,1.9,100.0,100.0,100.0,497.35,497.78,0.0,0.0,0.0,38.065,37.89,0.0,0.0,100.0,213.54000000000002,213.46,0.0,0.0,0.0,509.21500000000003,509.63,0.0,0.0,0.0,59.58,60.07,0.0,0.0,0.0,161.98000000000002,161.47,0.0,0.0,0.0,312.20500000000004,312.52,0.0,0.0,0.0,217.375,217.63,0.0,0.0,0.0,182.39,182.26,0.0,0.0,0.0,38.81999999999999,38.58,0.0,0.0,93.33333333333333,41.769999999999996,41.9,0.0,0.0,100.0,36414.0
Soreng,53,10.38,10.4,47.16981132075472,100.0,100.0,490.8,491.08,0.0,0.0,0.0,17.2,17.37,0.0,100.0,100.0,192.12,191.67,0.0,0.0,0.0,502.86,503.15,0.0,0.0,0.0,53.94,54.39,0.0,0.0,11.320754716981133,127.82,127.01,0.0,0.0,0.0,345.67,345.9,0.0,0.0,0.0,253.12,253.01,0.0,0.0,0.0,209.71,209.67,0.0,0.0,0.0,19.1,19.01,3.7735849056603774,83.01886792452831,100.0,20.57,20.64,0.0,84.90566037735849,100.0,11704.0
__STATE__,447,,3.7562466875648974,78.07606263982103,98.43400447427292,99.77628635346755,,499.8550524093564,0.0,0.0,0.0,,30.620458549112485,0.0,29.753914988814316,86.57718120805369,,211.3404780552198,0.0,0.0,0.0,,511.8203828994821,0.0,0.0,0.0,,59.7293017599717,0.0,0.0,15.436241610738255,,149.33351453868303,0.0,0.0,0.0,,332.24376479335973,0.0,0.0,0.0,,237.05066083285016,0.0,0.0,0.0,,199.1007416251486,0.0,0.0,0.0,,22.946684092777662,12.527964205816556,55.92841163310962,97.0917225950783,,33.72003200246324,0.0,23.937360178970916,83.89261744966443,610578.0
