district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
NANDURB>R,989,26.2,25.13,28.51365015166835,46.814964610717894,92.92214357937311,142.23,138.62,0.0,0.0,0.0,161.37,163.06,0.0,0.0,0.0,155.09,152.33,0.0,0.0,0.0,1014.26,1017.78,0.0,0.0,0.0,1632928.0
PALGHAR,915,17.38,18.12,33.114754098360656,70.92896174863388,100.0,60.88,62.82,0.0,0.9836065573770493,25.02732240437158,95.44,93.0,0.0,0.0,1.3114754098360655,81.85,80.45,0.0,0.1092896174863388,7.213114754098362,1236.4,1235.72,0.0,0.0,0.0,6015627.0
PARBHANI,854,12.504999999999999,14.72,40.98360655737705,83.37236533957847,100.0,268.015,263.26,0.0,0.0,0.0,391.095,391.48,0.0,0.0,0.0,273.455,272.06,0.0,0.0,0.0,1088.745,1088.34,0.0,0.0,0.0,1805245.0
PUNE,1884,21.84,23.37,23.726114649681527,56.26326963906582,93.47133757961782,45.795,51.82,0.15923566878980894,9.288747346072187,58.067940552016985,111.695,119.09,0.0,0.0,0.10615711252653928,48.175,52.4,0.583864118895966,7.218683651804671,54.67091295116773,1288.88,1288.71,0.0,0.0,0.0,9386363.0
RAIGAD,2083,8.59,10.07,56.072971675468075,95.82333173307728,100.0,48.14,48.4,4.560729716754681,19.347095535285646,51.4642342774844,50.6,57.76,2.256361017762842,15.218434949591936,49.30388862217955,62.26,62.22,0.0,2.112337974075852,30.580892942870857,1340.01,1337.34,0.0,0.0,0.0,2556123.0
RATNAGIRI,1547,11.31,13.04,44.602456367162254,88.88170652876535,100.0,140.5,144.13,0.0,0.0,0.0,157.3,156.67,0.0,0.0,0.0,149.01,152.55,0.0,0.0,0.0,1435.2,1437.17,0.0,0.0,0.0,1603560.0
S>T>RA,1800,20.805,20.45,21.88888888888889,64.27777777777777,99.05555555555556,100.725,102.16,0.0,0.0,1.7222222222222223,187.875,182.86,0.0,0.0,0.0,105.45,107.58,0.0,0.0,0.6111111111111112,1369.475,1370.64,0.0,0.0,0.0,2982948.0
SANGLI,753,18.59,18.46,28.818061088977426,67.99468791500664,100.0,173.11,178.55,0.0,0.0,0.0,205.08,208.95,0.0,0.0,0.0,177.26,181.99,0.0,0.0,0.0,1394.65,1393.79,0.0,0.0,0.0,2799723.0
SINDHUDURG,754,12.535,13.59,39.389920424403186,89.25729442970822,100.0,264.90999999999997,263.03,0.0,0.0,0.0,78.535,80.4,0.0,0.0,17.771883289124666,272.34000000000003,270.15,0.0,0.0,0.0,1537.685,1533.78,0.0,0.0,0.0,842193.0
SOLAPUR,1174,11.51,14.14,44.71890971039183,84.41226575809199,100.0,192.98,188.95,0.0,0.0,0.0,287.91999999999996,286.87,0.0,0.0,0.0,190.31,186.37,0.0,0.0,0.0,1285.76,1284.31,0.0,0.0,0.0,4277369.0
THANE,830,10.23,13.23,49.1566265060241,83.73493975903614,100.0,39.71,40.04,0.7228915662650602,20.0,67.71084337349397,58.370000000000005,59.33,0.0,2.1686746987951806,31.566265060240962,54.525000000000006,55.77,0.0,4.096385542168675,43.132530120481924,1260.01,1258.8,0.0,0.0,0.0,5154199.0
WARDHA,1421,14.86,15.33,33.145672061928224,84.65869106263196,100.0,68.62,68.72,0.0,0.0,15.904292751583393,570.9,568.86,0.0,0.0,0.0,67.85,68.07,0.0,0.0,17.17100633356791,862.36,863.05,0.0,0.0,0.0,1292490.0
WASHIM,781,15.45,18.22,25.224071702944943,77.20870678617158,99.8719590268886,200.88,205.31,0.0,0.0,0.0,471.31,466.6,0.0,0.0,0.0,200.21,204.66,0.0,0.0,0.0,965.11,965.27,0.0,0.0,0.0,1792807.0
YAVATMAL,2145,24.93,25.24,11.608391608391608,50.20979020979021,97.2027972027972,137.81,144.59,0.0,0.0,0.0,532.44,531.65,0.0,0.0,0.0,137.01,143.78,0.0,0.0,0.0,940.52,945.97,0.0,0.0,0.0,2757352.0
__STATE__,44659,,18.247658913938935,32.268971539891176,68.41174231397926,94.393067466804,,118.93260578534252,0.34035692693522024,3.0363420587115697,12.494681923016637,,247.86493958811977,0.10748113482164849,0.7546071340603238,3.22219485434067,,131.43755056872666,0.1186770863655702,1.3793412302111556,8.370093374235877,,1154.3909975843032,0.0,0.0,0.0,110956818.0
