village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
PARSIAN,JHARSUGUDA,371,380971,village,DAGHORA,12.63,ICD Raipur,217.0,Dhamra Port,341.65,Biju Patnaik International Airport (BBI),270.93,Petrapole ICP,539.93
CHHARLA,JHARSUGUDA,371,381049,village,LAJKURA CABIN,8.13,ICD Ranchi,229.54,Dhamra Port,326.36,Biju Patnaik International Airport (BBI),258.15,Petrapole ICP,524.69
KHUNTMAHUL,JHARSUGUDA,371,381021,village,BELPAHAR,8.57,ICD Raipur,229.87,Dhamra Port,329.52,Biju Patnaik International Airport (BBI),261.17,Petrapole ICP,527.19
UBURA,JHARSUGUDA,371,381025,village,LAJKURA CABIN,8.93,ICD Ranchi,230.63,Dhamra Port,328.27,Biju Patnaik International Airport (BBI),259.8,Petrapole ICP,526.48
BANDHABAHAL,JHARSUGUDA,371,381073,village,LAJKURA CABIN,6.66,ICD Ranchi,227.26,Dhamra Port,324.11,Biju Patnaik International Airport (BBI),256.61,Petrapole ICP,521.95
BHAUNRKHOL,JHARSUGUDA,371,381013,village,DAGHORA,13.12,ICD Raipur,220.55,Dhamra Port,338.46,Biju Patnaik International Airport (BBI),268.46,Petrapole ICP,536.4
KADAMDIHI,JHARSUGUDA,371,380972,village,DAGHORA,11.34,ICD Raipur,217.91,Dhamra Port,341.52,Biju Patnaik International Airport (BBI),271.32,Petrapole ICP,538.97
BANJIPALI,JHARSUGUDA,371,381024,village,LAJKURA CABIN,7.43,ICD Ranchi,229.15,Dhamra Port,328.54,Biju Patnaik International Airport (BBI),260.66,Petrapole ICP,525.72
BADDARHA,JHARSUGUDA,371,380986,village,JAMGA,13.36,ICD Raipur,199.76,Dhamra Port,359.75,Biju Patnaik International Airport (BBI),286.96,Petrapole ICP,557.01
LUHABAGA,JHARSUGUDA,371,380987,village,KOTARLIA,13.46,ICD Raipur,197.3,Dhamra Port,362.15,Biju Patnaik International Airport (BBI),289.01,Petrapole ICP,559.47
JAMPALI,JHARSUGUDA,371,380982,village,IBH1,12.16,ICD Raipur,205.29,Dhamra Port,354.31,Biju Patnaik International Airport (BBI),282.34,Petrapole ICP,551.49
KUDABAGA,JHARSUGUDA,371,380976,village,DAGHORA,11.66,ICD Raipur,214.49,Dhamra Port,344.57,Biju Patnaik International Airport (BBI),273.69,Petrapole ICP,542.38
NACHANMURA,JHARSUGUDA,371,380978,village,IBH1,10.39,ICD Raipur,209.62,Dhamra Port,350.34,Biju Patnaik International Airport (BBI),279.16,Petrapole ICP,547.17
DARLIPALI,JHARSUGUDA,371,381043,village,LAJKURA CABIN,6.44,ICD Ranchi,228.13,Dhamra Port,327.29,Biju Patnaik International Airport (BBI),259.7,Petrapole ICP,524.36
KHOLJAMKANI,JHARSUGUDA,371,381012,village,BELPAHAR,12.77,ICD Raipur,222.37,Dhamra Port,337.16,Biju Patnaik International Airport (BBI),267.7,Petrapole ICP,534.56
PALSADA,JHARSUGUDA,371,380980,village,IBH1,11.24,ICD Raipur,208.16,Dhamra Port,351.42,Biju Patnaik International Airport (BBI),279.86,Petrapole ICP,548.63
GOBINDPUR,JHARSUGUDA,371,380973,village,DAGHORA,10.47,ICD Raipur,216.3,Dhamra Port,343.43,Biju Patnaik International Airport (BBI),273.14,Petrapole ICP,540.55
DUDAGAN,JHARSUGUDA,371,380969,village,DAGHORA,11.17,ICD Raipur,219.11,Dhamra Port,340.6,Biju Patnaik International Airport (BBI),270.73,Petrapole ICP,537.76
TINGISMAL,JHARSUGUDA,371,381022,village,BELPAHAR,7.63,ICD Ranchi,229.91,Dhamra Port,329.98,Biju Patnaik International Airport (BBI),261.93,Petrapole ICP,527.03
PANCHPUDGIYA,JHARSUGUDA,371,380979,village,IBH1,9.87,ICD Raipur,207.9,Dhamra Port,352.57,Biju Patnaik International Airport (BBI),281.37,Petrapole ICP,548.87
JHARUPADA,JHARSUGUDA,371,380981,village,IBH1,10.82,ICD Raipur,206.87,Dhamra Port,353.2,Biju Patnaik International Airport (BBI),281.68,Petrapole ICP,549.91
SUBMERGED AREA,JHARSUGUDA,371,47,village,LAJKURA CABIN,15.6,ICD Raipur,232.67,Dhamra Port,322.14,Biju Patnaik International Airport (BBI),251.67,Petrapole ICP,525.33
CHHUINPALI,JHARSUGUDA,371,380983,village,JAMGA,11.98,ICD Raipur,203.91,Dhamra Port,355.89,Biju Patnaik International Airport (BBI),283.82,Petrapole ICP,552.87
KHTRAPALI,JHARSUGUDA,371,380967,village,DAGHORA,9.57,ICD Raipur,217.55,Dhamra Port,342.77,Biju Patnaik International Airport (BBI),272.95,Petrapole ICP,539.28
RENKOLI,JHARSUGUDA,371,380960,village,IBH1,9.26,ICD Raipur,209.34,Dhamra Port,351.29,Biju Patnaik International Airport (BBI),280.38,Petrapole ICP,547.43
SAMARBAGA,JHARSUGUDA,371,380965,village,DAGHORA,9.39,ICD Raipur,215.52,Dhamra Port,344.77,Biju Patnaik International Airport (BBI),274.63,Petrapole ICP,541.29
MAHASINGA,JHARSUGUDA,371,380961,village,IBH1,9.41,ICD Raipur,210.05,Dhamra Port,350.45,Biju Patnaik International Airport (BBI),279.58,Petrapole ICP,546.73
LAKHANPUR,JHARSUGUDA,371,381010,village,BELPAHAR,9.96,ICD Raipur,226.05,Dhamra Port,333.6,Biju Patnaik International Airport (BBI),264.77,Petrapole ICP,530.92
JAMGAN,JHARSUGUDA,371,380963,village,DAGHORA,9.99,ICD Raipur,213.1,Dhamra Port,347.04,Biju Patnaik International Airport (BBI),276.47,Petrapole ICP,543.7
MAULIBERNA,JHARSUGUDA,371,381017,village,BELPAHAR,10.54,ICD Raipur,224.11,Dhamra Port,336.61,Biju Patnaik International Airport (BBI),267.99,Petrapole ICP,532.75
KANJIJHARAN,JHARSUGUDA,371,380955,village,JAMGA,10.34,ICD Raipur,202.41,Dhamra Port,358.52,Biju Patnaik International Airport (BBI),286.73,Petrapole ICP,554.37
TELEN,JHARSUGUDA,371,380964,village,DAGHORA,8.63,ICD Raipur,213.56,Dhamra Port,347.37,Biju Patnaik International Airport (BBI),277.22,Petrapole ICP,543.22
BHIKHAMPALI,JHARSUGUDA,371,380956,village,JAMGA,10.55,ICD Raipur,205.46,Dhamra Port,355.15,Biju Patnaik International Airport (BBI),283.66,Petrapole ICP,551.31
KHAIRKUNI,JHARSUGUDA,371,381023,village,BELPAHAR,5.75,ICD Ranchi,227.74,Dhamra Port,329.01,Biju Patnaik International Airport (BBI),261.7,Petrapole ICP,525.12
PANOHGAN,JHARSUGUDA,371,380958,village,IBH1,8.83,ICD Raipur,208.6,Dhamra Port,352.41,Biju Patnaik International Airport (BBI),281.56,Petrapole ICP,548.18
BETJHARAN,JHARSUGUDA,371,380968,village,DAGHORA,9.53,ICD Raipur,219.46,Dhamra Port,341.21,Biju Patnaik International Airport (BBI),271.84,Petrapole ICP,537.36
BIJAPALI,JHARSUGUDA,371,380959,village,IBH1,8.33,ICD Raipur,209.72,Dhamra Port,351.44,Biju Patnaik International Airport (BBI),280.81,Petrapole ICP,547.05
KANAKTORA,JHARSUGUDA,371,380953,village,KOTARLIA,11.26,ICD Raipur,197.93,Dhamra Port,362.78,Biju Patnaik International Airport (BBI),290.25,Petrapole ICP,558.87
KATARBAGA,JHARSUGUDA,371,380942,village,IBH1,9.09,ICD Raipur,211.47,Dhamra Port,349.21,Biju Patnaik International Airport (BBI),278.63,Petrapole ICP,545.31
DHENGURJOR,JHARSUGUDA,371,381275,village,PANPALI,20.85,ICD Ranchi,200.98,Dhamra Port,287.0,Biju Patnaik International Airport (BBI),228.88,Petrapole ICP,482.26
KUREMAL,JHARSUGUDA,371,380941,village,DAGHORA,8.16,ICD Raipur,214.26,Dhamra Port,346.85,Biju Patnaik International Airport (BBI),276.88,Petrapole ICP,542.51
BANJIPALI,JHARSUGUDA,371,380945,village,IBH1,7.53,ICD Raipur,210.57,Dhamra Port,351.0,Biju Patnaik International Airport (BBI),280.69,Petrapole ICP,546.2
CHIKHALAPALI,JHARSUGUDA,371,380957,village,JAMGA,9.3,ICD Raipur,206.1,Dhamra Port,355.24,Biju Patnaik International Airport (BBI),284.16,Petrapole ICP,550.68
SUKALPALI,JHARSUGUDA,371,380946,village,IBH1,7.41,ICD Raipur,209.85,Dhamra Port,351.86,Biju Patnaik International Airport (BBI),281.5,Petrapole ICP,546.92
BADIMAL,JHARSUGUDA,371,380954,village,JAMGA,11.14,ICD Raipur,200.36,Dhamra Port,360.53,Biju Patnaik International Airport (BBI),288.43,Petrapole ICP,556.42
JALADIHI,JHARSUGUDA,371,381257,village,DHUTRA,13.88,ICD Ranchi,206.32,Dhamra Port,298.5,Biju Patnaik International Airport (BBI),238.12,Petrapole ICP,493.13
RENGALI,JHARSUGUDA,371,380947,village,IBH1,7.72,ICD Raipur,208.85,Dhamra Port,352.85,Biju Patnaik International Airport (BBI),282.33,Petrapole ICP,547.92
ATABIRA,JHARSUGUDA,371,380948,village,IBH1,8.74,ICD Raipur,207.6,Dhamra Port,353.72,Biju Patnaik International Airport (BBI),282.85,Petrapole ICP,549.17
BASENPALI,JHARSUGUDA,371,380949,village,JAMGA,8.43,ICD Raipur,204.65,Dhamra Port,357.19,Biju Patnaik International Airport (BBI),286.11,Petrapole ICP,552.14
KURALOI,JHARSUGUDA,371,381009,village,BELPAHAR,5.16,ICD Ranchi,227.96,Dhamra Port,331.15,Biju Patnaik International Airport (BBI),263.94,Petrapole ICP,526.49
BAIRAGIDIHI,JHARSUGUDA,371,381274,village,PANPALI,18.73,ICD Ranchi,200.02,Dhamra Port,288.75,Biju Patnaik International Airport (BBI),231.01,Petrapole ICP,482.79
JHARGAN,JHARSUGUDA,371,380966,village,DAGHORA,7.45,ICD Raipur,217.11,Dhamra Port,344.32,Biju Patnaik International Airport (BBI),274.93,Petrapole ICP,539.67
NUADIHI,JHARSUGUDA,371,380944,village,IBH1,6.47,ICD Raipur,210.43,Dhamra Port,351.8,Biju Patnaik International Airport (BBI),281.75,Petrapole ICP,546.35
CHUINKHANCH,JHARSUGUDA,371,380940,village,DAGHORA,6.49,ICD Raipur,215.83,Dhamra Port,346.14,Biju Patnaik International Airport (BBI),276.79,Petrapole ICP,540.94
BAUSENPALI,JHARSUGUDA,371,380943,village,IBH1,7.16,ICD Raipur,211.39,Dhamra Port,350.38,Biju Patnaik International Airport (BBI),280.27,Petrapole ICP,545.39
KHERUAL,JHARSUGUDA,371,381142,village,BRUNDAMAL,1.06,ICD Ranchi,214.59,Dhamra Port,312.98,Biju Patnaik International Airport (BBI),249.71,Petrapole ICP,507.37
DEBDARHA,JHARSUGUDA,371,380939,village,DAGHORA,6.46,ICD Raipur,214.85,Dhamra Port,347.26,Biju Patnaik International Airport (BBI),277.83,Petrapole ICP,541.93
PIKOL,JHARSUGUDA,371,381011,village,BELPAHAR,8.95,ICD Raipur,225.73,Dhamra Port,335.31,Biju Patnaik International Airport (BBI),267.11,Petrapole ICP,531.12
JHARGAON,JHARSUGUDA,371,380951,village,KOTARLIA,8.57,ICD Raipur,199.4,Dhamra Port,362.94,Biju Patnaik International Airport (BBI),291.29,Petrapole ICP,557.45
LARIAPALI,JHARSUGUDA,371,381273,village,BAGDIHI,20.32,ICD Ranchi,199.41,Dhamra Port,286.88,Biju Patnaik International Airport (BBI),229.43,Petrapole ICP,481.17
