district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
LEPA RADA,25,5.67,8.21,60.0,100.0,100.0,846.63,845.85,0.0,0.0,0.0,59.21,56.77,0.0,0.0,40.0,342.47,339.78,0.0,0.0,0.0,859.52,858.8,0.0,0.0,0.0,352.55,349.79,0.0,0.0,0.0,296.08,293.41,0.0,0.0,0.0,364.74,362.0,0.0,0.0,0.0,386.71,386.82,0.0,0.0,0.0,60.02,57.67,0.0,0.0,40.0,60.02,57.67,0.0,0.0,40.0,124.79,125.09,0.0,0.0,0.0,10341.0
LOHIT,11,0.09,1.38,90.9090909090909,100.0,100.0,958.79,955.16,0.0,0.0,0.0,79.01,76.2,0.0,0.0,0.0,425.62,422.86,0.0,0.0,0.0,971.28,967.73,0.0,0.0,0.0,479.73,475.81,0.0,0.0,0.0,426.24,421.68,0.0,0.0,0.0,491.53,487.58,0.0,0.0,0.0,472.23,469.53,0.0,0.0,0.0,53.69,51.7,0.0,9.090909090909092,45.45454545454545,134.45,131.08,0.0,0.0,0.0,246.96,243.28,0.0,0.0,0.0,93174.0
LONGDING,65,4.76,7.04,70.76923076923077,100.0,100.0,827.91,827.03,0.0,0.0,0.0,28.95,29.28,0.0,36.92307692307693,100.0,287.02,287.56,0.0,0.0,0.0,840.27,839.39,0.0,0.0,0.0,365.27,365.59,0.0,0.0,0.0,304.66,303.15,0.0,0.0,0.0,375.94,376.5,0.0,0.0,0.0,336.68,336.13,0.0,0.0,0.0,66.72,67.23,0.0,0.0,7.6923076923076925,75.89,76.06,0.0,0.0,0.0,140.59,140.28,0.0,0.0,0.0,48699.0
LOWER DIBANG VALLEY,33,0.42,3.95,78.78787878787878,100.0,100.0,954.13,953.9,0.0,0.0,0.0,97.98,90.15,0.0,0.0,0.0,441.72,436.58,0.0,0.0,0.0,966.96,966.67,0.0,0.0,0.0,462.36,464.68,0.0,0.0,0.0,407.04,409.36,0.0,0.0,0.0,474.49,476.74,0.0,0.0,0.0,480.78,477.39,0.0,0.0,0.0,56.49,49.61,0.0,12.121212121212121,45.45454545454545,125.94,124.43,0.0,0.0,0.0,231.98,233.12,0.0,0.0,0.0,31748.0
LOWER SIANG,24,17.61,15.54,20.833333333333336,100.0,100.0,837.99,841.78,0.0,0.0,0.0,48.465,47.54,0.0,0.0,54.166666666666664,335.38,338.33,0.0,0.0,0.0,850.885,854.68,0.0,0.0,0.0,344.645,348.25,0.0,0.0,0.0,288.935,292.47,0.0,0.0,0.0,356.78,360.39,0.0,0.0,0.0,374.785,378.21,0.0,0.0,0.0,49.515,48.54,0.0,0.0,50.0,49.515,48.54,0.0,0.0,50.0,115.53999999999999,119.79,0.0,0.0,0.0,30643.0
LOWER SUBANSIRI,11,1.3,1.24,100.0,100.0,100.0,757.8,758.39,0.0,0.0,0.0,96.75,96.48,0.0,0.0,0.0,248.87,249.04,0.0,0.0,0.0,770.82,771.42,0.0,0.0,0.0,259.21,259.5,0.0,0.0,0.0,202.51,202.72,0.0,0.0,0.0,271.47,271.76,0.0,0.0,0.0,315.36,315.71,0.0,0.0,0.0,90.47,90.29,0.0,0.0,0.0,57.64,58.05,0.0,0.0,0.0,53.38,53.48,0.0,0.0,18.181818181818183,8729.0
NAMSAI,11,0.15,0.94,100.0,100.0,100.0,925.57,928.12,0.0,0.0,0.0,47.44,49.65,0.0,0.0,54.54545454545454,395.4,396.65,0.0,0.0,0.0,938.16,940.69,0.0,0.0,0.0,446.1,449.56,0.0,0.0,0.0,392.99,396.63,0.0,0.0,0.0,457.84,461.27,0.0,0.0,0.0,440.84,442.67,0.0,0.0,0.0,31.73,32.62,0.0,0.0,90.9090909090909,101.22,105.13,0.0,0.0,0.0,213.55,217.19,0.0,0.0,0.0,47658.0
PAKKE KESSANG,25,2.67,5.45,76.0,100.0,100.0,681.78,681.42,0.0,0.0,0.0,60.97,60.96,0.0,0.0,16.0,170.08,170.05,0.0,0.0,0.0,694.88,694.51,0.0,0.0,0.0,181.39,180.82,0.0,0.0,0.0,124.0,123.92,0.0,0.0,0.0,193.69,193.09,0.0,0.0,0.0,261.63,260.04,0.0,0.0,0.0,54.84,51.66,0.0,0.0,24.0,48.98,49.02,0.0,0.0,56.00000000000001,69.7,66.78,0.0,0.0,8.0,23662.0
PAPUMPARE,54,6.615,7.74,57.407407407407405,100.0,100.0,715.4449999999999,713.58,0.0,0.0,0.0,75.55,71.61,0.0,0.0,7.4074074074074066,207.59,207.96,0.0,0.0,0.0,728.5,726.58,0.0,0.0,0.0,217.625,217.26,0.0,0.0,0.0,161.17000000000002,161.67,0.0,0.0,0.0,229.88,229.4,0.0,0.0,0.0,272.975,272.35,0.0,0.0,0.0,61.46,63.23,0.0,0.0,20.37037037037037,24.23,24.43,11.11111111111111,53.70370370370371,100.0,40.23,35.27,5.555555555555555,27.77777777777778,92.5925925925926,144822.0
SHI YOMI,83,68.91,67.45,0.0,0.0,3.614457831325301,876.5,874.14,0.0,0.0,0.0,146.89,144.65,0.0,0.0,0.0,360.6,357.92,0.0,0.0,0.0,889.66,887.3,0.0,0.0,0.0,373.55,371.18,0.0,0.0,0.0,316.07,313.78,0.0,0.0,0.0,385.78,383.38,0.0,0.0,0.0,444.9,442.76,0.0,0.0,0.0,147.87,145.58,0.0,0.0,0.0,147.87,145.58,0.0,0.0,0.0,180.27,179.2,0.0,0.0,0.0,35999.0
SIANG,68,15.295,16.59,32.35294117647059,75.0,100.0,885.4649999999999,884.44,0.0,0.0,0.0,91.78,95.81,0.0,0.0,0.0,375.1,374.16,0.0,0.0,0.0,898.415,897.46,0.0,0.0,0.0,385.875,385.29,0.0,0.0,0.0,329.04499999999996,328.2,0.0,0.0,0.0,398.14,397.56,0.0,0.0,0.0,429.26,430.84,0.0,0.0,0.0,89.88499999999999,94.05,0.0,0.0,0.0,92.45,96.72,0.0,0.0,0.0,167.74,167.34,0.0,0.0,0.0,150926.0
TAWANG,120,12.71,11.33,46.666666666666664,98.33333333333333,100.0,636.52,636.18,0.0,0.0,0.0,93.375,95.42,0.0,0.0,0.0,135.845,137.79,0.0,0.0,0.0,649.77,649.43,0.0,0.0,0.0,153.54500000000002,155.43,0.0,0.0,0.0,114.765,117.24,0.0,0.0,0.0,162.86,164.56,0.0,0.0,0.0,194.18,193.43,0.0,0.0,0.0,139.07999999999998,140.32,0.0,0.0,0.0,155.78,156.78,0.0,0.0,0.0,138.165,139.08,0.0,0.0,0.0,48527.0
TIRAP,94,4.35,4.9,86.17021276595744,100.0,100.0,850.5050000000001,850.23,0.0,0.0,0.0,26.095,26.88,0.0,44.680851063829785,100.0,309.235,310.34,0.0,0.0,0.0,862.855,862.6,0.0,0.0,0.0,387.755,386.49,0.0,0.0,0.0,322.03,323.42,0.0,0.0,0.0,398.78499999999997,397.55,0.0,0.0,0.0,358.84000000000003,359.37,0.0,0.0,0.0,66.155,67.25,0.0,0.0,0.0,76.35,77.65,0.0,0.0,0.0,161.92000000000002,160.66,0.0,0.0,0.0,54464.0
UPPER SIANG,68,24.28,21.75,39.705882352941174,57.35294117647059,89.70588235294117,925.265,930.0,0.0,0.0,0.0,145.195,136.05,0.0,0.0,0.0,414.94,417.86,0.0,0.0,0.0,938.325,943.05,0.0,0.0,0.0,425.63,429.63,0.0,0.0,0.0,368.735,372.37,0.0,0.0,0.0,437.895,441.9,0.0,0.0,0.0,478.58500000000004,478.92,0.0,0.0,0.0,119.92500000000001,115.81,0.0,0.0,0.0,148.92000000000002,139.08,0.0,0.0,0.0,214.015,215.54,0.0,0.0,0.0,32360.0
UPPER SUBANSIRI,134,41.114999999999995,37.65,17.16417910447761,31.343283582089555,59.70149253731343,822.74,820.4,0.0,0.0,0.0,127.25,128.7,0.0,0.0,0.0,307.21500000000003,305.55,0.0,0.0,0.0,835.89,833.55,0.0,0.0,0.0,320.39,318.52,0.0,0.0,0.0,263.16999999999996,261.43,0.0,0.0,0.0,332.53999999999996,330.68,0.0,0.0,0.0,383.40999999999997,385.08,0.0,0.0,0.0,128.32,129.83,0.0,0.0,0.0,128.32,123.47,0.0,0.0,0.0,136.76999999999998,134.48,0.0,0.0,0.0,73724.0
WEST KAMENG,171,3.71,6.24,81.28654970760235,97.6608187134503,100.0,641.09,639.81,0.0,0.0,0.0,52.72,52.09,0.0,4.093567251461988,43.859649122807014,126.63,124.4,0.0,0.0,0.0,654.3,653.03,0.0,0.0,0.0,141.83,139.59,0.0,0.0,0.0,89.47,86.39,0.0,0.0,1.7543859649122806,153.07,151.17,0.0,0.0,0.0,211.04,211.58,0.0,0.0,0.0,79.39,82.52,0.0,0.0,0.5847953216374269,115.45,115.54,0.0,0.0,0.0,89.48,91.78,0.0,0.0,0.0,58931.0
WEST SIANG,48,6.415,6.69,79.16666666666666,100.0,100.0,861.075,858.67,0.0,0.0,0.0,76.03999999999999,75.02,0.0,0.0,0.0,352.54,349.81,0.0,0.0,0.0,874.05,871.66,0.0,0.0,0.0,363.055,360.48,0.0,0.0,0.0,306.21500000000003,303.6,0.0,0.0,0.0,375.33,372.75,0.0,0.0,0.0,403.99,403.56,0.0,0.0,0.0,76.875,75.84,0.0,0.0,0.0,76.875,75.84,0.0,0.0,0.0,140.76,139.88,0.0,0.0,0.0,17992.0
__STATE__,2300,,12.087045363716976,51.73913043478261,79.52173913043478,93.78260869565217,,821.8619558915883,0.0,0.0,0.0,,79.28367065179765,0.26086956521739135,5.869565217391305,18.130434782608695,,303.2429717350315,0.0,0.0,0.0,,834.7440184949779,0.0,0.0,0.0,,332.03236796709183,0.0,0.0,0.0,,274.7617730086931,0.0,0.0,0.13043478260869568,,343.8500493088593,0.0,0.0,0.0,,365.4373356883258,0.0,0.0,0.0,,83.42567145108826,0.0,0.26086956521739135,4.130434782608695,,93.86327118716336,0.26086956521739135,1.2608695652173914,4.739130434782609,,143.51005394850287,0.13043478260869568,0.6521739130434783,3.130434782608696,1383727.0
