village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
MARUDUR,ARIYALUR,616,636361,village,81,8.95,716B,210.25,MATHUR,9.8,Uttangal Mangalam,33.54,Karaikal Port,72.71,ICD Salem,131.06,Petrapole ICP,1636.34,Tiruchirappalli International Airport (TRZ),83.74,MMLP Chennai (Mappedu),216.84,Aluva Terminal,346.93,FCI Depot Tiruchirappalli,82.32
Periakrishnapuram,ARIYALUR,616,636346,village,36,7.83,716B,205.07,Uttangal Mangalam,22.48,Uttangal Mangalam,22.48,Karaikal Port,64.23,ICD Salem,144.7,Petrapole ICP,1620.71,Tiruchirappalli International Airport (TRZ),101.13,MMLP Chennai (Mappedu),205.1,Aluva Terminal,365.01,FCI Depot Tiruchirappalli,99.85
Ammbappur,ARIYALUR,616,636418,village,81,7.23,716B,232.64,SUNDARAPERUMAL KOVIL,15.61,Uttangal Mangalam,56.76,Karaikal Port,69.43,ICD Salem,135.36,Petrapole ICP,1658.26,Tiruchirappalli International Airport (TRZ),65.58,MMLP Chennai (Mappedu),240.36,Aluva Terminal,333.75,FCI Depot Tiruchirappalli,64.71
Ulliyankudi R.F,ARIYALUR,616,636445,village,81,5.44,716B,230.74,SUNDARAPERUMAL KOVIL,17.24,Uttangal Mangalam,54.96,Karaikal Port,69.8,ICD Salem,134.48,Petrapole ICP,1656.67,Tiruchirappalli International Airport (TRZ),66.62,MMLP Chennai (Mappedu),238.52,Aluva Terminal,334.42,FCI Depot Tiruchirappalli,65.68
Kulamanickam (East),ARIYALUR,616,636506,village,136,7.84,716B,250.91,KALLAKKUDI PLGH,12.12,Uttangal Mangalam,82.81,Karaikal Port,89.07,ICD Salem,128.77,Petrapole ICP,1685.67,Tiruchirappalli International Airport (TRZ),38.31,MMLP Coimbatore,228.62,Aluva Terminal,307.99,FCI Depot Tiruchirappalli,37.87
Pungankuzhi,ARIYALUR,616,636488,village,81,10.35,716B,237.63,PANDARAVADAI,12.12,Uttangal Mangalam,62.5,Karaikal Port,71.12,ICD Salem,135.7,Petrapole ICP,1663.98,Tiruchirappalli International Airport (TRZ),60.79,MMLP Chennai (Mappedu),246.06,Aluva Terminal,329.65,FCI Depot Tiruchirappalli,60.06
IDAIYAKKURICHCHI,ARIYALUR,616,636341,village,81,15.06,716B,203.89,MATHUR,7.62,Uttangal Mangalam,28.26,Karaikal Port,76.54,ICD Salem,128.7,Petrapole ICP,1631.43,Tiruchirappalli International Airport (TRZ),87.82,MMLP Chennai (Mappedu),210.95,Aluva Terminal,348.94,FCI Depot Tiruchirappalli,86.26
Eravangudy,ARIYALUR,616,636352,village,36,6.95,716B,210.82,MATHUR,24.13,Uttangal Mangalam,28.41,Karaikal Port,60.75,ICD Salem,145.59,Petrapole ICP,1626.0,Tiruchirappalli International Airport (TRZ),96.91,MMLP Chennai (Mappedu),211.06,Aluva Terminal,362.15,FCI Depot Tiruchirappalli,95.74
Ammbappur R.F,ARIYALUR,616,636446,village,81,6.55,716B,231.75,SUNDARAPERUMAL KOVIL,16.11,Uttangal Mangalam,55.67,Karaikal Port,69.05,ICD Salem,135.43,Petrapole ICP,1657.16,Tiruchirappalli International Airport (TRZ),66.57,MMLP Chennai (Mappedu),239.3,Aluva Terminal,334.61,FCI Depot Tiruchirappalli,65.67
SULLANGUDI,ARIYALUR,616,636515,village,136,5.63,716B,243.49,AYYAMPET,9.71,Uttangal Mangalam,70.43,Karaikal Port,76.48,ICD Salem,134.1,Petrapole ICP,1672.36,Tiruchirappalli International Airport (TRZ),52.8,MMLP Coimbatore,240.86,Aluva Terminal,322.17,FCI Depot Tiruchirappalli,52.22
Amanakkanthondi,ARIYALUR,616,636376,village,81,0.07,716B,218.64,NARASINGAMPET,21.96,Uttangal Mangalam,36.5,Karaikal Port,56.74,ICD Salem,147.14,Petrapole ICP,1633.22,Tiruchirappalli International Airport (TRZ),91.46,MMLP Chennai (Mappedu),219.16,Aluva Terminal,358.34,FCI Depot Tiruchirappalli,90.46
