village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Daulatpur Tigri(M.S.T),Moradabad,114735,village,KANTH,9.28,ICD Moradabad,27.32,Dahej Port,1008.18,Indira Gandhi International Airport (DEL),165.41,Rupaidiha ICP,252.31
Hasanghari,Moradabad,114817,village,MATLABPUR,6.6,ICD Moradabad,20.96,Dahej Port,1002.98,Indira Gandhi International Airport (DEL),163.15,Rupaidiha ICP,250.53
Fareedpur Bhaidi,Moradabad,114819,village,MATLABPUR,3.74,ICD Moradabad,19.0,Dahej Port,999.76,Indira Gandhi International Airport (DEL),160.62,Rupaidiha ICP,251.54
Jahangirpur Chak Feri,Moradabad,114818,village,MATLABPUR,5.33,ICD Moradabad,20.27,Dahej Port,1001.67,Indira Gandhi International Airport (DEL),162.02,Rupaidiha ICP,251.1
Kamalpuri Mafi,Moradabad,114812,village,KANTH,7.17,ICD Moradabad,25.22,Dahej Port,1005.12,Indira Gandhi International Airport (DEL),162.96,Rupaidiha ICP,253.15
Mustafapur Majra Khandsal,Moradabad,114820,village,AGHWANPUR,4.19,ICD Moradabad,16.18,Dahej Port,998.63,Indira Gandhi International Airport (DEL),161.16,Rupaidiha ICP,249.62
Munafpur,Moradabad,114543,village,MEWA NAWADA,6.27,ICD Moradabad,35.2,Dahej Port,1010.98,Indira Gandhi International Airport (DEL),163.89,Rupaidiha ICP,258.67
Lodhipur Basu Ahatmali,Moradabad,115253,village,MACHARYA,3.8,ICD Moradabad,10.65,Dahej Port,989.16,Indira Gandhi International Airport (DEL),169.16,Rupaidiha ICP,231.9
Dhatura Megha Nagla Ahatmali,Moradabad,115296,village,RAMPUR,4.0,ICD Moradabad,21.94,Dahej Port,998.18,Indira Gandhi International Airport (DEL),182.62,Rupaidiha ICP,218.64
Mati Urf Maini,Moradabad,115201,village,DALPATPUR,6.47,ICD Moradabad,14.35,Dahej Port,1002.25,Indira Gandhi International Airport (DEL),177.86,Rupaidiha ICP,227.32
Navwa Nagla,Moradabad,115298,village,RAMPUR,5.88,ICD Moradabad,21.65,Dahej Port,995.94,Indira Gandhi International Airport (DEL),181.23,Rupaidiha ICP,219.44
Kanakpur I,Moradabad,115425,village,MACHARYA,2.95,ICD Moradabad,9.51,Dahej Port,984.32,Indira Gandhi International Airport (DEL),163.2,Rupaidiha ICP,237.41
Tarapur Kundarki,Moradabad,115329,village,MACHARYA,6.69,ICD Moradabad,9.24,Dahej Port,982.07,Indira Gandhi International Airport (DEL),158.86,Rupaidiha ICP,241.96
Dhaukalpur Jadid,Moradabad,114639,village,MEWA NAWADA,7.44,ICD Moradabad,31.77,Dahej Port,1009.99,Indira Gandhi International Airport (DEL),164.79,Rupaidiha ICP,255.66
Bhikanpur Fatehullah,Moradabad,115428,village,FARHEDI,3.36,ICD Moradabad,10.88,Dahej Port,984.19,Indira Gandhi International Airport (DEL),164.24,Rupaidiha ICP,236.03
Sakatpura Mustahkam,Moradabad,115016,village,ROSHANPUR,1.94,ICD Moradabad,27.14,Dahej Port,1017.24,Indira Gandhi International Airport (DEL),181.11,Rupaidiha ICP,234.98
Asalatnagar Kalispur,Moradabad,115544,village,KUAKHERA HALT,4.54,ICD Moradabad,34.35,Dahej Port,962.01,Indira Gandhi International Airport (DEL),156.42,Rupaidiha ICP,240.06
Sihari Nanda,Moradabad,115574,village,RAJA KA SAHASPUR,8.42,ICD Moradabad,24.66,Dahej Port,979.53,Indira Gandhi International Airport (DEL),170.28,Rupaidiha ICP,227.36
Mehloli,Moradabad,115476,village,KUNDARKHI,5.02,ICD Moradabad,18.87,Dahej Port,981.72,Indira Gandhi International Airport (DEL),167.95,Rupaidiha ICP,230.63
Ahmednagar Jaitwara,Moradabad,115455,village,FARHEDI,4.36,ICD Moradabad,15.21,Dahej Port,984.63,Indira Gandhi International Airport (DEL),168.17,Rupaidiha ICP,231.32
Barwara Mazra(CT),Moradabad,115311,village,KATHGHAR EAST,1.92,ICD Moradabad,5.29,Dahej Port,994.53,Indira Gandhi International Airport (DEL),168.79,Rupaidiha ICP,235.22
Faridpur Singhara,Moradabad,115405,village,FARHEDI,1.95,ICD Moradabad,15.49,Dahej Port,979.64,Indira Gandhi International Airport (DEL),162.4,Rupaidiha ICP,236.62
Kohanku,Moradabad,115301,village,MUNDHA PANDE,6.3,ICD Moradabad,20.08,Dahej Port,993.83,Indira Gandhi International Airport (DEL),178.89,Rupaidiha ICP,221.51
Lal Tikaar Mahesh Nagli Ahatma,Moradabad,115265,village,MUNDHA PANDE,9.5,ICD Moradabad,18.37,Dahej Port,989.05,Indira Gandhi International Airport (DEL),174.36,Rupaidiha ICP,225.3
Bhnadri,Moradabad,115314,village,HAKIMPUR,9.23,ICD Moradabad,11.33,Dahej Port,980.53,Indira Gandhi International Airport (DEL),152.61,Rupaidiha ICP,249.38
Rustampur Parmal,Moradabad,115313,village,HAKIMPUR,8.92,ICD Moradabad,11.91,Dahej Port,980.27,Indira Gandhi International Airport (DEL),151.91,Rupaidiha ICP,250.19
Mali Pur,Moradabad,115318,village,MORADABAD,6.92,ICD Moradabad,7.8,Dahej Port,983.17,Indira Gandhi International Airport (DEL),156.72,Rupaidiha ICP,245.29
Sikri,Moradabad,115423,village,MACHARYA,3.79,ICD Moradabad,10.14,Dahej Port,983.48,Indira Gandhi International Airport (DEL),162.62,Rupaidiha ICP,237.79
Khaseypur,Moradabad,115537,village,KUAKHERA HALT,1.25,ICD Moradabad,32.59,Dahej Port,965.06,Indira Gandhi International Airport (DEL),159.32,Rupaidiha ICP,237.24
Roop Pur,Moradabad,115453,village,FARHEDI,0.59,ICD Moradabad,14.08,Dahej Port,982.09,Indira Gandhi International Airport (DEL),164.39,Rupaidiha ICP,235.04
Bhikanpur Kulwara,Moradabad,115435,village,FARHEDI,1.25,ICD Moradabad,13.76,Dahej Port,981.0,Indira Gandhi International Airport (DEL),162.62,Rupaidiha ICP,236.82
Bagi Govardhanpur,Moradabad,115364,village,Hazrat Nagar Halt,8.18,ICD Moradabad,17.26,Dahej Port,973.66,Indira Gandhi International Airport (DEL),151.99,Rupaidiha ICP,247.23
Rajura Kannardev,Moradabad,115303,village,MUNDHA PANDE,4.78,ICD Moradabad,18.34,Dahej Port,994.19,Indira Gandhi International Airport (DEL),177.92,Rupaidiha ICP,222.91
Bazidpur Tigri,Moradabad,115081,village,SEHAL,0.99,ICD Moradabad,9.06,Dahej Port,999.82,Indira Gandhi International Airport (DEL),169.91,Rupaidiha ICP,237.15
Kankar Khera,Moradabad,115101,village,SEHAL,6.14,ICD Moradabad,12.91,Dahej Port,1003.09,Indira Gandhi International Airport (DEL),175.6,Rupaidiha ICP,231.16
Naserpur Bhikka,Moradabad,115636,village,JARGAON,8.59,ICD Moradabad,33.35,Dahej Port,971.64,Indira Gandhi International Airport (DEL),169.03,Rupaidiha ICP,227.57
Mansoorpur,Moradabad,115446,village,FARHEDI,3.3,ICD Moradabad,11.78,Dahej Port,984.82,Indira Gandhi International Airport (DEL),165.73,Rupaidiha ICP,234.41
Manpur Patti Ahatmali,Moradabad,115300,village,MUNDHA PANDE,6.79,ICD Moradabad,21.17,Dahej Port,994.37,Indira Gandhi International Airport (DEL),179.97,Rupaidiha ICP,220.37
Kala Jhanda,Moradabad,115012,village,PADIYA NAQLA,1.93,ICD Moradabad,28.47,Dahej Port,1018.78,Indira Gandhi International Airport (DEL),182.9,Rupaidiha ICP,233.59
Barahi Lalpur Mustahkam,Moradabad,115018,village,ROSHANPUR,0.92,ICD Moradabad,26.12,Dahej Port,1016.29,Indira Gandhi International Airport (DEL),180.58,Rupaidiha ICP,234.88
Saidnagar Urf Nayagaon,Moradabad,115645,village,JARGAON,12.08,ICD Moradabad,31.02,Dahej Port,976.72,Indira Gandhi International Airport (DEL),172.57,Rupaidiha ICP,224.33
Bahdurpur Patti,Moradabad,114998,village,ALAI,4.1,ICD Moradabad,33.66,Dahej Port,1023.99,Indira Gandhi International Airport (DEL),187.09,Rupaidiha ICP,232.13
Kotha Mahmood,Moradabad,114644,village,MEWA NAWADA,9.98,ICD Moradabad,30.65,Dahej Port,1011.1,Indira Gandhi International Airport (DEL),166.95,Rupaidiha ICP,253.04
Sahas Puri,Moradabad,114659,village,ROSHANPUR,12.18,ICD Moradabad,28.35,Dahej Port,1013.14,Indira Gandhi International Airport (DEL),171.56,Rupaidiha ICP,247.1
Mundha Pandey Chak Farzand Ali,Moradabad,115279,village,MUNDHA PANDE,1.11,ICD Moradabad,17.74,Dahej Port,998.97,Indira Gandhi International Airport (DEL),179.94,Rupaidiha ICP,222.56
Bahadar Ganj,Moradabad,114669,village,PADIYA NAQLA,7.08,ICD Moradabad,28.23,Dahej Port,1016.02,Indira Gandhi International Airport (DEL),176.54,Rupaidiha ICP,241.58
Mandwa,Moradabad,115530,village,KUAKHERA HALT,6.37,ICD Moradabad,31.25,Dahej Port,963.26,Indira Gandhi International Airport (DEL),154.21,Rupaidiha ICP,242.46
Khata,Moradabad,115628,village,JARGAON,4.64,ICD Moradabad,31.52,Dahej Port,969.97,Indira Gandhi International Airport (DEL),165.21,Rupaidiha ICP,231.45
Dohri,Moradabad,115516,village,JARGAON,2.29,ICD Moradabad,28.99,Dahej Port,967.57,Indira Gandhi International Airport (DEL),158.94,Rupaidiha ICP,237.88
Mukkarrabpur Urf Kuakhera,Moradabad,115552,village,KUAKHERA HALT,1.47,ICD Moradabad,33.48,Dahej Port,965.11,Indira Gandhi International Airport (DEL),160.46,Rupaidiha ICP,236.05
Arjunpur,Moradabad,115536,village,KUAKHERA HALT,2.31,ICD Moradabad,32.82,Dahej Port,964.24,Indira Gandhi International Airport (DEL),158.25,Rupaidiha ICP,238.3
Juladhakia,Moradabad,114703,village,MATLABPUR,11.15,ICD Moradabad,24.03,Dahej Port,1007.63,Indira Gandhi International Airport (DEL),167.02,Rupaidiha ICP,248.84
Nagla Goojar,Moradabad,115532,village,KUAKHERA HALT,6.45,ICD Moradabad,33.84,Dahej Port,961.18,Indira Gandhi International Airport (DEL),154.11,Rupaidiha ICP,242.41
Baniather,Moradabad,115622,village,JARGAON,6.74,ICD Moradabad,29.2,Dahej Port,973.22,Indira Gandhi International Airport (DEL),167.08,Rupaidiha ICP,229.82
Bhoora,Moradabad,115490,village,Sonekpur Halt,2.9,ICD Moradabad,23.68,Dahej Port,970.13,Indira Gandhi International Airport (DEL),156.38,Rupaidiha ICP,241.12
Lodhipur Rajput,Moradabad,115177,village,CHAK KALI LAIT,6.34,ICD Moradabad,12.62,Dahej Port,981.36,Indira Gandhi International Airport (DEL),150.91,Rupaidiha ICP,252.13
Dilari Changeri,Moradabad,114711,village,MATLABPUR,10.93,ICD Moradabad,21.76,Dahej Port,1006.77,Indira Gandhi International Airport (DEL),167.58,Rupaidiha ICP,246.95
Tilok Majra,Moradabad,114699,village,ROSHANPUR,4.84,ICD Moradabad,24.08,Dahej Port,1012.85,Indira Gandhi International Airport (DEL),175.49,Rupaidiha ICP,239.9
Sarakara Khas,Moradabad,114693,village,JALPUR,8.73,ICD Moradabad,22.99,Dahej Port,1009.75,Indira Gandhi International Airport (DEL),171.05,Rupaidiha ICP,244.18
Masoompur,Moradabad,114696,village,JALPUR,6.71,ICD Moradabad,23.3,Dahej Port,1011.24,Indira Gandhi International Airport (DEL),173.33,Rupaidiha ICP,241.89
Saijni (M.S.T),Moradabad,114704,village,MATLABPUR,10.29,ICD Moradabad,23.77,Dahej Port,1006.83,Indira Gandhi International Airport (DEL),166.13,Rupaidiha ICP,249.51
Doolhapur Patti Chouhan (M.S.T,Moradabad,114567,village,SEOHARA,14.45,ICD Moradabad,44.5,Dahej Port,1022.57,Indira Gandhi International Airport (DEL),173.14,Rupaidiha ICP,257.16
Domghar,Moradabad,115432,village,FARHEDI,2.55,ICD Moradabad,11.74,Dahej Port,982.65,Indira Gandhi International Airport (DEL),162.98,Rupaidiha ICP,236.99
Jargaon,Moradabad,115521,village,JARGAON,3.28,ICD Moradabad,30.53,Dahej Port,965.46,Indira Gandhi International Airport (DEL),157.34,Rupaidiha ICP,239.36
Bagpura,Moradabad,115625,village,JARGAON,4.45,ICD Moradabad,29.94,Dahej Port,971.0,Indira Gandhi International Airport (DEL),164.99,Rupaidiha ICP,231.78
Kanakpur Ii,Moradabad,115430,village,FARHEDI,3.66,ICD Moradabad,10.61,Dahej Port,983.37,Indira Gandhi International Airport (DEL),162.91,Rupaidiha ICP,237.37
Farid Nagar (M.S.T),Moradabad,114605,village,ALAI,5.96,ICD Moradabad,38.61,Dahej Port,1026.43,Indira Gandhi International Airport (DEL),184.39,Rupaidiha ICP,240.17
Bahoranpur Narauli,Moradabad,115507,village,RAJA KA SAHASPUR,3.87,ICD Moradabad,26.64,Dahej Port,969.83,Indira Gandhi International Airport (DEL),159.74,Rupaidiha ICP,237.32
Dhanupura Urf Turkhera,Moradabad,115602,village,RAJA KA SAHASPUR,8.9,ICD Moradabad,27.61,Dahej Port,977.24,Indira Gandhi International Airport (DEL),170.27,Rupaidiha ICP,226.92
Jaitpur Patti,Moradabad,115466,village,KUNDARKHI,1.13,ICD Moradabad,16.66,Dahej Port,979.76,Indira Gandhi International Airport (DEL),163.71,Rupaidiha ICP,235.09
Chittoopur,Moradabad,115404,village,KUNDARKHI,2.03,ICD Moradabad,16.25,Dahej Port,978.43,Indira Gandhi International Airport (DEL),161.41,Rupaidiha ICP,237.43
Fatehpur Natha,Moradabad,115590,village,JARGAON,4.03,ICD Moradabad,27.36,Dahej Port,971.52,Indira Gandhi International Airport (DEL),163.07,Rupaidiha ICP,233.93
Bahoranpur Majra Kuri,Moradabad,115006,village,PADIYA NAQLA,1.09,ICD Moradabad,30.98,Dahej Port,1020.98,Indira Gandhi International Airport (DEL),183.79,Rupaidiha ICP,234.47
Kariya Nagla Ahatmali,Moradabad,115003,village,PADIYA NAQLA,1.58,ICD Moradabad,30.33,Dahej Port,1019.95,Indira Gandhi International Airport (DEL),182.17,Rupaidiha ICP,236.14
Sarkara Karim (M.S.T),Moradabad,114678,village,PADIYA NAQLA,2.91,ICD Moradabad,29.21,Dahej Port,1018.47,Indira Gandhi International Airport (DEL),180.42,Rupaidiha ICP,237.54
Salar Pur,Moradabad,114652,village,KANTH,11.21,ICD Moradabad,28.24,Dahej Port,1010.14,Indira Gandhi International Airport (DEL),167.35,Rupaidiha ICP,251.13
Bahadar Nagar,Moradabad,114554,village,MEWA NAWADA,10.84,ICD Moradabad,35.18,Dahej Port,1014.63,Indira Gandhi International Airport (DEL),168.57,Rupaidiha ICP,254.59
Pipli,Moradabad,115553,village,KUAKHERA HALT,0.33,ICD Moradabad,31.87,Dahej Port,966.51,Indira Gandhi International Airport (DEL),160.73,Rupaidiha ICP,235.87
Ibrahimpur,Moradabad,115529,village,KUAKHERA HALT,5.27,ICD Moradabad,32.59,Dahej Port,962.69,Indira Gandhi International Airport (DEL),155.16,Rupaidiha ICP,241.41
Danda,Moradabad,115648,village,JARGAON,11.0,ICD Moradabad,33.48,Dahej Port,973.79,Indira Gandhi International Airport (DEL),171.56,Rupaidiha ICP,225.08
Sunder Nagar,Moradabad,114665,village,PADIYA NAQLA,9.55,ICD Moradabad,30.57,Dahej Port,1016.96,Indira Gandhi International Airport (DEL),175.69,Rupaidiha ICP,244.21
Hisampur,Moradabad,115351,village,Hazrat Nagar Halt,11.01,ICD Moradabad,15.0,Dahej Port,975.82,Indira Gandhi International Airport (DEL),152.27,Rupaidiha ICP,247.68
Sataran,Moradabad,115508,village,RAJA KA SAHASPUR,2.46,ICD Moradabad,25.18,Dahej Port,971.19,Indira Gandhi International Airport (DEL),160.18,Rupaidiha ICP,237.06
Mirzapur Kareemuddin,Moradabad,114769,village,PIPALSANA,5.74,ICD Moradabad,15.95,Dahej Port,1004.19,Indira Gandhi International Airport (DEL),168.9,Rupaidiha ICP,242.29
Zahid Sikampur Ahatmali,Moradabad,115044,village,PIPALSANA,4.09,ICD Moradabad,17.48,Dahej Port,1007.39,Indira Gandhi International Airport (DEL),173.31,Rupaidiha ICP,238.14
Humayunpur,Moradabad,114773,village,PIPALSANA,3.9,ICD Moradabad,16.75,Dahej Port,1006.37,Indira Gandhi International Airport (DEL),172.1,Rupaidiha ICP,239.15
Sultanpur Dost,Moradabad,114670,village,PADIYA NAQLA,5.89,ICD Moradabad,28.88,Dahej Port,1017.08,Indira Gandhi International Airport (DEL),177.84,Rupaidiha ICP,240.5
Fareedpur Haji,Moradabad,114698,village,ROSHANPUR,4.67,ICD Moradabad,25.29,Dahej Port,1014.01,Indira Gandhi International Airport (DEL),176.28,Rupaidiha ICP,239.79
Lalpur Prohit,Moradabad,115009,village,PADIYA NAQLA,3.85,ICD Moradabad,29.42,Dahej Port,1020.08,Indira Gandhi International Airport (DEL),185.22,Rupaidiha ICP,231.01
Gajraula Jai Singh,Moradabad,114682,village,ROSHANPUR,3.77,ICD Moradabad,25.9,Dahej Port,1014.97,Indira Gandhi International Airport (DEL),177.48,Rupaidiha ICP,238.77
Mangoopura,Moradabad,115644,village,JARGAON,13.43,ICD Moradabad,32.71,Dahej Port,976.78,Indira Gandhi International Airport (DEL),174.04,Rupaidiha ICP,222.75
Jatpura Jharoo,Moradabad,115520,village,JARGAON,4.48,ICD Moradabad,29.46,Dahej Port,965.73,Indira Gandhi International Airport (DEL),156.36,Rupaidiha ICP,240.44
Aari Khera,Moradabad,115589,village,JARGAON,2.25,ICD Moradabad,29.28,Dahej Port,969.67,Indira Gandhi International Airport (DEL),162.49,Rupaidiha ICP,234.32
Dilari,Moradabad,115224,village,DALPATPUR,1.26,ICD Moradabad,9.26,Dahej Port,995.09,Indira Gandhi International Airport (DEL),172.08,Rupaidiha ICP,231.03
Hathipur Chandoo,Moradabad,115392,village,Sonekpur Halt,5.77,ICD Moradabad,18.47,Dahej Port,974.26,Indira Gandhi International Airport (DEL),156.84,Rupaidiha ICP,241.6
Hayatpur,Moradabad,115371,village,Sonekpur Halt,5.52,ICD Moradabad,18.55,Dahej Port,973.85,Indira Gandhi International Airport (DEL),156.06,Rupaidiha ICP,242.4
Bhatpura Kundarki,Moradabad,115467,village,KUNDARKHI,1.38,ICD Moradabad,17.59,Dahej Port,979.6,Indira Gandhi International Airport (DEL),164.35,Rupaidiha ICP,234.27
Rampur,Moradabad,115514,village,JARGAON,5.05,ICD Moradabad,28.95,Dahej Port,965.92,Indira Gandhi International Airport (DEL),155.96,Rupaidiha ICP,240.88
Allahdadpur Karar,Moradabad,115643,village,RAJA KA SAHASPUR,15.13,ICD Moradabad,32.52,Dahej Port,978.77,Indira Gandhi International Airport (DEL),175.82,Rupaidiha ICP,221.07
Chodharpur,Moradabad,115614,village,RAJA KA SAHASPUR,5.93,ICD Moradabad,27.95,Dahej Port,973.28,Indira Gandhi International Airport (DEL),165.97,Rupaidiha ICP,231.02
Dhakia Naroo(CT),Moradabad,115575,village,RAJA KA SAHASPUR,0.71,ICD Moradabad,22.82,Dahej Port,973.69,Indira Gandhi International Airport (DEL),161.37,Rupaidiha ICP,236.22
Mundia Raja,Moradabad,115577,village,RAJA KA SAHASPUR,2.43,ICD Moradabad,22.42,Dahej Port,975.9,Indira Gandhi International Airport (DEL),164.06,Rupaidiha ICP,233.64
Bhidwari,Moradabad,115496,village,Sonekpur Halt,3.87,ICD Moradabad,22.96,Dahej Port,971.19,Indira Gandhi International Airport (DEL),157.39,Rupaidiha ICP,240.2
Gual Khera,Moradabad,115487,village,RAJA KA SAHASPUR,2.9,ICD Moradabad,22.08,Dahej Port,972.94,Indira Gandhi International Airport (DEL),159.32,Rupaidiha ICP,238.38
Gwar Khera,Moradabad,115566,village,RAJA KA SAHASPUR,4.86,ICD Moradabad,22.87,Dahej Port,977.61,Indira Gandhi International Airport (DEL),166.62,Rupaidiha ICP,231.1
Sihari Mala,Moradabad,115603,village,RAJA KA SAHASPUR,7.59,ICD Moradabad,27.16,Dahej Port,976.33,Indira Gandhi International Airport (DEL),168.89,Rupaidiha ICP,228.3
Alipur Jeondera,Moradabad,115504,village,RAJA KA SAHASPUR,4.91,ICD Moradabad,25.96,Dahej Port,969.02,Indira Gandhi International Airport (DEL),157.52,Rupaidiha ICP,239.64
Bisahat Jaitpura,Moradabad,115295,village,MUNDHA PANDE,4.94,ICD Moradabad,20.41,Dahej Port,996.11,Indira Gandhi International Airport (DEL),180.46,Rupaidiha ICP,220.5
Mundia Malukpur Ahatmali,Moradabad,115284,village,MUNDHA PANDE,5.36,ICD Moradabad,16.31,Dahej Port,992.75,Indira Gandhi International Airport (DEL),175.63,Rupaidiha ICP,225.21
Husainpur Hamir,Moradabad,115345,village,MACHARYA,2.52,ICD Moradabad,8.19,Dahej Port,985.11,Indira Gandhi International Airport (DEL),163.07,Rupaidiha ICP,237.92
Got,Moradabad,115310,village,GOT,2.95,ICD Moradabad,6.76,Dahej Port,995.82,Indira Gandhi International Airport (DEL),170.28,Rupaidiha ICP,233.93
Kakarghata,Moradabad,115166,village,DALPATPUR,3.24,ICD Moradabad,8.96,Dahej Port,997.17,Indira Gandhi International Airport (DEL),172.44,Rupaidiha ICP,231.74
Khanpur Kasba Ahatmali,Moradabad,115147,village,KATHGHAR EAST,2.04,ICD Moradabad,3.43,Dahej Port,993.78,Indira Gandhi International Airport (DEL),166.91,Rupaidiha ICP,237.38
Guretha,Moradabad,115170,village,HAKIMPUR,4.02,ICD Moradabad,9.91,Dahej Port,984.8,Indira Gandhi International Airport (DEL),153.88,Rupaidiha ICP,250.06
Bikanpur,Moradabad,115257,village,MACHARYA,5.47,ICD Moradabad,12.73,Dahej Port,988.58,Indira Gandhi International Airport (DEL),170.09,Rupaidiha ICP,230.46
Takhatpur Allah Urf Nankar,Moradabad,115341,village,FARHEDI,8.08,ICD Moradabad,11.89,Dahej Port,979.31,Indira Gandhi International Airport (DEL),156.83,Rupaidiha ICP,243.37
Devipur Mustahkam,Moradabad,115046,village,PIPALSANA,2.35,ICD Moradabad,16.05,Dahej Port,1006.38,Indira Gandhi International Airport (DEL),173.45,Rupaidiha ICP,237.03
Jalpur,Moradabad,115049,village,PIPALSANA,3.1,ICD Moradabad,16.85,Dahej Port,1007.27,Indira Gandhi International Airport (DEL),174.33,Rupaidiha ICP,236.41
Fatehpur Chandan,Moradabad,115619,village,JARGAON,7.91,ICD Moradabad,29.33,Dahej Port,974.11,Indira Gandhi International Airport (DEL),168.25,Rupaidiha ICP,228.66
Sherpur Mafi,Moradabad,115576,village,RAJA KA SAHASPUR,1.13,ICD Moradabad,23.16,Dahej Port,974.55,Indira Gandhi International Airport (DEL),162.97,Rupaidiha ICP,234.59
Sujanpur,Moradabad,115515,village,JARGAON,3.58,ICD Moradabad,29.1,Dahej Port,966.59,Indira Gandhi International Airport (DEL),157.41,Rupaidiha ICP,239.41
Narayanpur,Moradabad,115518,village,Sonekpur Halt,6.37,ICD Moradabad,29.86,Dahej Port,964.41,Indira Gandhi International Airport (DEL),154.36,Rupaidiha ICP,242.42
Nagla Nassoo,Moradabad,115623,village,JARGAON,5.42,ICD Moradabad,29.21,Dahej Port,972.16,Indira Gandhi International Airport (DEL),165.76,Rupaidiha ICP,231.1
Bhoor Maresi,Moradabad,115588,village,JARGAON,1.76,ICD Moradabad,28.74,Dahej Port,969.01,Indira Gandhi International Airport (DEL),160.93,Rupaidiha ICP,235.92
Lalwara,Moradabad,115349,village,FARHEDI,9.48,ICD Moradabad,13.15,Dahej Port,977.82,Indira Gandhi International Airport (DEL),155.09,Rupaidiha ICP,244.96
Sultanpur,Moradabad,115449,village,MACHARYA,5.64,ICD Moradabad,13.3,Dahej Port,987.38,Indira Gandhi International Airport (DEL),169.44,Rupaidiha ICP,230.79
Ahraula,Moradabad,115306,village,MUNDHA PANDE,7.13,ICD Moradabad,18.7,Dahej Port,991.82,Indira Gandhi International Airport (DEL),176.63,Rupaidiha ICP,223.55
Yusufpur,Moradabad,115427,village,MACHARYA,3.06,ICD Moradabad,10.83,Dahej Port,984.78,Indira Gandhi International Airport (DEL),164.91,Rupaidiha ICP,235.42
Gopalpur Umra,Moradabad,115551,village,KUAKHERA HALT,1.34,ICD Moradabad,33.23,Dahej Port,964.92,Indira Gandhi International Airport (DEL),159.86,Rupaidiha ICP,236.67
Chandupur,Moradabad,114736,village,MEWA NAWADA,9.7,ICD Moradabad,29.27,Dahej Port,1009.68,Indira Gandhi International Airport (DEL),166.03,Rupaidiha ICP,252.98
Longi Khurd,Moradabad,114603,village,PADIYA NAQLA,5.09,ICD Moradabad,30.04,Dahej Port,1018.48,Indira Gandhi International Airport (DEL),179.18,Rupaidiha ICP,239.74
Allahpur,Moradabad,114664,village,PADIYA NAQLA,10.01,ICD Moradabad,29.68,Dahej Port,1015.86,Indira Gandhi International Airport (DEL),174.71,Rupaidiha ICP,244.66
Burhanpur Ahatmali,Moradabad,115001,village,PADIYA NAQLA,2.74,ICD Moradabad,32.52,Dahej Port,1022.27,Indira Gandhi International Airport (DEL),184.26,Rupaidiha ICP,235.15
Bachal Bhoor,Moradabad,115463,village,FARHEDI,4.42,ICD Moradabad,17.06,Dahej Port,982.76,Indira Gandhi International Airport (DEL),167.64,Rupaidiha ICP,231.33
Chiria Ther,Moradabad,115462,village,FARHEDI,2.88,ICD Moradabad,16.34,Dahej Port,981.82,Indira Gandhi International Airport (DEL),165.99,Rupaidiha ICP,233.01
Isapur,Moradabad,114650,village,MEWA NAWADA,13.39,ICD Moradabad,29.91,Dahej Port,1012.92,Indira Gandhi International Airport (DEL),169.99,Rupaidiha ICP,249.7
Raunda Ahatmali,Moradabad,115266,village,MUNDHA PANDE,9.61,ICD Moradabad,19.03,Dahej Port,989.21,Indira Gandhi International Airport (DEL),174.95,Rupaidiha ICP,224.64
Bhaiya Nagla,Moradabad,115309,village,MUNDHA PANDE,9.41,ICD Moradabad,22.25,Dahej Port,991.85,Indira Gandhi International Airport (DEL),179.09,Rupaidiha ICP,220.5
Beeroo Bala,Moradabad,114645,village,MEWA NAWADA,9.24,ICD Moradabad,30.12,Dahej Port,1010.08,Indira Gandhi International Airport (DEL),165.98,Rupaidiha ICP,253.57
Chak Lohra,Moradabad,114997,village,ALAI,4.74,ICD Moradabad,36.8,Dahej Port,1027.35,Indira Gandhi International Airport (DEL),190.6,Rupaidiha ICP,229.83
Pipalsana Mustahkam,Moradabad,115078,village,SEHAL,1.15,ICD Moradabad,10.93,Dahej Port,1001.49,Indira Gandhi International Airport (DEL),170.45,Rupaidiha ICP,237.62
Madarpur,Moradabad,114523,village,ALAI,15.06,ICD Moradabad,39.64,Dahej Port,1022.79,Indira Gandhi International Airport (DEL),176.97,Rupaidiha ICP,249.56
Pirthipur Gaowri,Moradabad,114525,village,ALAI,13.69,ICD Moradabad,40.41,Dahej Port,1024.47,Indira Gandhi International Airport (DEL),178.96,Rupaidiha ICP,248.02
Ramnagar Khagoowala,Moradabad,114536,village,ALAI,11.61,ICD Moradabad,40.23,Dahej Port,1025.48,Indira Gandhi International Airport (DEL),180.8,Rupaidiha ICP,245.82
Sharif Nagar,Moradabad,114520,village,ALAI,16.58,ICD Moradabad,40.44,Dahej Port,1022.65,Indira Gandhi International Airport (DEL),176.13,Rupaidiha ICP,251.06
Tilokpur,Moradabad,115140,village,HARTHALA,4.38,ICD Moradabad,5.46,Dahej Port,995.39,Indira Gandhi International Airport (DEL),165.21,Rupaidiha ICP,240.86
Mahlakpur Nizampur,Moradabad,115121,village,LODIPUR BISHANPUR,2.54,ICD Moradabad,9.04,Dahej Port,990.94,Indira Gandhi International Airport (DEL),157.97,Rupaidiha ICP,248.28
