village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Pithiya Mafi,Basti,179075,village,S NARAYAN CHPLA,11.81,ICD Lucknow,136.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,756.96,Chaudhary Charan Singh International Airport (LKO),143.32,Sunauli ICP,125.27
Gadha Raja,Basti,179192,village,BABHNAN,4.49,ICD Lucknow,149.87,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,747.94,Chaudhary Charan Singh International Airport (LKO),156.48,Sunauli ICP,113.02
Hadahi,Basti,179128,village,KATRA,10.83,ICD Lucknow,131.63,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,762.23,Chaudhary Charan Singh International Airport (LKO),138.3,Sunauli ICP,128.94
Devariya,Basti,179023,village,BABHNAN,5.09,ICD Lucknow,148.59,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,748.91,Chaudhary Charan Singh International Airport (LKO),155.21,Sunauli ICP,114.12
Kesarai,Basti,179352,village,GAUR,3.82,ICD Lucknow,160.52,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,739.27,Lal Bahadur Shastri International Airport (VNS),158.98,Sunauli ICP,104.42
Lonha,Basti,181191,village,BASTI,17.62,ICD Lucknow,177.1,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,711.15,Lal Bahadur Shastri International Airport (VNS),131.12,Sunauli ICP,111.36
Son Barsa,Basti,181305,village,BASTI,19.28,ICD Lucknow,170.71,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,716.33,Lal Bahadur Shastri International Airport (VNS),131.94,Sunauli ICP,115.4
Naharpur,Basti,181183,village,BASTI,17.97,ICD Lucknow,174.2,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,713.57,Lal Bahadur Shastri International Airport (VNS),131.59,Sunauli ICP,113.04
Mimal Jot Misir,Basti,179670,village,ULNA BHARI,17.71,ICD Lucknow,149.62,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,736.56,Lal Bahadur Shastri International Airport (VNS),142.36,Sunauli ICP,125.61
Mahulani Khurd,Basti,180159,village,TINICH,19.35,ICD Lucknow,156.88,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,731.19,Lal Bahadur Shastri International Airport (VNS),141.44,Sunauli ICP,119.44
Kurhwa,Basti,180328,village,TINICH,17.53,ICD Lucknow,163.35,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,725.96,Lal Bahadur Shastri International Airport (VNS),140.08,Sunauli ICP,114.74
Khaupokhar,Basti,180315,village,TINICH,18.76,ICD Lucknow,158.77,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,729.57,Lal Bahadur Shastri International Airport (VNS),140.85,Sunauli ICP,118.17
