state,district,district_code,pop_2011,is_island,target_port,road_distance_km,road_cost_per_ton_inr,rail_cost_per_ton_inr,dfc_cost_per_ton_inr,optimal_mode,modal_shift_savings_inr,modal_shift_savings_pct,break_even_distance_km,road_drive_time_hours
Arunachal Pradesh,KRA DAADI,721.0,31538,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2077.4,7765.6,4557.5,,Conventional Rail,3208.1,41.3,380.0,30.25
Arunachal Pradesh,KURUNG KUMEY,256.0,62189,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2096.6,7841.0,4587.8,,Conventional Rail,3253.1,41.5,380.0,31.18
Arunachal Pradesh,LEPA RADA,729.0,10341,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2030.2,7590.5,4483.0,,Conventional Rail,3107.6,40.9,380.0,29.32
Arunachal Pradesh,LOHIT,259.0,93174,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1978.2,7399.3,4400.8,,Conventional Rail,2998.4,40.5,380.0,28.51
Arunachal Pradesh,LONGDING,680.0,48699,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1798.5,6739.2,4117.0,,Conventional Rail,2622.2,38.9,380.0,25.84
Arunachal Pradesh,LOWER DIBANG VALLEY,258.0,31748,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1931.5,7227.2,4327.1,,Conventional Rail,2900.1,40.1,380.0,27.74
Arunachal Pradesh,LOWER SIANG,723.0,30643,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2069.8,7736.4,4545.5,,Conventional Rail,3190.9,41.2,380.0,29.97
Arunachal Pradesh,LOWER SUBANSIRI,255.0,8729,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2019.2,7549.5,4465.6,,Conventional Rail,3083.9,40.8,380.0,29.07
Arunachal Pradesh,NAMSAI,724.0,47658,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1897.4,7102.9,4273.2,,Conventional Rail,2829.7,39.8,380.0,27.36
Arunachal Pradesh,PAKKE KESSANG,726.0,23662,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2045.5,7645.4,4507.1,,Conventional Rail,3138.3,41.0,380.0,29.37
