state,district,sub_district,sub_district_code,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Madhya Pradesh,BETUL,CHICHOLI,3601,BHAIRONPUR,33.57,ICD Nagpur (MIHAN),190.94,Hazira Port,509.34,Devi Ahilya Bai Holkar International Airport (IDR),186.26,Rupaidiha ICP,767.95
Madhya Pradesh,BETUL,GHORADONGRI,3602,GHORADONGRI,13.0,ICD Nagpur (MIHAN),149.97,Hazira Port,567.82,Dr. Babasaheb Ambedkar International Airport (NAG),150.44,Rupaidiha ICP,739.57
Madhya Pradesh,BETUL,MULTAI,3604,MULTAI,0.77,ICD Nagpur (MIHAN),109.43,Hazira Port,576.27,Dr. Babasaheb Ambedkar International Airport (NAG),109.79,Rupaidiha ICP,772.24
Madhya Pradesh,BETUL,PRABHAT PATTAN,6804,Hiwarkheda,18.11,ICD Nagpur (MIHAN),114.2,Hazira Port,553.18,Dr. Babasaheb Ambedkar International Airport (NAG),114.33,Rupaidiha ICP,800.23
Madhya Pradesh,BETUL,SHAHPUR,3603,MAGARDOH,8.97,ICD Nagpur (MIHAN),172.93,Hazira Port,538.76,Dr. Babasaheb Ambedkar International Airport (NAG),173.3,Rupaidiha ICP,749.37
Madhya Pradesh,BHIND,AMAYAN,7395,ITEHAR,20.77,ICD Gwalior,59.01,Dahej Port,802.37,Chaudhary Charan Singh International Airport (LKO),212.77,Rupaidiha ICP,322.06
Madhya Pradesh,BHIND,ATER,3391,BHIND,15.42,ICD Gwalior,72.99,Dahej Port,819.97,Chaudhary Charan Singh International Airport (LKO),214.67,Rupaidiha ICP,304.04
Madhya Pradesh,BHIND,BHIND,3392,BHIND,16.68,ICD Gwalior,82.22,Dahej Port,827.32,Chaudhary Charan Singh International Airport (LKO),192.0,Rupaidiha ICP,296.99
Madhya Pradesh,BHIND,BHIND NAGAR,6752,BHIND,4.87,ICD Gwalior,69.0,Dahej Port,815.69,Chaudhary Charan Singh International Airport (LKO),206.95,Rupaidiha ICP,308.08
Madhya Pradesh,BHIND,GOHAD,3395,RAYAT PURA,6.71,ICD Gwalior,32.86,Dahej Port,780.32,Chaudhary Charan Singh International Airport (LKO),242.93,Rupaidiha ICP,343.37
Madhya Pradesh,BHIND,GORMI,3394,SONI,7.99,ICD Gwalior,49.57,Dahej Port,796.06,Chaudhary Charan Singh International Airport (LKO),234.81,Rupaidiha ICP,328.0
Madhya Pradesh,BHIND,LAHAR,3398,Konch,26.4,ICD Gwalior,72.83,Dahej Port,794.66,Chaudhary Charan Singh International Airport (LKO),207.76,Rupaidiha ICP,335.12
Madhya Pradesh,BHIND,MAU,6753,SONDHA ROAD,30.13,ICD Gwalior,43.9,Dahej Port,783.8,Chaudhary Charan Singh International Airport (LKO),228.18,Rupaidiha ICP,340.85
Madhya Pradesh,BHIND,MEHGAON,3393,ASOKHAR,11.35,ICD Gwalior,49.88,Dahej Port,796.51,Chaudhary Charan Singh International Airport (LKO),224.01,Rupaidiha ICP,327.22
Madhya Pradesh,BHIND,MIHONA,3397,Konch,37.03,ICD Gwalior,76.6,Dahej Port,811.77,Chaudhary Charan Singh International Airport (LKO),195.9,Rupaidiha ICP,315.36
Madhya Pradesh,BHIND,RON,3396,BHIND,29.4,ICD Gwalior,78.07,Dahej Port,817.58,Chaudhary Charan Singh International Airport (LKO),193.47,Rupaidiha ICP,308.4
Madhya Pradesh,BHOPAL,BERASIA,3580,DEWANGANJ,31.11,ICD Pithampur,207.31,Dahej Port,536.02,Devi Ahilya Bai Holkar International Airport (IDR),191.03,Rupaidiha ICP,633.52
Madhya Pradesh,BHOPAL,HUZUR,3581,BHOPAL JN,1.66,ICD Pithampur,186.3,Dahej Port,519.89,Devi Ahilya Bai Holkar International Airport (IDR),170.89,Rupaidiha ICP,670.19
Madhya Pradesh,BHOPAL,KOLAR,6942,MISROD,7.75,ICD Pithampur,183.59,Dahej Port,517.75,Devi Ahilya Bai Holkar International Airport (IDR),168.82,Rupaidiha ICP,682.93
Madhya Pradesh,BURHANPUR,BURHANPUR,3719,BURHANPUR,17.82,ICD Pithampur,165.66,Hazira Port,374.55,Devi Ahilya Bai Holkar International Airport (IDR),171.71,Rupaidiha ICP,916.06
Madhya Pradesh,BURHANPUR,BURHANPUR NAGAR,9661,BURHANPUR,1.19,ICD Pithampur,149.68,Hazira Port,361.63,Devi Ahilya Bai Holkar International Airport (IDR),156.56,Rupaidiha ICP,912.91
Madhya Pradesh,BURHANPUR,DHULCOT,7232,ASIRGARH ROAD,17.76,ICD Pithampur,130.83,Hazira Port,358.98,Devi Ahilya Bai Holkar International Airport (IDR),137.54,Rupaidiha ICP,899.48
Madhya Pradesh,BURHANPUR,KHAKNAR,3720,Tukaithad,15.24,ICD Pithampur,160.6,Hazira Port,396.71,Devi Ahilya Bai Holkar International Airport (IDR),164.11,Rupaidiha ICP,890.52
Madhya Pradesh,BURHANPUR,NEPANAGAR,3721,NEPANAGAR,9.1,ICD Pithampur,151.07,Hazira Port,392.53,Devi Ahilya Bai Holkar International Airport (IDR),154.6,Rupaidiha ICP,885.88
Madhya Pradesh,CHHATARPUR,BADA MALHERA,3431,Tikamgarh,52.21,ICD Gwalior,211.09,Dahej Port,750.57,Chaudhary Charan Singh International Airport (LKO),282.79,Rupaidiha ICP,451.72
Madhya Pradesh,CHHATARPUR,BIJAWAR,3433,KHAJURAHO,40.83,ICD Kanpur,218.88,Dahej Port,771.95,Chaudhary Charan Singh International Airport (LKO),271.58,Rupaidiha ICP,443.62
Madhya Pradesh,CHHATARPUR,BUXWAHA,3434,PATHARIA,42.71,ICD Gwalior,236.39,Dahej Port,735.04,Chaudhary Charan Singh International Airport (LKO),311.65,Rupaidiha ICP,482.15
Madhya Pradesh,CHHATARPUR,CHANDLA,3426,SINGHPUR DUMRA,27.3,ICD Kanpur,152.53,Dhamra Port,820.41,Chaudhary Charan Singh International Airport (LKO),197.43,Rupaidiha ICP,373.65
Madhya Pradesh,CHHATARPUR,CHHATARPUR,3429,GHUTAI,44.37,ICD Gwalior,190.42,Dahej Port,773.23,Chaudhary Charan Singh International Airport (LKO),249.86,Rupaidiha ICP,417.6
Madhya Pradesh,CHHATARPUR,CHHATARPUR_NAGAR,6765,RAJNAGAR,26.03,ICD Kanpur,181.27,Dahej Port,792.08,Chaudhary Charan Singh International Airport (LKO),235.79,Rupaidiha ICP,406.05
Madhya Pradesh,CHHATARPUR,GAURIHAR,3424,MATAUNDH,19.17,ICD Kanpur,132.83,Dhamra Port,830.54,Chaudhary Charan Singh International Airport (LKO),178.76,Rupaidiha ICP,354.43
