state,district,sub_district,sub_district_code,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Andaman and Nicobar Islands,NICOBARS,CAR NICOBAR,5916,KOTABOMMALI,1379.43,ICD Bhubaneswar,1427.22,Paradip Port,1381.44,Visakhapatnam International Airport (VTZ),1395.92,Zorinpui ICP,1516.15
Andaman and Nicobar Islands,NICOBARS,GREAT NICOBAR,5918,VELANKANNI,1612.84,ICD Chennai (Tondiarpet),1645.4,Karaikal Port,1619.0,Chennai International Airport (MAA),1651.93,Zorinpui ICP,1762.99
Andaman and Nicobar Islands,NICOBARS,NANCOWRY,5917,KOTABOMMALI,1530.54,ICD Chennai (Tondiarpet),1554.36,Gangavaram Port,1536.34,Visakhapatnam International Airport (VTZ),1543.3,Zorinpui ICP,1654.6
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,5919,Paradip,1019.98,ICD Bhubaneswar,1074.72,Paradip Port,1013.39,Biju Patnaik International Airport (BBI),1074.35,Zorinpui ICP,1066.31
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,5920,Paradip,1053.53,ICD Bhubaneswar,1106.02,Paradip Port,1047.14,Biju Patnaik International Airport (BBI),1105.51,Zorinpui ICP,1117.36
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,RANGAT,5921,Paradip,1072.41,ICD Bhubaneswar,1123.32,Paradip Port,1066.16,Biju Patnaik International Airport (BBI),1122.72,Zorinpui ICP,1149.25
Andaman and Nicobar Islands,SOUTH ANDAMANS,FERRARGUNJ,5922,Paradip,1122.27,ICD Bhubaneswar,1170.39,Paradip Port,1116.27,Biju Patnaik International Airport (BBI),1169.63,Zorinpui ICP,1218.16
Andaman and Nicobar Islands,SOUTH ANDAMANS,LITTLE ANDAMAN,5924,Paradip,1222.31,ICD Bhubaneswar,1265.72,Paradip Port,1216.74,Visakhapatnam International Airport (VTZ),1258.86,Zorinpui ICP,1347.56
Andaman and Nicobar Islands,SOUTH ANDAMANS,PORT BLAIR,5923,Paradip,1126.98,ICD Bhubaneswar,1171.83,Paradip Port,1121.29,Biju Patnaik International Airport (BBI),1170.9,Zorinpui ICP,1255.4
Andhra Pradesh,ALLURI SITARAMA RAJU,ADDATEEGALA,4887,DURGADA GATE,44.02,ICD Hyderabad (Sanathnagar),374.67,Visakhapatnam Port,124.81,Visakhapatnam International Airport (VTZ),126.11,Petrapole ICP,925.21
Andhra Pradesh,ALLURI SITARAMA RAJU,ANANTAGIRI,4845,Tyada,8.24,ICD Raipur,362.85,Visakhapatnam Port,58.47,Visakhapatnam International Airport (VTZ),55.37,Petrapole ICP,802.86
Andhra Pradesh,ALLURI SITARAMA RAJU,ARAKU VALLEY,4844,Shimiliaguda,5.13,ICD Raipur,345.77,Visakhapatnam Port,75.59,Visakhapatnam International Airport (VTZ),72.48,Petrapole ICP,797.99
Andhra Pradesh,ALLURI SITARAMA RAJU,CHINTAPALLI,4849,Padua,61.23,ICD Raipur,370.85,Visakhapatnam Port,91.26,Visakhapatnam International Airport (VTZ),90.88,Petrapole ICP,867.8
Andhra Pradesh,ALLURI SITARAMA RAJU,CHINTUR,4732,Aswapuram,59.57,ICD Hyderabad (Sanathnagar),305.17,Visakhapatnam Port,193.86,Visakhapatnam International Airport (VTZ),194.35,Petrapole ICP,960.36
Andhra Pradesh,ALLURI SITARAMA RAJU,DEVIPATNAM,4885,KOVVUR,39.29,ICD Hyderabad (Sanathnagar),336.5,Visakhapatnam Port,165.23,Visakhapatnam International Airport (VTZ),166.67,Petrapole ICP,963.02
Andhra Pradesh,ALLURI SITARAMA RAJU,DUMBRIGUDA,4843,Gorapur,2.84,ICD Raipur,340.28,Visakhapatnam Port,82.64,Visakhapatnam International Airport (VTZ),79.87,Petrapole ICP,806.89
Andhra Pradesh,ALLURI SITARAMA RAJU,G.MADUGULA,4848,Darliput,44.76,ICD Raipur,365.48,Visakhapatnam Port,79.0,Visakhapatnam International Airport (VTZ),77.99,Petrapole ICP,849.04
Andhra Pradesh,ALLURI SITARAMA RAJU,GANGAVARAM,4894,GUDAPARTI,47.24,ICD Hyderabad (Sanathnagar),362.63,Visakhapatnam Port,138.35,Visakhapatnam International Airport (VTZ),139.8,Petrapole ICP,939.75
Andhra Pradesh,ALLURI SITARAMA RAJU,GUDEM KOTHA VEEDHI,4850,TUNI,71.62,ICD Raipur,368.25,Visakhapatnam Port,113.16,Visakhapatnam International Airport (VTZ),113.03,Petrapole ICP,886.05
Andhra Pradesh,ALLURI SITARAMA RAJU,HUKUMPETA,4846,Arakku,23.44,ICD Raipur,361.57,Visakhapatnam Port,63.66,Visakhapatnam International Airport (VTZ),61.32,Petrapole ICP,819.05
Andhra Pradesh,ALLURI SITARAMA RAJU,KOYYURU,4851,TUNI,50.45,ICD Raipur,390.16,Visakhapatnam Port,103.5,Visakhapatnam International Airport (VTZ),104.08,Petrapole ICP,894.53
Andhra Pradesh,ALLURI SITARAMA RAJU,KUNAVARAM,4731,Aswapuram,50.27,ICD Hyderabad (Sanathnagar),291.77,Visakhapatnam Port,206.31,Visakhapatnam International Airport (VTZ),207.02,Petrapole ICP,977.33
Andhra Pradesh,ALLURI SITARAMA RAJU,MAREDUMILLI,4884,KOVVUR,71.37,ICD Hyderabad (Sanathnagar),336.9,Visakhapatnam Port,161.15,Visakhapatnam International Airport (VTZ),161.87,Petrapole ICP,941.84
Andhra Pradesh,ALLURI SITARAMA RAJU,MUNCHINGI PUTTU,4841,Padua,20.25,ICD Raipur,326.03,Visakhapatnam Port,105.97,Visakhapatnam International Airport (VTZ),103.81,Petrapole ICP,826.76
Andhra Pradesh,ALLURI SITARAMA RAJU,PADERU,4847,Gorapur,33.94,ICD Raipur,367.67,Visakhapatnam Port,63.25,Visakhapatnam International Airport (VTZ),61.53,Petrapole ICP,831.06
Andhra Pradesh,ALLURI SITARAMA RAJU,PEDA BAYALU,4842,Padua,28.27,ICD Raipur,342.79,Visakhapatnam Port,94.38,Visakhapatnam International Airport (VTZ),92.65,Petrapole ICP,837.56
Andhra Pradesh,ALLURI SITARAMA RAJU,RAJAVOMMANGI,4888,RAVIKAMPADU,31.22,ICD Hyderabad (Sanathnagar),391.36,Visakhapatnam Port,108.92,Visakhapatnam International Airport (VTZ),110.4,Petrapole ICP,914.54
Andhra Pradesh,ALLURI SITARAMA RAJU,RAMPA CHODAVARAM,4895,GODAVARI,44.67,ICD Hyderabad (Sanathnagar),351.14,Visakhapatnam Port,149.59,Visakhapatnam International Airport (VTZ),150.98,Petrapole ICP,948.3
Andhra Pradesh,ALLURI SITARAMA RAJU,VARARAMACHANDRAPURAM,4733,Aswapuram,68.01,ICD Hyderabad (Sanathnagar),307.46,Visakhapatnam Port,190.58,Visakhapatnam International Airport (VTZ),191.45,Petrapole ICP,969.57
Andhra Pradesh,ALLURI SITARAMA RAJU,Y. RAMAVARAM,4886,RAVIKAMPADU,79.08,ICD Hyderabad (Sanathnagar),356.95,Visakhapatnam Port,142.08,Visakhapatnam International Airport (VTZ),142.51,Petrapole ICP,919.43
Andhra Pradesh,ALLURI SITARAMA RAJU,YETAPAKA,6147,Panduranga Pura,26.14,ICD Hyderabad (Sanathnagar),267.58,Visakhapatnam Port,230.83,Visakhapatnam International Airport (VTZ),231.45,Petrapole ICP,994.06
Andhra Pradesh,ANAKAPALLI,ACHCHUTAPURAM,4878,NARASINGAPALLI,13.12,ICD Bhubaneswar,416.65,Visakhapatnam Port,26.24,Visakhapatnam International Airport (VTZ),28.91,Petrapole ICP,847.71
Andhra Pradesh,ANAKAPALLI,ANAKAPALLI,4871,ANAKAPALLE,2.82,ICD Bhubaneswar,405.12,Visakhapatnam Port,23.5,Visakhapatnam International Airport (VTZ),23.87,Petrapole ICP,835.98
Andhra Pradesh,ANAKAPALLI,BUCHCHAYYAPETA,4873,BAYYAVARAM,14.21,ICD Raipur,399.37,Visakhapatnam Port,38.16,Visakhapatnam International Airport (VTZ),38.01,Petrapole ICP,841.4
Andhra Pradesh,ANAKAPALLI,CHIDIKADA,4858,Lakkavarapukota,28.14,ICD Raipur,383.73,Visakhapatnam Port,43.52,Visakhapatnam International Airport (VTZ),41.79,Petrapole ICP,827.19
Andhra Pradesh,ANAKAPALLI,CHODAVARAM,4872,ANAKAPALLE,13.72,ICD Raipur,398.73,Visakhapatnam Port,29.4,Visakhapatnam International Airport (VTZ),28.37,Petrapole ICP,830.26
Andhra Pradesh,ANAKAPALLI,DEVARAPALLE,4859,Lakkavarapukota,22.53,ICD Raipur,380.17,Visakhapatnam Port,43.98,Visakhapatnam International Airport (VTZ),41.73,Petrapole ICP,820.28
Andhra Pradesh,ANAKAPALLI,ELAMANCHILI,4879,ELLAMANCHILI,3.8,ICD Raipur,423.06,Visakhapatnam Port,44.67,Visakhapatnam International Airport (VTZ),46.77,Petrapole ICP,863.09
Andhra Pradesh,ANAKAPALLI,GOLUGONDA,4853,GULLIPADU,31.86,ICD Raipur,399.93,Visakhapatnam Port,75.51,Visakhapatnam International Airport (VTZ),76.31,Petrapole ICP,877.02
Andhra Pradesh,ANAKAPALLI,KASIMKOTA,4876,NARASINGAPALLI,3.96,ICD Raipur,413.67,Visakhapatnam Port,35.21,Visakhapatnam International Airport (VTZ),36.52,Petrapole ICP,850.04
Andhra Pradesh,ANAKAPALLI,KINTADA KOTOPADU,4860,KOTTAVALASA,12.65,ICD Bhubaneswar,386.51,Visakhapatnam Port,28.17,Visakhapatnam International Airport (VTZ),25.58,Petrapole ICP,817.09
Andhra Pradesh,ANAKAPALLI,KOTAURATLA,4874,NARSIPATNAM RD,10.59,ICD Raipur,418.19,Visakhapatnam Port,57.35,Visakhapatnam International Airport (VTZ),59.07,Petrapole ICP,871.99
Andhra Pradesh,ANAKAPALLI,MADUGULA,4857,BAYYAVARAM,28.58,ICD Raipur,385.58,Visakhapatnam Port,50.01,Visakhapatnam International Airport (VTZ),49.1,Petrapole ICP,839.19
Andhra Pradesh,ANAKAPALLI,MAKAVARAPALEM,4875,REGUPALEM,16.11,ICD Raipur,409.34,Visakhapatnam Port,52.69,Visakhapatnam International Airport (VTZ),53.84,Petrapole ICP,863.02
Andhra Pradesh,ANAKAPALLI,MUNAGAPAKA,4877,KASIMKOTA,6.56,ICD Bhubaneswar,410.29,Visakhapatnam Port,22.31,Visakhapatnam International Airport (VTZ),24.11,Petrapole ICP,841.29
Andhra Pradesh,ANAKAPALLI,NAKKAPALLI,4880,GULLIPADU,2.85,ICD Raipur,432.87,Visakhapatnam Port,66.77,Visakhapatnam International Airport (VTZ),69.17,Petrapole ICP,885.9
Andhra Pradesh,ANAKAPALLI,NARSIPATNAM,4854,REGUPALEM,23.43,ICD Raipur,405.99,Visakhapatnam Port,63.12,Visakhapatnam International Airport (VTZ),64.14,Petrapole ICP,870.12
Andhra Pradesh,ANAKAPALLI,NATAVARAM,4852,TUNI,21.67,ICD Raipur,412.62,Visakhapatnam Port,80.47,Visakhapatnam International Airport (VTZ),81.88,Petrapole ICP,888.97
Andhra Pradesh,ANAKAPALLI,PARAVADA,4870,THADI,6.76,ICD Bhubaneswar,404.75,Visakhapatnam Port,14.55,Visakhapatnam International Airport (VTZ),17.0,Petrapole ICP,835.82
Andhra Pradesh,ANAKAPALLI,PAYAKARAOPETA,4881,TUNI,5.98,ICD Hyderabad (Sanathnagar),431.58,Visakhapatnam Port,77.55,Visakhapatnam International Airport (VTZ),80.07,Petrapole ICP,897.15
Andhra Pradesh,ANAKAPALLI,RAMBILLI,4883,ELLAMANCHILI,8.96,ICD Bhubaneswar,427.54,Visakhapatnam Port,37.33,Visakhapatnam International Airport (VTZ),40.0,Petrapole ICP,858.58
Andhra Pradesh,ANAKAPALLI,RAVIKAMATAM,4856,BAYYAVARAM,21.96,ICD Raipur,396.97,Visakhapatnam Port,49.72,Visakhapatnam International Airport (VTZ),49.85,Petrapole ICP,850.97
Andhra Pradesh,ANAKAPALLI,ROLUGUNTA,4855,REGUPALEM,28.1,ICD Raipur,398.05,Visakhapatnam Port,59.58,Visakhapatnam International Airport (VTZ),60.06,Petrapole ICP,861.31
Andhra Pradesh,ANAKAPALLI,SABBAVARAM,4861,PENDURTI,10.52,ICD Bhubaneswar,391.77,Visakhapatnam Port,17.41,Visakhapatnam International Airport (VTZ),15.64,Petrapole ICP,822.66
Andhra Pradesh,ANAKAPALLI,SARVASIDDHI RAYAVARAM,4882,NARSIPATNAM RD,5.46,ICD Raipur,429.78,Visakhapatnam Port,52.66,Visakhapatnam International Airport (VTZ),55.09,Petrapole ICP,872.48
Andhra Pradesh,ANANTHAPURAMU,ANANTAPUR RURAL,5330,ANANTAPUR,5.47,ICD Whitefield,185.57,Krishnapatnam Port,279.58,Kempegowda International Airport (BLR),161.1,Petrapole ICP,1487.48
Andhra Pradesh,ANANTHAPURAMU,ANANTAPUR URBAN,5330,ANANTAPUR,1.59,ICD Whitefield,188.24,Krishnapatnam Port,277.22,Kempegowda International Airport (BLR),163.53,Petrapole ICP,1483.59
Andhra Pradesh,ANANTHAPURAMU,ATMAKURU,5322,PRASANNAYA PALLI,18.78,ICD Whitefield,181.38,Krishnapatnam Port,292.52,Kempegowda International Airport (BLR),158.15,Petrapole ICP,1501.2
Andhra Pradesh,ANANTHAPURAMU,BELUGUPPA,5318,Rayadurg,34.37,ICD Whitefield,192.96,New Mangalore Port,317.5,Kempegowda International Airport (BLR),172.22,Petrapole ICP,1517.26
Andhra Pradesh,ANANTHAPURAMU,BOMMANAHAL,5307,Somalapuram,17.58,ICD Whitefield,226.12,New Mangalore Port,324.8,Kempegowda International Airport (BLR),205.96,Petrapole ICP,1510.58
Andhra Pradesh,ANANTHAPURAMU,BRAHMASAMUDRAM,5320,Rayadurg,19.8,ICD Whitefield,187.78,New Mangalore Port,292.32,Kempegowda International Airport (BLR),169.9,Petrapole ICP,1542.28
Andhra Pradesh,ANANTHAPURAMU,BUKKARAYA SAMUDRAM,5329,ANANTAPUR,10.63,ICD Whitefield,191.62,Krishnapatnam Port,266.17,Kempegowda International Airport (BLR),166.06,Petrapole ICP,1472.67
Andhra Pradesh,ANANTHAPURAMU,D.HIREHAL,5304,Somalapuram,5.35,ICD Whitefield,228.25,New Mangalore Port,314.8,Kempegowda International Airport (BLR),209.23,Sunauli ICP,1517.7
Andhra Pradesh,ANANTHAPURAMU,GARLADINNE,5324,GARLADINNE,5.75,ICD Whitefield,207.03,Krishnapatnam Port,284.95,Kempegowda International Airport (BLR),182.57,Petrapole ICP,1474.8
Andhra Pradesh,ANANTHAPURAMU,GOOTY,5310,GOOTY JUNCTION CABIN,1.34,ICD Whitefield,237.93,Krishnapatnam Port,283.25,Kempegowda International Airport (BLR),212.72,Petrapole ICP,1446.96
Andhra Pradesh,ANANTHAPURAMU,GUMMAGATTA,5319,Rayadurg,10.34,ICD Whitefield,197.76,New Mangalore Port,285.78,Kempegowda International Airport (BLR),180.99,Petrapole ICP,1548.78
Andhra Pradesh,ANANTHAPURAMU,GUNTAKAL,5309,NAKKANADODDI,6.52,ICD Whitefield,235.91,Krishnapatnam Port,301.22,Kempegowda International Airport (BLR),211.92,Petrapole ICP,1463.84
Andhra Pradesh,ANANTHAPURAMU,KALYANDURG,5321,Rayadurg,42.1,ICD Whitefield,178.31,New Mangalore Port,312.57,Kempegowda International Airport (BLR),157.58,Petrapole ICP,1523.15
Andhra Pradesh,ANANTHAPURAMU,KAMBADUR,5334,NAGASAMUDRAM,43.71,ICD Whitefield,161.82,New Mangalore Port,306.28,Kempegowda International Airport (BLR),141.31,Petrapole ICP,1531.31
Andhra Pradesh,ANANTHAPURAMU,KANEKALLU,5306,Somalapuram,24.13,ICD Whitefield,210.83,New Mangalore Port,318.37,Kempegowda International Airport (BLR),190.71,Petrapole ICP,1516.24
Andhra Pradesh,ANANTHAPURAMU,KUDERU,5323,TATICHERLA,21.45,ICD Whitefield,200.54,Krishnapatnam Port,298.72,Kempegowda International Airport (BLR),177.36,Petrapole ICP,1491.6
Andhra Pradesh,ANANTHAPURAMU,KUNDURPI,5333,Challakere,42.53,ICD Whitefield,160.45,New Mangalore Port,285.29,Kempegowda International Airport (BLR),142.87,Petrapole ICP,1551.49
Andhra Pradesh,ANANTHAPURAMU,NARPALA,5328,ZANGALAPALLE,23.37,ICD Whitefield,193.26,Krishnapatnam Port,252.54,Kempegowda International Airport (BLR),166.85,Petrapole ICP,1461.88
Andhra Pradesh,ANANTHAPURAMU,PAMIDI,5315,KHADARPET,0.99,ICD Whitefield,220.92,Krishnapatnam Port,287.85,Kempegowda International Airport (BLR),196.36,Petrapole ICP,1465.56
Andhra Pradesh,ANANTHAPURAMU,PEDDA PAPPURU,5314,JUTTURU,8.5,ICD Whitefield,216.49,Krishnapatnam Port,255.48,Kempegowda International Airport (BLR),190.07,Petrapole ICP,1444.94
Andhra Pradesh,ANANTHAPURAMU,PEDDAVADUGURU,5311,RAYALCHERUVU,10.7,ICD Whitefield,224.75,Krishnapatnam Port,269.66,Kempegowda International Airport (BLR),198.98,Petrapole ICP,1448.03
Andhra Pradesh,ANANTHAPURAMU,PUTLUR,5326,CHALLAVARIPALLI,17.02,ICD Whitefield,199.9,Krishnapatnam Port,241.27,Kempegowda International Airport (BLR),172.9,Petrapole ICP,1449.35
Andhra Pradesh,ANANTHAPURAMU,RAPTADU,5331,ZANGALAPALLE,7.38,ICD Whitefield,173.61,Krishnapatnam Port,274.39,Kempegowda International Airport (BLR),148.88,Petrapole ICP,1492.43
Andhra Pradesh,ANANTHAPURAMU,RAYADURG,5305,Rayadurg,3.64,ICD Whitefield,206.98,New Mangalore Port,296.65,Kempegowda International Airport (BLR),189.18,Petrapole ICP,1538.12
Andhra Pradesh,ANANTHAPURAMU,SETTURU,5332,Rayadurg,35.38,ICD Whitefield,171.83,New Mangalore Port,288.01,Kempegowda International Airport (BLR),154.1,Petrapole ICP,1547.52
Andhra Pradesh,ANANTHAPURAMU,SINGANAMALA,5325,GARLADINNE,16.07,ICD Whitefield,207.6,Krishnapatnam Port,264.4,Kempegowda International Airport (BLR),181.76,Petrapole ICP,1458.59
Andhra Pradesh,ANANTHAPURAMU,TADPATRI,5313,TADIPATRI,6.28,ICD Whitefield,221.88,Krishnapatnam Port,237.58,Kempegowda International Airport (BLR),194.66,Petrapole ICP,1428.81
Andhra Pradesh,ANANTHAPURAMU,URAVAKONDA,5317,VENKATAMPALLE,26.81,ICD Whitefield,212.62,Krishnapatnam Port,314.83,Kempegowda International Airport (BLR),190.5,Petrapole ICP,1496.28
Andhra Pradesh,ANANTHAPURAMU,VAJRAKARUR,5316,GULAPALYAMU,10.41,ICD Whitefield,225.91,Krishnapatnam Port,309.58,Kempegowda International Airport (BLR),202.86,Petrapole ICP,1480.12
Andhra Pradesh,ANANTHAPURAMU,VIDAPANAKALLU,5308,TSAKIBANDA,13.41,ICD Whitefield,232.34,Krishnapatnam Port,327.82,Kempegowda International Airport (BLR),210.62,Petrapole ICP,1491.82
Andhra Pradesh,ANANTHAPURAMU,YADIKI,5312,VEMULAPADU,5.64,ICD Whitefield,231.85,Krishnapatnam Port,255.45,Kempegowda International Airport (BLR),205.28,Petrapole ICP,1431.71
Andhra Pradesh,ANANTHAPURAMU,YELLANUR,5327,REGADIPALLI,20.74,ICD Whitefield,191.37,Krishnapatnam Port,228.78,Kempegowda International Airport (BLR),163.87,Petrapole ICP,1448.8
Andhra Pradesh,ANNAMAYYA,BIRANGI KOTHAKOTA,5391,Tummanamgutta,7.48,ICD Whitefield,110.4,Krishnapatnam Port,204.94,Kempegowda International Airport (BLR),84.28,Petrapole ICP,1500.88
Andhra Pradesh,ANNAMAYYA,CHINNAMANDEM,5236,Vayalpad,34.53,ICD Melpakkam,126.06,Krishnapatnam Port,162.07,Kempegowda International Airport (BLR),131.57,Petrapole ICP,1453.67
Andhra Pradesh,ANNAMAYYA,CHITVEL,5245,ANANTARAJUPET,11.87,ICD Melpakkam,107.06,Krishnapatnam Port,81.84,Chennai International Airport (MAA),143.17,Petrapole ICP,1390.03
Andhra Pradesh,ANNAMAYYA,GALIVIDU,5235,Nalacheruvu East,37.83,ICD Melpakkam,144.52,Krishnapatnam Port,173.49,Kempegowda International Airport (BLR),129.93,Petrapole ICP,1454.59
Andhra Pradesh,ANNAMAYYA,GURRAMKONDA,5370,Madanapalle Road,15.58,ICD Melpakkam,117.14,Krishnapatnam Port,172.68,Kempegowda International Airport (BLR),115.84,Petrapole ICP,1471.07
Andhra Pradesh,ANNAMAYYA,KALAKADA,5371,Kallkiri,19.09,ICD Melpakkam,108.97,Krishnapatnam Port,158.51,Kempegowda International Airport (BLR),129.19,Petrapole ICP,1459.3
Andhra Pradesh,ANNAMAYYA,KALIKIRI,5387,Kallkiri,4.87,ICD Melpakkam,94.15,Krishnapatnam Port,155.55,Kempegowda International Airport (BLR),130.5,Petrapole ICP,1462.88
Andhra Pradesh,ANNAMAYYA,KAMBHAMVARIPALLE,5372,Piler,16.5,ICD Melpakkam,98.16,Krishnapatnam Port,141.35,Kempegowda International Airport (BLR),145.22,Petrapole ICP,1446.35
Andhra Pradesh,ANNAMAYYA,KODUR,5249,SETTIGUNTA,2.82,ICD Melpakkam,89.67,Krishnapatnam Port,91.85,Chennai International Airport (MAA),131.9,Petrapole ICP,1405.62
Andhra Pradesh,ANNAMAYYA,KURABALAKOTA,5389,Kurabalakota,0.39,ICD Melpakkam,119.87,Krishnapatnam Port,188.26,Kempegowda International Airport (BLR),99.01,Petrapole ICP,1488.25
Andhra Pradesh,ANNAMAYYA,LAKKIREDDIPALLE,5240,CUDDAPAH,34.64,ICD Melpakkam,146.27,Krishnapatnam Port,157.95,Kempegowda International Airport (BLR),149.54,Petrapole ICP,1434.95
Andhra Pradesh,ANNAMAYYA,MADANAPALLE,5392,Kurabalakota,10.9,ICD Melpakkam,115.18,Krishnapatnam Port,193.44,Kempegowda International Airport (BLR),92.67,Petrapole ICP,1497.03
Andhra Pradesh,ANNAMAYYA,MULAKALACHERUVU,5367,Mulacalacheruvu,3.34,ICD Whitefield,120.34,Krishnapatnam Port,203.65,Kempegowda International Airport (BLR),92.96,Petrapole ICP,1491.55
Andhra Pradesh,ANNAMAYYA,NANDALUR,5243,NANDALUR,11.64,ICD Melpakkam,140.52,Krishnapatnam Port,101.85,Chennai International Airport (MAA),181.83,Petrapole ICP,1383.27
Andhra Pradesh,ANNAMAYYA,NIMMANAPALLE,5393,Vayalpad,10.28,ICD Melpakkam,97.77,Krishnapatnam Port,177.68,Kempegowda International Airport (BLR),108.74,Petrapole ICP,1486.05
Andhra Pradesh,ANNAMAYYA,OBULAVARIPALLE,5248,OBULAVARIPALLI,3.16,ICD Melpakkam,105.98,Krishnapatnam Port,93.0,Chennai International Airport (MAA),148.43,Petrapole ICP,1398.98
Andhra Pradesh,ANNAMAYYA,PEDDA TIPPA SAMUDRAM,5390,Mulacalacheruvu,18.61,ICD Whitefield,98.66,Krishnapatnam Port,222.67,Kempegowda International Airport (BLR),71.16,Petrapole ICP,1513.38
Andhra Pradesh,ANNAMAYYA,PEDDAMANDYAM,5369,Kurabalakota,25.91,ICD Melpakkam,132.61,Krishnapatnam Port,177.62,Kempegowda International Airport (BLR),116.91,Petrapole ICP,1467.77
Andhra Pradesh,ANNAMAYYA,PENAGALUR,5244,RAZAMPETA,23.96,ICD Melpakkam,137.4,Krishnapatnam Port,87.06,Chennai International Airport (MAA),172.56,Petrapole ICP,1373.86
Andhra Pradesh,ANNAMAYYA,PILERU,5386,Piler,4.51,ICD Melpakkam,87.3,Krishnapatnam Port,143.7,Kempegowda International Airport (BLR),142.41,Petrapole ICP,1453.22
Andhra Pradesh,ANNAMAYYA,PULLAMPET,5247,OBULAVARIPALLI,15.54,ICD Melpakkam,101.19,Krishnapatnam Port,110.41,Chennai International Airport (MAA),153.12,Petrapole ICP,1415.76
Andhra Pradesh,ANNAMAYYA,RAJAMPET,5246,HASTAVARMU,2.33,ICD Melpakkam,127.89,Krishnapatnam Port,109.9,Chennai International Airport (MAA),175.34,Petrapole ICP,1399.61
Andhra Pradesh,ANNAMAYYA,RAMAPURAM,5241,CUDDAPAH,27.84,ICD Melpakkam,142.5,Krishnapatnam Port,146.47,Kempegowda International Airport (BLR),159.44,Petrapole ICP,1425.01
Andhra Pradesh,ANNAMAYYA,RAMASAMUDRAM,5414,Srinivaspur,27.28,ICD Whitefield,103.99,Chennai Port,201.54,Kempegowda International Airport (BLR),83.14,Petrapole ICP,1513.18
Andhra Pradesh,ANNAMAYYA,RAYACHOTI,5239,CUDDAPAH,44.47,ICD Melpakkam,132.46,Krishnapatnam Port,153.78,Kempegowda International Airport (BLR),144.52,Petrapole ICP,1440.23
Andhra Pradesh,ANNAMAYYA,SAMBEPALLE,5237,Kallkiri,31.31,ICD Melpakkam,115.59,Krishnapatnam Port,148.72,Kempegowda International Airport (BLR),141.78,Petrapole ICP,1445.17
Andhra Pradesh,ANNAMAYYA,T SUNDUPALLE,5238,RAZAMPETA,31.99,ICD Melpakkam,111.48,Krishnapatnam Port,131.28,Kempegowda International Airport (BLR),158.66,Petrapole ICP,1429.66
Andhra Pradesh,ANNAMAYYA,THAMBALLAPALLE,5368,Tummanamgutta,12.86,ICD Whitefield,129.01,Krishnapatnam Port,191.18,Kempegowda International Airport (BLR),102.29,Petrapole ICP,1482.28
Andhra Pradesh,ANNAMAYYA,VALMIKIPURAM,5388,Vayalpad,8.29,ICD Melpakkam,100.75,Krishnapatnam Port,167.66,Kempegowda International Airport (BLR),118.42,Petrapole ICP,1473.36
Andhra Pradesh,ANNAMAYYA,VIRABALLE,5242,HASTAVARMU,23.51,ICD Melpakkam,131.43,Krishnapatnam Port,131.65,Kempegowda International Airport (BLR),167.68,Petrapole ICP,1417.61
Andhra Pradesh,BAPATLA,ADDANKI,5112,UPPUGUNDURU,29.63,ICD Hyderabad (Sanathnagar),239.14,Krishnapatnam Port,171.8,Rajiv Gandhi International Airport (HYD),224.91,Petrapole ICP,1210.8
Andhra Pradesh,BAPATLA,AMRUTALURU,5086,MODUKURU,7.2,ICD Hyderabad (Sanathnagar),271.96,Krishnapatnam Port,212.28,Rajiv Gandhi International Airport (HYD),263.89,Petrapole ICP,1134.63
Andhra Pradesh,BAPATLA,BALLIKURAVA,5105,SANTAMAGULUR,18.76,ICD Hyderabad (Sanathnagar),226.67,Krishnapatnam Port,192.36,Rajiv Gandhi International Airport (HYD),214.04,Petrapole ICP,1193.61
Andhra Pradesh,BAPATLA,BAPATLA,5093,BAPATLA,1.65,ICD Hyderabad (Sanathnagar),268.59,Krishnapatnam Port,184.91,Rajiv Gandhi International Airport (HYD),257.91,Petrapole ICP,1165.89
Andhra Pradesh,BAPATLA,BHATTIPROLU,5089,Bhattiprolu,2.67,ICD Hyderabad (Sanathnagar),285.74,Krishnapatnam Port,212.33,Rajiv Gandhi International Airport (HYD),277.94,Petrapole ICP,1127.63
Andhra Pradesh,BAPATLA,CHERUKUPALLI,5090,Bhattiprolu,11.26,ICD Hyderabad (Sanathnagar),279.82,Krishnapatnam Port,206.63,Rajiv Gandhi International Airport (HYD),271.43,Petrapole ICP,1136.24
Andhra Pradesh,BAPATLA,CHINNA GANJAM,5125,CHINNA GANJAM,0.25,ICD Hyderabad (Sanathnagar),268.07,Krishnapatnam Port,158.31,Rajiv Gandhi International Airport (HYD),254.75,Petrapole ICP,1198.78
Andhra Pradesh,BAPATLA,CHIRALA,5123,IPURUPALEM HALT,1.52,ICD Hyderabad (Sanathnagar),265.78,Krishnapatnam Port,179.0,Rajiv Gandhi International Airport (HYD),254.41,Petrapole ICP,1174.66
