village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Khas Chowmohani,Sepahijala,653,272105,village,8,4.46,Belghoria Expressway,307.52,Agartala,27.56,Bihara,206.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,318.11,ICD Amingaon,289.13,Agartala ICP (Akhaura),34.78,Lokpriya Gopinath Bordoloi International Airport (GAU),280.09,MMLP Silchar,202.92,Karimganj Terminal,178.31,FCI Depot Agartala,31.71
Purba Nalchar,Sepahijala,653,272103,village,8,4.09,Belghoria Expressway,313.07,Agartala,29.56,Bihara,203.42,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,323.59,ICD Amingaon,289.17,Agartala ICP (Akhaura),34.23,Lokpriya Gopinath Bordoloi International Airport (GAU),280.31,MMLP Silchar,199.15,Karimganj Terminal,175.49,FCI Depot Agartala,33.41
Dhanirampur,Sepahijala,653,272095,village,8,5.8,Belghoria Expressway,302.72,Agartala,27.33,Bihara,210.09,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,313.35,ICD Amingaon,289.68,Agartala ICP (Akhaura),36.49,Lokpriya Gopinath Bordoloi International Airport (GAU),280.49,MMLP Silchar,206.51,Karimganj Terminal,181.2,FCI Depot Agartala,31.63
Kamalnagar,Sepahijala,653,272093,village,8,8.71,Belghoria Expressway,299.56,Agartala,27.14,Bihara,212.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,310.24,ICD Amingaon,289.52,Agartala ICP (Akhaura),37.52,Lokpriya Gopinath Bordoloi International Airport (GAU),280.23,MMLP Silchar,208.65,Karimganj Terminal,182.8,FCI Depot Agartala,31.47
Taksapara,Sepahijala,653,272098,village,8,5.96,Belghoria Expressway,305.2,Agartala,26.06,Bihara,207.72,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,315.84,ICD Amingaon,288.19,Agartala ICP (Akhaura),34.5,Lokpriya Gopinath Bordoloi International Airport (GAU),279.06,MMLP Silchar,204.08,Karimganj Terminal,178.92,FCI Depot Agartala,30.31
Anandapur,Sepahijala,653,272092,village,8,10.63,Belghoria Expressway,299.0,Agartala,25.84,Bihara,211.6,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,309.73,ICD Amingaon,288.1,Agartala ICP (Akhaura),36.74,Lokpriya Gopinath Bordoloi International Airport (GAU),278.77,MMLP Silchar,208.41,Karimganj Terminal,182.22,FCI Depot Agartala,30.15
Purba Jumerdhepa,Sepahijala,653,272101,village,8,3.82,Belghoria Expressway,313.9,Agartala,26.03,Bihara,200.83,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,324.5,ICD Amingaon,285.58,Agartala ICP (Akhaura),30.66,Lokpriya Gopinath Bordoloi International Airport (GAU),276.7,MMLP Silchar,196.77,Karimganj Terminal,172.63,FCI Depot Agartala,29.82
Kamalachhara,Sepahijala,653,272091,village,8,11.49,Belghoria Expressway,299.18,Agartala,24.41,Bihara,210.71,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,309.94,ICD Amingaon,286.59,Agartala ICP (Akhaura),35.62,Lokpriya Gopinath Bordoloi International Airport (GAU),277.24,MMLP Silchar,207.62,Karimganj Terminal,181.2,FCI Depot Agartala,28.71
Jagatrampur,Sepahijala,653,272136,village,8,9.64,Belghoria Expressway,300.81,Agartala,22.66,Bihara,208.81,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,311.6,ICD Amingaon,284.94,Agartala ICP (Akhaura),33.72,Lokpriya Gopinath Bordoloi International Airport (GAU),275.63,MMLP Silchar,205.74,Karimganj Terminal,179.29,FCI Depot Agartala,26.97
Ghilatali,Sepahijala,653,272089,village,8,11.06,Belghoria Expressway,299.16,Agartala,22.97,Bihara,209.91,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,309.97,ICD Amingaon,285.0,Agartala ICP (Akhaura),34.6,Lokpriya Gopinath Bordoloi International Airport (GAU),275.63,MMLP Silchar,206.96,Karimganj Terminal,180.26,FCI Depot Agartala,27.25
Kalshimura,Sepahijala,653,272087,village,8,12.7,Belghoria Expressway,297.39,Agartala,23.3,Bihara,211.01,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,308.23,ICD Amingaon,284.87,Agartala ICP (Akhaura),35.52,Lokpriya Gopinath Bordoloi International Airport (GAU),275.44,MMLP Silchar,208.19,Karimganj Terminal,181.19,FCI Depot Agartala,27.52
Boxanagar,Sepahijala,653,272086,village,8;44,12.57,Belghoria Expressway,297.29,Agartala,21.52,Bihara,209.97,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,308.2,ICD Amingaon,282.56,Agartala ICP (Akhaura),34.35,Lokpriya Gopinath Bordoloi International Airport (GAU),273.09,MMLP Silchar,207.35,Karimganj Terminal,179.92,FCI Depot Agartala,25.65
Manikyanagar,Sepahijala,653,272088,village,8,10.33,Belghoria Expressway,299.75,Agartala,21.11,Bihara,208.55,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,310.61,ICD Amingaon,283.02,Agartala ICP (Akhaura),33.08,Lokpriya Gopinath Bordoloi International Airport (GAU),273.64,MMLP Silchar,205.71,Karimganj Terminal,178.76,FCI Depot Agartala,25.38
Ashabari,Sepahijala,653,272085,village,8;44,10.83,Belghoria Expressway,298.98,Agartala,19.84,Bihara,208.18,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,309.9,ICD Amingaon,281.18,Agartala ICP (Akhaura),32.56,Lokpriya Gopinath Bordoloi International Airport (GAU),271.74,MMLP Silchar,205.55,Karimganj Terminal,178.14,FCI Depot Agartala,24.0
