district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
Ballia,2360,4.645,5.39,84.06779661016948,100.0,100.0,195.64,196.79,0.0,0.0,0.0,6.245,7.52,74.15254237288136,100.0,100.0,44.85,44.22,0.6355932203389831,15.677966101694915,60.33898305084746,554.06,556.27,0.0,0.0,0.0,110.28999999999999,109.11,0.0,0.0,0.0,143.09,144.72,0.0,0.0,0.0,103.86,99.88,0.0,0.0,0.0423728813559322,105.13499999999999,102.49,0.0,0.0,0.0,89.315,86.42,0.0,0.0,3.728813559322034,99.68,96.93,0.0,0.0,0.0,30.92,30.27,1.7372881355932204,30.847457627118647,98.64406779661017,3212493.0
Balrampur,1021,10.72,11.82,46.62095984329089,95.0048971596474,100.0,207.32,206.74,0.0,0.0,0.0,11.96,13.02,40.05876591576885,91.96865817825662,100.0,66.54,66.9,0.0,0.0,19.29480901077375,789.47,793.06,0.0,0.0,0.0,150.82,153.5,0.0,0.0,0.0,109.2,106.79,0.0,0.0,0.0,160.41,163.01,0.0,0.0,0.0,237.8,237.63,0.0,0.0,0.0,237.8,237.63,0.0,0.0,0.0,118.75,121.3,0.0,0.0,0.0,61.1,60.66,0.0,0.0,19.980411361410383,2123809.0
Banda,740,11.985,12.6,42.567567567567565,93.51351351351352,100.0,49.33,50.82,0.0,3.5135135135135136,51.621621621621614,18.465,18.07,26.486486486486488,70.13513513513514,100.0,64.6,64.41,0.0,2.027027027027027,23.10810810810811,812.905,814.88,0.0,0.0,0.0,113.94,112.5,0.0,0.0,0.0,322.39,323.84,0.0,0.0,0.0,145.135,146.66,0.0,0.0,0.0,244.625,240.87,0.0,0.0,0.0,244.625,240.87,0.0,0.0,0.0,112.84,111.4,0.0,0.0,0.0,35.22,34.85,3.5135135135135136,19.72972972972973,90.67567567567568,1733256.0
Bara Banki,1813,5.86,6.35,77.16492002206287,100.0,100.0,149.11,148.96,0.0,0.0,0.0,7.03,7.6,70.4357418643133,99.88968560397133,100.0,27.38,26.9,7.115278543849972,41.312741312741316,98.89685603971319,842.19,843.27,0.0,0.0,0.0,45.37,44.76,0.0,7.5565361279647,64.03750689464975,155.42,155.79,0.0,0.0,0.0,53.14,52.75,0.0,0.1654715940430226,41.20242691671263,239.7,240.47,0.0,0.0,0.0,239.7,240.47,0.0,0.0,0.0,45.77,45.16,0.0,7.225592939878654,62.879205736348595,18.74,19.82,17.981246552675124,68.39492553778268,100.0,3302373.0
Bareilly,2074,6.4350000000000005,7.67,71.0221793635487,100.0,100.0,212.44,211.14,0.0,0.0,0.0,6.16,6.84,77.4831243972999,100.0,100.0,49.335,49.73,0.0,5.49662487945998,51.7357762777242,1002.78,1003.05,0.0,0.0,0.0,80.025,80.88,0.0,0.0,0.819672131147541,169.52499999999998,171.24,0.0,0.0,0.0,215.97,215.97,0.0,0.0,0.0,395.06,396.72,0.0,0.0,0.0,485.68,484.24,0.0,0.0,0.0,166.03500000000003,164.91,0.0,0.0,0.0,15.04,15.14,23.770491803278688,93.05689488910318,100.0,4575611.0
Basti,3202,3.93,4.64,92.59837601499063,100.0,100.0,151.1,152.86,0.0,0.0,0.0,11.39,11.73,42.06745783885072,99.75015615240474,100.0,21.5,21.16,11.930043722673329,65.64647095565272,100.0,731.88,731.8,0.0,0.0,0.0,166.85000000000002,163.97,0.0,0.0,0.0,108.4,108.42,0.0,0.0,0.0,145.70499999999998,147.92,0.0,0.0,0.0,168.1,167.36,0.0,0.0,0.0,168.1,167.36,0.0,0.0,0.0,72.41,74.56,0.0,0.0,4.216114928169894,13.93,14.41,29.54403497813866,93.31667707682698,100.0,2366074.0
Bhadohi,1190,2.71,3.1,100.0,100.0,100.0,30.365000000000002,31.69,0.0,31.008403361344538,96.47058823529412,4.09,4.25,100.0,100.0,100.0,112.505,113.46,0.0,0.0,0.0,660.0699999999999,658.54,0.0,0.0,0.0,221.815,222.22,0.0,0.0,0.0,249.88,249.93,0.0,0.0,0.0,41.43,41.41,0.0,7.73109243697479,78.4873949579832,51.625,50.52,0.0,0.0,44.70588235294118,51.625,50.52,0.0,0.0,44.70588235294118,51.625,50.52,0.0,0.0,44.70588235294118,15.004999999999999,13.95,27.563025210084035,100.0,100.0,1567898.0
Bijnor,3010,7.855,9.74,59.30232558139535,95.24916943521595,100.0,87.005,87.22,0.0,0.0,0.03322259136212625,5.9350000000000005,7.15,78.4717607973422,99.16943521594685,100.0,99.25,98.67,0.0,0.0,0.0,1013.44,1013.09,0.0,0.0,0.0,70.73,71.08,0.0,0.0,14.186046511627906,294.265,294.06,0.0,0.0,0.0,152.54500000000002,151.88,0.0,0.0,0.0,259.21,259.2,0.0,0.0,0.0,627.98,628.35,0.0,0.0,0.0,77.49,77.11,0.0,0.0,3.222591362126246,22.91,21.94,11.561461794019934,58.205980066445186,100.0,3788062.0
Budaun,1699,16.05,15.92,26.01530311948205,85.10888758092996,100.0,181.21,182.27,0.0,0.0,0.0,13.26,13.63,35.432607416127134,92.99587992937022,100.0,61.43,61.46,0.0,0.0,17.245438493231312,948.96,948.49,0.0,0.0,0.0,90.18,89.39,0.0,0.0,2.64861683343143,211.5,210.98,0.0,0.0,0.0,189.75,187.22,0.0,0.0,0.0,387.8,387.39,0.0,0.0,0.0,486.18,486.9,0.0,0.0,0.0,142.31,142.1,0.0,0.0,0.0,40.43,39.98,0.0,9.59387875220718,80.5768098881695,3028019.0
Bulandshahr,1256,8.385,10.01,56.44904458598726,95.14331210191082,100.0,75.82,77.2,0.0,0.0,6.926751592356688,9.55,11.32,51.910828025477706,93.55095541401273,100.0,65.92500000000001,65.22,0.0,0.0,16.878980891719745,904.085,903.36,0.0,0.0,0.0,49.525,50.39,0.0,8.04140127388535,50.87579617834395,310.91,309.83,0.0,0.0,0.0,89.97999999999999,90.86,0.0,0.0,0.0,289.735,291.47,0.0,0.0,0.0,589.255,587.23,0.0,0.0,0.0,48.47,49.06,0.0,9.63375796178344,52.70700636942676,20.83,20.77,11.863057324840764,66.48089171974523,100.0,3599270.0
