village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
KHI ROLIYA,BAGESHWAR,63,051354,village,KATHGODAM,72.56,Dhamora,143.67,Dahej Port,1136.3,ICD Moradabad,145.81,Rupaidiha ICP,225.19,Indira Gandhi International Airport (DEL),287.09,MMLP Sangrur,364.52,Varanasi Multi-Modal Terminal,595.54,FCI Depot Dehradun,160.78
AINCHAR,BAGESHWAR,63,051313,village,KATHGODAM,72.38,Dhamora,142.41,Dahej Port,1133.85,ICD Moradabad,143.63,Rupaidiha ICP,228.31,Indira Gandhi International Airport (DEL),283.6,MMLP Sangrur,360.22,Varanasi Multi-Modal Terminal,598.2,FCI Depot Dehradun,156.57
WAJULI,BAGESHWAR,63,051368,village,KATHGODAM,72.44,Dhamora,141.78,Dahej Port,1132.48,ICD Moradabad,142.46,Rupaidiha ICP,230.16,Indira Gandhi International Airport (DEL),281.63,MMLP Sangrur,357.74,Varanasi Multi-Modal Terminal,599.78,FCI Depot Dehradun,154.13
SIMKHET,BAGESHWAR,63,051297,village,KATHGODAM,72.7,Dhamora,141.38,Dahej Port,1131.35,ICD Moradabad,141.54,Rupaidiha ICP,231.95,Indira Gandhi International Airport (DEL),279.92,MMLP Sangrur,355.49,Varanasi Multi-Modal Terminal,601.33,FCI Depot Dehradun,151.88
SYALI,BAGESHWAR,63,051315,village,KATHGODAM,74.5,Dhamora,144.28,Dahej Port,1135.24,ICD Moradabad,145.17,Rupaidiha ICP,230.22,Indira Gandhi International Airport (DEL),284.35,MMLP Sangrur,359.55,Varanasi Multi-Modal Terminal,600.25,FCI Depot Dehradun,155.54
CHHATYANI,BAGESHWAR,63,051275,village,KATHGODAM,74.57,Dhamora,143.43,Dahej Port,1133.38,ICD Moradabad,143.6,Rupaidiha ICP,232.64,Indira Gandhi International Airport (DEL),281.71,MMLP Sangrur,356.25,Varanasi Multi-Modal Terminal,602.31,FCI Depot Dehradun,152.31
LAR KHET,BAGESHWAR,63,051279,village,KATHGODAM,75.71,Dhamora,144.86,Dahej Port,1135.01,ICD Moradabad,145.19,Rupaidiha ICP,232.59,Indira Gandhi International Airport (DEL),283.35,MMLP Sangrur,357.4,Varanasi Multi-Modal Terminal,602.51,FCI Depot Dehradun,153.23
RAITOLI,BAGESHWAR,63,051280,village,KATHGODAM,75.61,Dhamora,144.41,Dahej Port,1134.19,ICD Moradabad,144.48,Rupaidiha ICP,233.41,Indira Gandhi International Airport (DEL),282.27,MMLP Sangrur,356.15,Varanasi Multi-Modal Terminal,603.17,FCI Depot Dehradun,152.03
AMSYARI,BAGESHWAR,63,051307,village,KATHGODAM,76.1,Dhamora,145.97,Dahej Port,1136.88,ICD Moradabad,146.85,Rupaidiha ICP,230.91,Indira Gandhi International Airport (DEL),285.76,MMLP Sangrur,360.09,Varanasi Multi-Modal Terminal,601.16,FCI Depot Dehradun,155.81
PAR KOTI,BAGESHWAR,63,051278,village,KATHGODAM,76.28,Dhamora,145.31,Dahej Port,1135.26,ICD Moradabad,145.51,Rupaidiha ICP,233.24,Indira Gandhi International Airport (DEL),283.39,MMLP Sangrur,357.02,Varanasi Multi-Modal Terminal,603.17,FCI Depot Dehradun,152.77
