district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
CHURU,918,13.76,15.9,38.453159041394336,78.75816993464052,100.0,101.59,100.52,0.0,0.0,2.3965141612200433,738.825,733.78,0.0,0.0,0.0,173.085,171.77,0.0,0.0,0.0,295.48,304.22,0.0,0.0,0.0,185.59,189.44,0.0,0.0,0.0,221.41,230.4,0.0,0.0,0.0,863.81,863.86,0.0,0.0,0.0,168.055,168.39,0.0,0.0,0.0,2052727.0
DAUSA,1150,13.81,14.88,37.565217391304344,82.69565217391305,100.0,159.74,158.66,0.0,0.0,0.0,688.51,685.58,0.0,0.0,0.0,63.53,67.69,0.0,0.0,26.347826086956523,481.065,482.35,0.0,0.0,0.0,66.675,71.19,0.0,0.0,17.391304347826086,370.97,374.48,0.0,0.0,0.0,661.125,657.27,0.0,0.0,0.0,70.28999999999999,74.06,0.0,0.0,8.434782608695652,1618863.0
DEEG,702,10.215,11.78,49.14529914529914,93.44729344729345,100.0,71.68,71.06,0.0,0.0,12.678062678062679,783.77,784.8,0.0,0.0,0.0,81.39500000000001,83.95,0.0,0.0,0.0,397.73,398.38,0.0,0.0,0.0,113.60499999999999,113.64,0.0,0.0,0.0,321.85,323.7,0.0,0.0,0.0,616.265,613.53,0.0,0.0,0.0,119.96000000000001,118.5,0.0,0.0,0.0,1458562.0
DHAULPUR,854,7.46,8.94,64.98829039812647,97.65807962529274,100.0,120.33,118.21,0.0,0.0,0.0,756.895,754.91,0.0,0.0,0.0,73.16499999999999,73.27,0.0,0.0,0.0,377.695,379.41,0.0,0.0,0.0,191.07999999999998,188.53,0.0,0.0,0.0,425.325,424.62,0.0,0.0,0.0,535.155,534.92,0.0,0.0,0.0,73.475,73.57,0.0,0.0,0.0,1214189.0
DIDWANA-KUCHAMAN,800,11.344999999999999,12.66,44.375,90.5,100.0,103.88499999999999,105.33,0.0,0.0,0.0,632.995,628.05,0.0,0.0,0.0,124.91,122.78,0.0,0.0,0.0,429.35,429.15,0.0,0.0,0.0,120.315,117.72,0.0,0.0,0.0,348.62,351.91,0.0,0.0,0.0,839.15,836.33,0.0,0.0,0.0,116.245,112.62,0.0,0.0,0.375,2044363.0
DUNGARPUR,1056,28.735,27.84,16.193181818181817,41.76136363636363,93.93939393939394,176.57,179.88,0.0,0.0,0.0,256.955,258.3,0.0,0.0,0.0,145.025,147.59,0.0,0.0,0.0,805.7950000000001,807.33,0.0,0.0,0.0,141.42,144.02,0.0,0.0,0.0,226.245,228.34,0.0,0.0,0.0,921.75,921.17,0.0,0.0,0.0,149.005,150.25,0.0,0.0,0.0,1396027.0
GANGANAGAR,3060,10.92,14.95,46.69934640522876,84.54248366013071,95.71895424836602,131.79500000000002,129.65,0.0,0.0,0.8823529411764706,766.31,766.09,0.0,0.0,0.0,271.0,275.54,0.0,0.0,0.0,211.915,212.37,0.0,0.0,0.0,279.55999999999995,278.85,0.0,0.0,0.0,235.82,241.08,0.0,0.0,0.0,1025.4050000000002,1022.82,0.0,0.0,0.0,158.655,163.46,0.0,0.0,0.0,2036360.0
HANUMANGARH,1916,11.625,13.98,43.21503131524008,84.29018789144051,100.0,86.995,82.25,0.0,2.661795407098121,14.352818371607516,808.275,809.2,0.0,0.0,0.0,210.075,207.94,0.0,0.0,0.0,190.625,189.05,0.0,0.0,0.0,241.95999999999998,238.28,0.0,0.0,0.0,163.95,163.63,0.0,0.0,0.0,946.015,938.63,0.0,0.0,0.0,108.85499999999999,105.5,0.0,0.0,0.0,1729648.0
JAIPUR,2001,10.74,13.09,47.026486756621686,86.65667166416792,100.0,183.8,183.24,0.0,0.0,0.0,648.59,650.22,0.0,0.0,0.0,36.68,38.74,4.3478260869565215,23.788105947026487,71.31434282858571,474.06,472.7,0.0,0.0,0.0,36.58,37.63,2.2488755622188905,23.388305847076463,77.81109445277362,368.84,364.81,0.0,0.0,0.0,727.36,729.53,0.0,0.0,0.0,37.12,37.08,0.39980009995002497,21.989005497251373,84.35782108945527,5817193.0
JAISALMER,855,46.47,48.41,6.1988304093567255,22.690058479532162,56.257309941520475,251.78,257.95,0.0,0.0,0.0,420.24,427.6,0.0,0.0,0.0,402.02,406.2,0.0,0.0,0.0,573.98,576.78,0.0,0.0,0.0,418.21,427.32,0.0,0.0,0.0,577.4,582.88,0.0,0.0,0.0,1174.3,1176.49,0.0,0.0,0.0,203.7,202.45,0.0,0.0,0.0,653530.0
