state,district,district_code,pop_2011,is_island,highway_access_dist_km,highway_access_time_min,nearest_rail_station_name,rail_station_straight_km,rail_station_road_distance_km,rail_station_drive_time_hours,rail_station_drive_time_min,nearest_freight_terminal_name,freight_terminal_straight_km,freight_terminal_road_distance_km,freight_terminal_drive_time_hours,freight_terminal_drive_time_min,nearest_port_name,port_straight_km,port_road_distance_km,port_drive_time_hours,port_drive_time_min,nearest_icd_name,icd_straight_km,icd_road_distance_km,icd_drive_time_hours,icd_drive_time_min,nearest_mmlp_name,mmlp_straight_km,mmlp_road_distance_km,mmlp_drive_time_hours,mmlp_drive_time_min,nearest_air_cargo_name,air_cargo_straight_km,air_cargo_road_distance_km,air_cargo_drive_time_hours,air_cargo_drive_time_min,nearest_icp_name,icp_straight_km,icp_road_distance_km,icp_drive_time_hours,icp_drive_time_min,nearest_toll_plaza_name,toll_plaza_straight_km,toll_plaza_road_distance_km,toll_plaza_drive_time_hours,toll_plaza_drive_time_min,nearest_expressway_name,expressway_straight_km,expressway_road_distance_km,expressway_drive_time_hours,expressway_drive_time_min
Andhra Pradesh,East Godavari,545.0,1694071,False,2.7,4.7,PULLA,46.1,81.8,0.1,6.0,Amagura,230.2,484.7,0.21,13.0,Krishnapatnam Port,344.9,715.2,0.32,19.0,ICD Hyderabad (Sanathnagar),344.4,549.2,0.24,15.0,MMLP Vijayawada,124.8,267.8,0.17,10.0,Biju Patnaik International Airport (BBI),553.9,615.7,0.32,19.0,Petrapole ICP,986.9,1119.0,0.4,24.0,East Godavari Toll Plaza,3.1,4.4,0.08,5.0,Chitoor-Thatchur Expressway,463.7,655.5,0.23,14.0
Andhra Pradesh,Eluru,688.0,2533959,False,18.1,31.1,PULLA,34.3,127.9,0.55,33.0,Amagura,250.1,564.5,0.67,40.0,Krishnapatnam Port,319.2,761.3,0.76,46.0,ICD Hyderabad (Sanathnagar),278.0,629.0,0.7,42.0,MMLP Vijayawada,71.9,347.6,0.63,38.0,Biju Patnaik International Airport (BBI),605.2,695.5,0.78,47.0,Petrapole ICP,1035.3,1198.8,0.85,51.0,East Godavari Toll Plaza,67.4,84.2,0.53,32.0,Chitoor-Thatchur Expressway,436.6,701.6,0.68,41.0
Andhra Pradesh,Guntur,548.0,1074025,False,9.3,16.0,NAMBURU,11.5,18.0,0.27,16.0,Vishnupuram,108.7,143.2,0.39,24.0,Krishnapatnam Port,227.8,538.4,0.46,28.0,ICD Hyderabad (Sanathnagar),255.4,439.0,0.4,24.0,MMLP Hyderabad,250.4,428.9,0.38,23.0,Rajiv Gandhi International Airport (HYD),248.4,414.1,0.49,30.0,Petrapole ICP,1128.5,1308.9,0.63,38.0,Guntur Toll Plaza,11.8,22.7,0.27,16.0,Chitoor-Thatchur Expressway,343.3,478.7,0.38,23.0
Andhra Pradesh,Kakinada,686.0,1514240,False,10.0,17.1,Coac,19.4,26.6,0.3,18.0,Jaggayyapet,217.2,346.9,0.44,26.0,Krishnapatnam Port,380.5,846.9,0.55,33.0,ICD Hyderabad (Sanathnagar),388.0,548.0,0.45,27.0,MMLP Vijayawada,171.9,266.7,0.38,23.0,Rajiv Gandhi International Airport (HYD),391.0,558.4,0.54,33.0,Petrapole ICP,944.8,1258.5,0.63,38.0,Kakinada Toll Plaza,12.9,15.3,0.29,17.0,Chitoor-Thatchur Expressway,498.9,787.2,0.47,28.0
Andhra Pradesh,Krishna,547.0,2035649,False,4.0,6.8,Gudlavalleru,15.8,40.3,0.14,8.0,Jaggayyapet,123.1,140.3,0.22,13.0,Krishnapatnam Port,234.4,917.0,0.4,24.0,ICD Hyderabad (Sanathnagar),301.4,341.4,0.23,14.0,MMLP Vijayawada,51.6,60.0,0.16,9.0,Rajiv Gandhi International Airport (HYD),295.6,351.7,0.33,20.0,Petrapole ICP,1099.7,1328.6,0.48,29.0,Krishna Toll Plaza,24.2,65.1,0.13,8.0,Chitoor-Thatchur Expressway,353.0,857.3,0.32,19.0
Andhra Pradesh,Kurnool,552.0,1866517,False,21.3,36.5,HAGARI,69.4,99.3,0.63,38.0,Hirenanduru,200.1,249.7,0.71,43.0,New Mangalore Port,411.1,723.7,0.79,47.0,ICD Hyderabad (Sanathnagar),228.9,528.3,0.76,46.0,MMLP Anantapur,95.8,184.3,0.7,42.0,Kempegowda International Airport (BLR),259.5,363.9,0.79,48.0,Rupaidiha ICP,1443.6,1990.3,1.09,65.0,Kurnool Toll Plaza,31.0,41.0,0.62,37.0,Bangalore - Nelamangala Expressway,274.8,397.7,0.7,42.0
Andhra Pradesh,NTR,689.0,1763847,False,0.6,1.0,KONDAPALLI,37.8,46.9,0.04,2.0,Jaggayyapet,17.8,22.0,0.09,6.0,Krishnapatnam Port,281.5,851.1,0.29,17.0,ICD Hyderabad (Sanathnagar),199.4,223.1,0.1,6.0,MMLP Vijayawada,54.0,61.6,0.06,4.0,Rajiv Gandhi International Airport (HYD),196.7,233.5,0.2,12.0,Petrapole ICP,1116.0,1410.6,0.4,24.0,NTR Toll Plaza,12.0,12.7,0.02,1.0,Bangalore - Nelamangala Expressway,508.5,783.1,0.2,12.0
Andhra Pradesh,Nandyal,694.0,2286334,False,3.3,5.7,GIDDALUR,56.6,69.2,0.11,7.0,Uttangal Mangalam,453.0,617.1,0.25,15.0,Krishnapatnam Port,230.5,393.7,0.26,15.0,ICD Hyderabad (Sanathnagar),210.9,380.6,0.22,13.0,MMLP Anantapur,126.8,196.5,0.19,12.0,Kempegowda International Airport (BLR),266.8,337.7,0.28,17.0,Petrapole ICP,1356.0,1598.0,0.53,32.0,Nandyal Toll Plaza,7.9,9.1,0.1,6.0,Chitoor-Thatchur Expressway,275.7,310.8,0.17,10.0
Andhra Pradesh,Palnadu,690.0,3153668,False,25.2,43.3,PONDUGULA,38.8,54.9,0.74,45.0,Vishnupuram,42.2,57.8,0.82,49.0,Krishnapatnam Port,231.9,568.9,0.92,55.0,ICD Hyderabad (Sanathnagar),178.5,536.8,0.88,53.0,MMLP Hyderabad,172.4,526.7,0.85,51.0,Tiruchirappalli International Airport (TRZ),622.2,932.7,0.96,58.0,Petrapole ICP,1195.4,1426.2,1.11,66.0,Bapatla Toll Plaza,62.0,110.1,0.75,45.0,Chitoor-Thatchur Expressway,331.9,509.2,0.84,50.0
Andhra Pradesh,Parvathipuram Manyam,683.0,965360,False,39.3,67.4,GAJAPATINAGARAM,54.3,64.5,1.15,69.0,Amagura,149.2,223.3,1.19,71.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,640.8,914.8,1.34,80.0,ICD Raipur,336.1,653.2,1.3,78.0,MMLP Vijayawada,389.9,572.4,1.28,77.0,Biju Patnaik International Airport (BBI),285.5,486.9,1.33,80.0,Petrapole ICP,716.9,990.2,1.4,84.0,Vizianagaram Toll Plaza,71.2,89.0,1.14,68.0,NE 19,646.7,912.1,1.33,80.0
Andhra Pradesh,Prakasam,549.0,2822529,False,0.8,1.4,MARKAPUR ROAD,19.2,23.7,0.04,3.0,Jankampet,364.5,517.9,0.18,11.0,Krishnapatnam Port,169.7,382.2,0.18,11.0,ICD Hyderabad (Sanathnagar),222.8,322.7,0.13,8.0,MMLP Hyderabad,215.7,312.6,0.11,7.0,Tiruchirappalli International Airport (TRZ),546.4,746.0,0.22,13.0,Petrapole ICP,1261.0,1498.8,0.43,26.0,Prakasam Toll Plaza,47.7,66.9,0.05,3.0,Chitoor-Thatchur Expressway,259.3,322.5,0.1,6.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,550.0,2529991,False,9.0,15.4,ALLURU ROAD,35.3,80.3,0.28,17.0,Krishnapatnam,72.0,291.9,0.39,24.0,Krishnapatnam Port,72.0,291.9,0.39,24.0,ICD Hyderabad (Sanathnagar),324.8,510.4,0.41,25.0,MMLP Bengaluru (Muddalinganahalli),301.6,434.2,0.38,23.0,Tiruchirappalli International Airport (TRZ),448.8,655.7,0.43,26.0,Petrapole ICP,1317.9,1590.4,0.68,41.0,Sri Potti Sriramulu Nellore Toll Plaza,28.9,36.2,0.26,16.0,Chitoor-Thatchur Expressway,155.7,232.2,0.31,19.0
