district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
Mysuru,1384,21.13,21.92,25.216763005780347,59.17630057803468,98.04913294797689,136.15,133.95,0.0,0.0,0.0,189.54500000000002,190.3,0.0,0.0,0.0,135.14499999999998,132.64,0.0,0.0,0.0,1757.05,1756.09,0.0,0.0,0.0,3000117.0
Raichur,913,44.24,40.95,9.748083242059145,26.506024096385545,59.802847754654984,225.86,224.73,0.0,0.0,0.0,333.46,331.51,0.0,0.0,0.0,208.06,206.43,0.0,0.0,0.0,1402.98,1403.26,0.0,0.0,0.0,1934975.0
Ramanagara,879,17.7,18.17,24.004550625711037,77.36063708759954,99.88623435722411,47.7,48.3,0.0,1.3651877133105803,56.31399317406144,265.86,269.2,0.0,0.0,0.0,69.65,71.52,0.0,0.0,5.005688282138794,1650.67,1651.36,0.0,0.0,0.0,1081388.0
Shivamogga,1555,18.12,19.2,29.260450160771708,66.43086816720258,100.0,138.13,137.61,0.0,0.0,0.0,138.21,136.66,0.0,0.0,0.0,132.53,132.01,0.0,0.0,0.0,1672.91,1671.82,0.0,0.0,0.0,1757263.0
Tumakuru,2922,20.56,22.04,23.408624229979466,60.814510609171805,96.33812457221082,91.655,93.9,0.0,0.0,0.6502395619438741,238.095,237.14,0.0,0.0,0.0,91.11500000000001,93.91,0.0,0.0,2.292950034223135,1630.005,1625.96,0.0,0.0,0.0,2681129.0
Udupi,254,7.295,10.69,61.811023622047244,89.76377952755905,100.0,61.575,61.95,0.0,2.3622047244094486,33.46456692913386,60.975,61.38,0.0,2.7559055118110236,33.85826771653544,57.285,57.87,0.0,5.905511811023622,38.188976377952756,1750.505,1750.69,0.0,0.0,0.0,1075786.0
Uttara Kannada,1353,22.47,24.48,28.085735402808577,53.88026607538803,93.64375461936437,194.53,199.89,0.0,0.0,0.0,128.58,122.6,0.0,0.0,0.0,190.62,195.89,0.0,0.0,0.0,1633.03,1629.38,0.0,0.0,0.0,1440198.0
Vijayanagara,413,20.19,19.77,17.191283292978206,69.97578692493947,100.0,247.14,250.12,0.0,0.0,0.0,254.79,252.53,0.0,0.0,0.0,238.54,239.59,0.0,0.0,0.0,1554.42,1551.69,0.0,0.0,0.0,1694727.0
Vijayapura,739,23.28,25.07,22.32746955345061,53.58592692828146,90.79837618403248,261.75,261.49,0.0,0.0,0.0,278.83,277.49,0.0,0.0,0.0,254.29,254.2,0.0,0.0,0.0,1371.69,1370.13,0.0,0.0,0.0,2186331.0
Yadgir,582,28.865000000000002,31.88,19.243986254295535,43.81443298969072,75.77319587628865,189.4,188.83,0.0,0.0,0.0,353.185,354.08,0.0,0.0,0.0,176.04000000000002,174.77,0.0,0.0,0.0,1347.6399999999999,1349.18,0.0,0.0,0.0,1171730.0
__STATE__,31024,,17.857024242980152,33.04538421866942,70.53571428571429,96.53494069107788,,151.4088228646547,0.05801959773078907,1.956549767921609,9.276689014956164,,227.12406319069353,0.04190304280556988,0.39324394017534814,1.0927024239298608,,150.22768064983862,0.6092057761732852,3.2523207839092314,11.51689014956163,,1568.5444679619677,0.0,0.0,0.0,61095294.0
