village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Unnamed,NICOBARS,638,,village,4,381.28,Chitoor-Thatchur Expressway,1574.49,KOTABOMMALI,1495.38,Paradeep,1506.26,Paradip Port,1500.61,ICD Chennai (Tondiarpet),1526.46,Zorinpui ICP,1622.44,Visakhapatnam International Airport (VTZ),1508.9,MMLP Visakhapatnam,1506.85,Paradip Terminal,1500.61,FCI Depot Visakhapatnam,1506.85,Srikakulam Toll Plaza,1500.72
Aloorang,NICOBARS,638,645034,village,4,374.3,Chitoor-Thatchur Expressway,1557.68,KOTABOMMALI,1481.46,Paradeep,1494.7,Gangavaram Port,1487.23,ICD Chennai (Tondiarpet),1509.63,Zorinpui ICP,1617.68,Visakhapatnam International Airport (VTZ),1494.19,MMLP Visakhapatnam,1492.13,Paradip Terminal,1489.1,FCI Depot Visakhapatnam,1492.13,Srikakulam Toll Plaza,1486.65
Unnamed,NICOBARS,638,,village,4,384.55,Chitoor-Thatchur Expressway,1570.64,KOTABOMMALI,1494.86,Paradeep,1507.31,Gangavaram Port,1500.78,ICD Chennai (Tondiarpet),1522.58,Zorinpui ICP,1626.66,Visakhapatnam International Airport (VTZ),1507.74,MMLP Visakhapatnam,1505.68,Paradip Terminal,1501.69,FCI Depot Visakhapatnam,1505.68,Srikakulam Toll Plaza,1500.08
Unnamed,NICOBARS,638,,village,4,362.8,Chitoor-Thatchur Expressway,1603.09,Paradip,1500.66,Paradeep,1501.02,Paradip Port,1495.13,ICD Bhubaneswar,1543.24,Zorinpui ICP,1594.46,Visakhapatnam International Airport (VTZ),1519.06,MMLP Visakhapatnam,1517.12,Paradip Terminal,1495.13,FCI Depot Visakhapatnam,1517.12,Srikakulam Toll Plaza,1506.62
Unnamed,NICOBARS,638,,village,4,362.89,Chitoor-Thatchur Expressway,1603.16,Paradip,1500.75,Paradeep,1501.11,Paradip Port,1495.21,ICD Bhubaneswar,1543.33,Zorinpui ICP,1594.54,Visakhapatnam International Airport (VTZ),1519.15,MMLP Visakhapatnam,1517.21,Paradip Terminal,1495.21,FCI Depot Visakhapatnam,1517.21,Srikakulam Toll Plaza,1506.71
Unnamed,NICOBARS,638,,village,4,364.54,Chitoor-Thatchur Expressway,1603.48,Paradip,1502.17,Paradeep,1502.53,Paradip Port,1496.64,ICD Bhubaneswar,1544.69,Zorinpui ICP,1596.37,Visakhapatnam International Airport (VTZ),1520.14,MMLP Visakhapatnam,1518.2,Paradip Terminal,1496.64,FCI Depot Visakhapatnam,1518.2,Srikakulam Toll Plaza,1507.87
Nancowry,NICOBARS,638,,village,4,373.49,Chitoor-Thatchur Expressway,1608.42,KOTABOMMALI,1510.1,Paradeep,1511.1,Paradip Port,1505.22,ICD Bhubaneswar,1553.12,Zorinpui ICP,1605.24,Visakhapatnam International Airport (VTZ),1527.53,MMLP Visakhapatnam,1525.57,Paradip Terminal,1505.22,FCI Depot Visakhapatnam,1525.57,Srikakulam Toll Plaza,1515.77
Tahaila,NICOBARS,638,645028,village,4,353.51,Chitoor-Thatchur Expressway,1543.41,KOTABOMMALI,1461.48,Paradeep,1473.62,Gangavaram Port,1467.97,ICD Chennai (Tondiarpet),1495.41,Zorinpui ICP,1597.57,Visakhapatnam International Airport (VTZ),1474.94,MMLP Visakhapatnam,1472.89,Paradip Terminal,1468.01,FCI Depot Visakhapatnam,1472.89,Srikakulam Toll Plaza,1466.79
Unnamed,NICOBARS,638,,village,4,354.68,Chitoor-Thatchur Expressway,1545.19,KOTABOMMALI,1463.22,Paradeep,1475.2,Paradip Port,1469.59,ICD Chennai (Tondiarpet),1497.2,Zorinpui ICP,1598.57,Visakhapatnam International Airport (VTZ),1476.72,MMLP Visakhapatnam,1474.67,Paradip Terminal,1469.59,FCI Depot Visakhapatnam,1474.67,Srikakulam Toll Plaza,1468.54
Unnamed,NICOBARS,638,,village,4,354.72,Chitoor-Thatchur Expressway,1545.22,KOTABOMMALI,1463.26,Paradeep,1475.25,Paradip Port,1469.63,ICD Chennai (Tondiarpet),1497.23,Zorinpui ICP,1598.61,Visakhapatnam International Airport (VTZ),1476.76,MMLP Visakhapatnam,1474.71,Paradip Terminal,1469.63,FCI Depot Visakhapatnam,1474.71,Srikakulam Toll Plaza,1468.57
