village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Sarvail,YADADRI BHUVANAGIRI,697,577144,village,65,7.3,Solapur–Chennai Economic Corridor,185.49,RAMANNAPET,19.43,Vishnupuram,88.74,Krishnapatnam Port,343.44,ICD Hyderabad (Sanathnagar),58.73,Petrapole ICP,1203.11,Rajiv Gandhi International Airport (HYD),54.66,MMLP Hyderabad,53.76,Vedadri Terminal,145.81,FCI Depot Hyderabad,53.76
Kothulapuram,YADADRI BHUVANAGIRI,697,577136,village,65,4.85,Solapur–Chennai Economic Corridor,184.69,RAMANNAPET,20.16,Vishnupuram,93.56,Krishnapatnam Port,348.11,ICD Hyderabad (Sanathnagar),53.99,Petrapole ICP,1203.76,Rajiv Gandhi International Airport (HYD),51.01,MMLP Hyderabad,49.19,Vedadri Terminal,149.84,FCI Depot Hyderabad,49.19
Chillapuram,YADADRI BHUVANAGIRI,697,577143,village,65,19.66,Solapur–Chennai Economic Corridor,173.88,CHITYALA,31.78,Vishnupuram,89.53,Krishnapatnam Port,336.42,ICD Hyderabad (Sanathnagar),59.62,Petrapole ICP,1215.02,Rajiv Gandhi International Airport (HYD),50.25,MMLP Hyderabad,53.57,Vedadri Terminal,151.05,FCI Depot Hyderabad,53.57
Maliyala,YADADRI BHUVANAGIRI,697,576463,village,163,11.15,Solapur–Chennai Economic Corridor,197.21,BIBINAGAR,11.72,Uppalvai,103.81,Krishnapatnam Port,391.84,ICD Hyderabad (Sanathnagar),32.43,Sunauli ICP,1175.04,Rajiv Gandhi International Airport (HYD),50.2,MMLP Hyderabad,34.47,Vedadri Terminal,179.09,FCI Depot Hyderabad,34.47
Motakondur,YADADRI BHUVANAGIRI,697,576529,village,163,6.18,Solapur–Chennai Economic Corridor,218.03,WANGAPALLI,6.71,Vishnupuram,111.91,Krishnapatnam Port,379.57,ICD Hyderabad (Sanathnagar),60.76,Sunauli ICP,1165.52,Rajiv Gandhi International Airport (HYD),72.94,MMLP Hyderabad,60.79,Vedadri Terminal,151.28,FCI Depot Hyderabad,60.79
Timmapur,YADADRI BHUVANAGIRI,697,576754,village,202,5.44,Solapur–Chennai Economic Corridor,204.99,BHONGIR,5.42,Uppalvai,110.18,Krishnapatnam Port,386.76,ICD Hyderabad (Sanathnagar),43.13,Sunauli ICP,1171.33,Rajiv Gandhi International Airport (HYD),58.19,MMLP Hyderabad,44.09,Vedadri Terminal,168.15,FCI Depot Hyderabad,44.09
Ammanabolu,YADADRI BHUVANAGIRI,697,576544,village,163,10.51,Solapur–Chennai Economic Corridor,226.15,ALER,12.06,Vishnupuram,108.38,Krishnapatnam Port,378.35,ICD Hyderabad (Sanathnagar),70.07,Sunauli ICP,1160.7,Rajiv Gandhi International Airport (HYD),81.81,MMLP Hyderabad,70.03,Vedadri Terminal,144.11,FCI Depot Hyderabad,70.03
Vangapally,YADADRI BHUVANAGIRI,697,576525,village,163,0.34,Solapur–Chennai Economic Corridor,214.81,WANGAPALLI,1.29,Uppalvai,116.61,Krishnapatnam Port,383.2,ICD Hyderabad (Sanathnagar),55.46,Sunauli ICP,1165.93,Rajiv Gandhi International Airport (HYD),68.87,MMLP Hyderabad,55.91,Vedadri Terminal,157.29,FCI Depot Hyderabad,55.91
Ramalingampally,YADADRI BHUVANAGIRI,697,576466,village,163,12.24,Solapur–Chennai Economic Corridor,193.29,GHATKESAR,12.98,Uppalvai,101.46,Krishnapatnam Port,394.01,ICD Hyderabad (Sanathnagar),27.36,Sunauli ICP,1177.25,Rajiv Gandhi International Airport (HYD),46.56,MMLP Hyderabad,30.08,Vedadri Terminal,184.25,FCI Depot Hyderabad,30.08
Yaavapuram,YADADRI BHUVANAGIRI,697,576464,village,163,13.04,Solapur–Chennai Economic Corridor,196.48,BIBINAGAR,14.36,Uppalvai,101.18,Krishnapatnam Port,394.37,ICD Hyderabad (Sanathnagar),30.7,Sunauli ICP,1174.62,Rajiv Gandhi International Airport (HYD),49.64,MMLP Hyderabad,33.34,Vedadri Terminal,182.24,FCI Depot Hyderabad,33.34
Thumkunta,YADADRI BHUVANAGIRI,697,576457,village,163,14.3,Solapur–Chennai Economic Corridor,195.2,GHATKESAR,15.25,Uppalvai,99.58,Krishnapatnam Port,395.91,ICD Hyderabad (Sanathnagar),28.84,Sunauli ICP,1175.03,Rajiv Gandhi International Airport (HYD),48.6,MMLP Hyderabad,31.91,Vedadri Terminal,184.79,FCI Depot Hyderabad,31.91
Dilavarpuram,YADADRI BHUVANAGIRI,697,576540,village,163,4.26,Solapur–Chennai Economic Corridor,221.01,ALER,5.97,Vishnupuram,115.44,Krishnapatnam Port,383.68,ICD Hyderabad (Sanathnagar),61.91,Sunauli ICP,1161.37,Rajiv Gandhi International Airport (HYD),75.31,MMLP Hyderabad,62.43,Vedadri Terminal,153.26,FCI Depot Hyderabad,62.43
Ramajipeta,YADADRI BHUVANAGIRI,697,576526,village,163,0.55,Solapur–Chennai Economic Corridor,216.62,WANGAPALLI,1.29,Uppalvai,114.68,Krishnapatnam Port,385.55,ICD Hyderabad (Sanathnagar),56.28,Sunauli ICP,1163.5,Rajiv Gandhi International Airport (HYD),70.41,MMLP Hyderabad,57.03,Vedadri Terminal,158.36,FCI Depot Hyderabad,57.03
Rusta Puram,YADADRI BHUVANAGIRI,697,576493,village,202,9.46,Solapur–Chennai Economic Corridor,205.4,BHONGIR,9.48,Uppalvai,106.15,Krishnapatnam Port,390.64,ICD Hyderabad (Sanathnagar),41.83,Sunauli ICP,1169.31,Rajiv Gandhi International Airport (HYD),58.38,MMLP Hyderabad,43.45,Vedadri Terminal,171.8,FCI Depot Hyderabad,43.45
Mariyala,YADADRI BHUVANAGIRI,697,576462,village,163,9.4,Solapur–Chennai Economic Corridor,200.99,PAGIDIPALLI,10.02,Uppalvai,105.66,Krishnapatnam Port,390.42,ICD Hyderabad (Sanathnagar),37.13,Sunauli ICP,1172.73,Rajiv Gandhi International Airport (HYD),53.93,MMLP Hyderabad,38.78,Vedadri Terminal,174.83,FCI Depot Hyderabad,38.78
Cheekati Mamidi,YADADRI BHUVANAGIRI,697,576461,village,163,13.89,Solapur–Chennai Economic Corridor,200.09,PAGIDIPALLI,14.05,Uppalvai,101.29,Krishnapatnam Port,394.52,ICD Hyderabad (Sanathnagar),34.58,Sunauli ICP,1171.75,Rajiv Gandhi International Airport (HYD),53.14,MMLP Hyderabad,37.09,Vedadri Terminal,179.72,FCI Depot Hyderabad,37.09
Manthapur,YADADRI BHUVANAGIRI,697,576539,village,163,2.24,Solapur–Chennai Economic Corridor,223.18,ALER,3.65,Vishnupuram,116.89,Krishnapatnam Port,385.59,ICD Hyderabad (Sanathnagar),63.38,Sunauli ICP,1158.91,Rajiv Gandhi International Airport (HYD),77.28,MMLP Hyderabad,64.12,Vedadri Terminal,153.65,FCI Depot Hyderabad,64.12
Pedakandukur,YADADRI BHUVANAGIRI,697,576521,village,163,1.4,Solapur–Chennai Economic Corridor,217.89,WANGAPALLI,3.19,Uppalvai,113.16,Krishnapatnam Port,387.37,ICD Hyderabad (Sanathnagar),56.82,Sunauli ICP,1161.72,Rajiv Gandhi International Airport (HYD),71.5,MMLP Hyderabad,57.81,Vedadri Terminal,159.31,FCI Depot Hyderabad,57.81
China Kandukur,YADADRI BHUVANAGIRI,697,576527,village,163,1.84,Solapur–Chennai Economic Corridor,219.53,WANGAPALLI,4.02,Uppalvai,116.01,Krishnapatnam Port,385.32,ICD Hyderabad (Sanathnagar),59.54,Sunauli ICP,1161.57,Rajiv Gandhi International Airport (HYD),73.5,MMLP Hyderabad,60.26,Vedadri Terminal,156.0,FCI Depot Hyderabad,60.26
Masaipet,YADADRI BHUVANAGIRI,697,576520,village,163,5.19,Solapur–Chennai Economic Corridor,217.86,WANGAPALLI,6.48,Uppalvai,109.28,Krishnapatnam Port,390.92,ICD Hyderabad (Sanathnagar),55.3,Sunauli ICP,1160.06,Rajiv Gandhi International Airport (HYD),71.1,MMLP Hyderabad,56.76,Vedadri Terminal,163.02,FCI Depot Hyderabad,56.76
Madhapuram,YADADRI BHUVANAGIRI,697,576489,village,163,16.04,Solapur–Chennai Economic Corridor,203.16,PAGIDIPALLI,16.56,Uppalvai,99.02,Krishnapatnam Port,397.05,ICD Hyderabad (Sanathnagar),37.14,Sunauli ICP,1168.39,Rajiv Gandhi International Airport (HYD),56.3,MMLP Hyderabad,40.0,Vedadri Terminal,180.11,FCI Depot Hyderabad,40.0
Venkatapuram,YADADRI BHUVANAGIRI,697,576494,village,202,12.51,Solapur–Chennai Economic Corridor,209.78,RAIGIR,12.92,Uppalvai,102.87,Krishnapatnam Port,394.6,ICD Hyderabad (Sanathnagar),45.11,Sunauli ICP,1164.35,Rajiv Gandhi International Airport (HYD),62.72,MMLP Hyderabad,47.28,Vedadri Terminal,172.71,FCI Depot Hyderabad,47.28
Mallapur,YADADRI BHUVANAGIRI,697,576516,village,163,9.6,Solapur–Chennai Economic Corridor,213.28,RAIGIR,9.29,Uppalvai,106.48,Krishnapatnam Port,392.12,ICD Hyderabad (Sanathnagar),49.84,Sunauli ICP,1162.83,Rajiv Gandhi International Airport (HYD),66.32,MMLP Hyderabad,51.54,Vedadri Terminal,167.57,FCI Depot Hyderabad,51.54
Malkapuram,YADADRI BHUVANAGIRI,697,576486,village,163,16.54,Solapur–Chennai Economic Corridor,206.64,BHONGIR,16.75,Uppalvai,98.88,Krishnapatnam Port,397.7,ICD Hyderabad (Sanathnagar),40.74,Sunauli ICP,1165.46,Rajiv Gandhi International Airport (HYD),59.71,MMLP Hyderabad,43.55,Vedadri Terminal,178.25,FCI Depot Hyderabad,43.55
Nagai Palle,YADADRI BHUVANAGIRI,697,576488,village,163,19.7,Solapur–Chennai Economic Corridor,203.23,PAGIDIPALLI,20.02,Uppalvai,95.38,Krishnapatnam Port,400.53,ICD Hyderabad (Sanathnagar),36.4,Sunauli ICP,1167.02,Rajiv Gandhi International Airport (HYD),56.73,MMLP Hyderabad,39.91,Vedadri Terminal,183.75,FCI Depot Hyderabad,39.91
Timmapuru,YADADRI BHUVANAGIRI,697,576452,village,163,19.77,Solapur–Chennai Economic Corridor,201.38,PAGIDIPALLI,20.33,Uppalvai,95.03,Krishnapatnam Port,400.68,ICD Hyderabad (Sanathnagar),34.4,Sunauli ICP,1168.41,Rajiv Gandhi International Airport (HYD),55.03,MMLP Hyderabad,38.07,Vedadri Terminal,185.26,FCI Depot Hyderabad,38.07
Alair (M),YADADRI BHUVANAGIRI,697,804130,village,163,0.0,Solapur–Chennai Economic Corridor,224.41,ALER,1.39,Uppalvai,115.29,Krishnapatnam Port,387.83,ICD Hyderabad (Sanathnagar),63.74,Sunauli ICP,1156.93,Rajiv Gandhi International Airport (HYD),78.25,MMLP Hyderabad,64.73,Vedadri Terminal,155.1,FCI Depot Hyderabad,64.73
