state,district,district_code,drive_hours_to_deendayal_(kandla),drive_hours_to_mumbai,drive_hours_to_jawaharlal_nehru_(jnpt/navi_mumbai),drive_hours_to_mormugao,drive_hours_to_new_mangalore,drive_hours_to_cochin,drive_hours_to_v.o._chidambaranar_(tuticorin),drive_hours_to_chennai,drive_hours_to_kamarajar_(ennore),drive_hours_to_visakhapatnam,drive_hours_to_paradip,drive_hours_to_kolkata_(syama_prasad_mookerjee)_incl._haldia_dock_complex
Mizoram,LAWNGTLAI,287.0,50.84,52.85,51.22,55.91,56.26,59.18,61.5,50.49,50.6,37.59,32.61,25.67
Mizoram,LUNGLEI,286.0,50.27,52.27,50.65,55.34,55.69,58.61,60.93,49.92,50.03,37.02,32.04,25.1
Mizoram,MAMIT,281.0,46.13,48.14,46.51,51.2,51.55,54.48,56.79,45.78,45.9,32.88,27.91,20.96
Mizoram,SAIHA,288.0,51.33,53.33,51.71,56.4,56.75,59.67,61.98,50.97,51.09,38.07,33.1,26.16
Mizoram,SAITUAL,682.0,48.5,50.51,48.89,53.57,53.92,56.85,59.16,48.15,48.27,35.25,30.28,23.33
Mizoram,SERCHHIP,285.0,48.03,50.03,48.41,53.1,53.45,56.37,58.69,47.67,47.79,34.77,29.8,22.86
Nagaland,CHUMOUKEDIMA,711.0,45.21,47.21,45.59,50.28,50.63,53.55,55.87,44.85,44.97,31.95,26.98,20.04
Nagaland,DIMAPUR,265.0,44.08,46.09,44.46,49.15,49.5,52.43,54.74,43.73,43.84,30.83,25.86,18.91
Nagaland,KIPHIRE,269.0,48.77,50.78,49.15,53.84,54.19,57.12,59.43,48.42,48.53,35.52,30.55,23.6
Nagaland,KOHIMA,270.0,45.83,47.84,46.21,50.9,51.25,54.18,56.49,45.48,45.59,32.58,27.6,20.66
Nagaland,LONGLENG,268.0,48.83,50.83,49.21,53.9,54.25,57.17,59.49,48.47,48.59,35.57,30.6,23.66
Nagaland,MOKOKCHUNG,262.0,45.3,47.3,45.68,50.37,50.72,53.64,55.96,44.94,45.06,32.04,27.07,20.13
Nagaland,MON,261.0,49.53,51.53,49.91,54.6,54.95,57.87,60.19,49.17,49.29,36.27,31.3,24.36
Nagaland,NIULAND,709.0,45.66,47.67,46.05,50.73,51.09,54.01,56.32,45.31,45.43,32.41,27.44,20.5
Nagaland,NOKLAK,708.0,49.99,51.99,50.37,55.06,55.41,58.33,60.65,49.63,49.75,36.73,31.76,24.82
Nagaland,PEREN,271.0,45.29,47.3,45.67,50.36,50.71,53.64,55.95,44.94,45.05,32.04,27.07,20.12
Nagaland,PHEK,266.0,49.53,51.53,49.91,54.6,54.95,57.87,60.18,49.17,49.29,36.27,31.3,24.36
Nagaland,SHAMATOR,712.0,49.61,51.61,49.99,54.68,55.03,57.95,60.27,49.26,49.37,36.36,31.38,24.44
Nagaland,TSEMINYU,710.0,46.55,48.55,46.93,51.62,51.97,54.89,57.21,46.19,46.31,33.29,28.32,21.38
Nagaland,TUENSANG,267.0,50.61,52.61,50.99,55.68,56.03,58.95,61.27,50.25,50.37,37.35,32.38,25.44
Nagaland,WOKHA,264.0,47.21,49.22,47.59,52.28,52.63,55.55,57.87,46.86,46.97,33.96,28.98,22.04
Nagaland,ZUNHEBOTO,263.0,48.22,50.23,48.6,53.29,53.64,56.56,58.88,47.87,47.98,34.97,29.99,23.05
Odisha,ANUGUL,384.0,31.55,24.47,22.84,27.53,28.84,31.76,34.08,24.01,24.13,11.11,6.63,8.3
Odisha,BALANGIR,393.0,29.43,22.35,20.72,25.25,25.41,28.33,30.65,20.58,20.7,7.68,7.56,10.42
Odisha,BALASORE,377.0,33.48,27.66,26.03,30.11,27.92,30.85,33.16,22.15,22.27,9.25,6.11,3.41
Odisha,BARGARH,370.0,29.95,22.87,21.24,25.77,25.93,28.85,31.16,21.1,21.22,8.2,6.73,9.59
Odisha,BHADRAK,378.0,34.09,27.0,25.38,29.46,27.27,30.2,32.51,21.5,21.61,8.6,5.45,4.71
Odisha,BOUDH,391.0,30.44,23.35,21.73,26.25,26.41,29.34,31.65,21.59,21.7,8.69,6.06,8.92
Odisha,CUTTACK,381.0,33.23,26.15,24.53,29.02,26.83,29.75,32.07,21.06,21.17,8.16,4.76,6.85
Odisha,DEOGARH,373.0,30.0,22.92,21.29,25.98,27.54,30.62,32.94,22.87,22.99,9.97,5.08,6.75
Odisha,DHENKANAL,383.0,32.48,25.39,23.77,28.46,27.93,30.86,33.17,22.16,22.27,9.26,2.65,7.08
Odisha,GAJAPATI,389.0,35.44,25.76,23.63,24.69,22.51,25.43,27.75,16.74,16.85,3.84,10.72,11.86
Odisha,GANJAM,388.0,31.77,24.68,23.06,25.74,23.55,26.48,28.79,17.78,17.9,4.88,7.95,9.09
Odisha,JAGATSINGHPUR,380.0,34.09,27.0,25.38,28.67,26.49,29.41,31.72,20.71,20.83,7.81,5.61,6.75
Odisha,JAJAPUR,382.0,33.37,26.28,24.66,28.93,26.75,29.67,31.99,20.97,21.09,8.07,4.73,5.12
Odisha,JHARSUGUDA,371.0,29.31,22.46,20.84,25.52,27.08,32.1,34.41,24.42,24.54,11.52,6.27,7.94
Odisha,KALAHANDI,395.0,29.5,22.41,20.79,23.46,23.62,26.55,28.86,18.8,18.91,5.9,8.32,11.18
Odisha,KANDHAMAL,390.0,30.29,23.2,21.58,25.99,25.31,28.23,30.54,19.53,19.65,6.63,9.11,10.84
Odisha,KENDRAPARA,379.0,34.41,27.33,25.7,30.39,29.87,32.79,35.1,24.09,24.21,11.19,1.0,7.73
Odisha,KEONJHAR (KENDUJHAR),375.0,31.66,24.58,22.95,27.64,28.01,30.93,33.25,22.24,22.35,9.34,3.03,4.98
Odisha,KHORDHA,386.0,33.57,26.49,24.86,26.78,24.6,27.52,29.84,18.82,18.94,5.92,5.66,6.8
Odisha,KORAPUT,398.0,31.21,21.53,19.41,21.16,21.32,24.24,26.56,16.89,17.01,3.99,10.64,13.51
Odisha,MALKANGIRI,399.0,30.03,20.35,18.23,19.97,20.14,23.06,25.37,16.86,16.98,5.29,11.94,14.8
Odisha,MAYURBHANJ,376.0,33.49,26.56,24.93,29.62,30.33,33.26,35.57,24.56,24.67,11.66,5.29,4.12
Odisha,NABARANGAPUR,397.0,31.19,23.51,21.39,23.14,23.3,26.22,28.54,18.47,18.59,5.57,10.01,12.87
Odisha,NAYAGARH,385.0,32.2,25.12,23.49,28.02,26.05,28.97,31.29,20.27,20.39,7.38,6.51,7.65
Odisha,NUAPARHA,394.0,27.17,20.08,18.46,23.15,24.71,29.04,31.35,21.29,21.4,8.39,8.96,11.83
