state,district,district_code,drive_hours_to_deendayal_(kandla),drive_hours_to_mumbai,drive_hours_to_jawaharlal_nehru_(jnpt/navi_mumbai),drive_hours_to_mormugao,drive_hours_to_new_mangalore,drive_hours_to_cochin,drive_hours_to_v.o._chidambaranar_(tuticorin),drive_hours_to_chennai,drive_hours_to_kamarajar_(ennore),drive_hours_to_visakhapatnam,drive_hours_to_paradip,drive_hours_to_kolkata_(syama_prasad_mookerjee)_incl._haldia_dock_complex
Tamil Nadu,KRISHNAGIRI,631.0,29.98,18.22,15.25,10.34,6.5,6.52,8.84,6.72,6.83,16.28,26.92,28.06
Tamil Nadu,MADURAI,623.0,35.41,23.65,20.68,15.76,11.92,3.9,3.11,12.14,12.26,21.71,32.34,33.48
Tamil Nadu,MAYILADUTHURAI,696.0,35.15,23.39,20.42,15.51,11.67,14.16,16.47,8.01,8.13,18.0,28.63,29.77
Tamil Nadu,NAGAPATTINAM,618.0,36.31,24.55,21.58,16.67,12.83,15.32,17.63,9.17,9.28,19.16,29.79,30.93
Tamil Nadu,NAMAKKAL,609.0,31.98,20.22,17.25,12.33,8.49,5.39,7.15,8.71,8.83,18.28,28.92,30.05
Tamil Nadu,PERAMBALUR,615.0,34.76,23.0,20.03,15.12,11.28,13.77,16.08,7.62,7.73,17.6,28.24,29.38
Tamil Nadu,PUDUKKOTTAI,621.0,36.6,24.83,21.86,16.95,13.11,15.6,17.91,9.45,9.57,19.44,30.07,31.21
Tamil Nadu,RAMANATHAPURAM,626.0,38.63,26.87,23.9,18.98,15.14,17.63,19.95,11.48,11.6,21.47,32.11,33.25
Tamil Nadu,RANIPET,750.0,31.63,19.87,16.9,11.98,8.14,10.63,12.95,3.72,3.83,13.7,24.34,25.48
Tamil Nadu,SALEM,608.0,31.45,19.69,16.72,11.81,7.97,5.22,7.54,8.19,8.3,17.75,28.39,29.53
Tamil Nadu,SIVAGANGA,622.0,37.19,25.43,22.46,17.55,13.7,16.19,18.51,10.04,10.16,20.03,30.67,31.81
Tamil Nadu,TENKASI,764.0,38.01,26.24,23.27,18.36,14.52,6.62,2.4,14.74,14.85,24.3,34.94,36.08
Tamil Nadu,THANJAVUR,620.0,36.26,24.49,21.52,16.61,12.77,15.26,17.57,9.11,9.23,19.1,29.73,30.87
Tamil Nadu,THE NILGIRIS,611.0,34.73,22.97,20.0,15.09,11.25,4.42,7.36,11.47,11.58,21.03,31.67,32.81
Tamil Nadu,THENI,624.0,35.97,24.2,21.24,16.32,12.48,3.42,5.22,12.7,12.81,22.27,32.9,34.04
Tamil Nadu,THIRUVARUR,619.0,36.86,25.09,22.13,17.21,13.37,15.86,18.17,9.71,9.83,19.7,30.34,31.48
Tamil Nadu,THOOTHUKUDI,627.0,38.49,26.73,23.76,18.85,15.0,7.1,0.62,15.22,15.34,24.79,35.43,36.57
Tamil Nadu,TIRUCHIRAPPALLI,614.0,35.54,23.78,20.81,15.9,12.05,14.54,16.86,8.39,8.51,18.38,29.02,30.16
Tamil Nadu,TIRUNELVELI,628.0,38.39,26.63,23.66,18.75,14.91,7.0,1.71,15.13,15.24,24.69,35.33,36.47
Tamil Nadu,TIRUPATHUR,751.0,32.48,20.72,17.75,12.84,8.99,9.57,11.89,5.33,5.44,15.31,25.95,27.09
Tamil Nadu,TIRUPPUR,633.0,33.61,21.85,18.88,13.97,10.13,3.93,5.0,10.34,10.46,19.91,30.55,31.69
Tamil Nadu,TIRUVALLUR,602.0,32.95,21.43,18.46,13.54,9.8,12.29,14.6,0.73,0.85,13.16,23.8,24.94
Tamil Nadu,TIRUVANNAMALAI,606.0,32.47,20.71,17.74,12.82,8.98,11.47,13.79,5.32,5.44,15.31,25.95,27.09
Tamil Nadu,VELLORE,605.0,31.59,19.82,16.86,11.94,8.1,9.94,12.25,4.43,4.55,14.42,25.06,26.2
Tamil Nadu,VILUPPURAM,607.0,34.81,23.05,20.08,15.17,11.33,13.82,16.13,7.67,7.78,17.66,28.29,29.43
Tamil Nadu,VIRUDHUNAGAR,625.0,36.39,24.63,21.66,16.75,12.91,5.0,2.44,13.13,13.24,22.69,33.33,34.47
Telangana,ADILABAD,532.0,22.65,12.97,10.85,14.71,16.27,20.63,22.95,14.57,14.69,14.1,17.11,18.78
Telangana,BHADRADRI KOTHAGUDEM,739.0,27.24,17.55,15.43,17.18,17.34,20.27,22.58,14.06,14.18,8.41,15.06,17.92
Telangana,HANUMAKONDA,731.0,24.64,14.96,12.84,14.81,15.5,18.42,20.74,12.36,12.48,10.35,17.33,20.2
Telangana,HYDERABAD,536.0,24.56,14.53,11.56,12.72,13.47,16.39,18.71,10.33,10.45,10.38,18.66,21.52
Telangana,JAGTIAL,714.0,22.67,12.99,10.87,14.03,15.59,19.95,22.26,13.89,14.0,11.77,18.76,20.57
Telangana,JANGAON,737.0,25.01,15.33,12.94,14.1,14.79,17.71,20.03,11.65,11.77,10.72,17.7,20.56
Telangana,JAYASHANKAR BHUPALPALLI,736.0,25.3,15.62,13.5,16.66,18.21,22.58,24.89,16.51,16.63,14.4,17.97,19.64
Telangana,JOGULAMBA GADWAL,744.0,26.04,15.72,12.75,12.95,10.76,13.68,16.0,9.09,9.2,12.9,21.67,24.53
Telangana,KAMAREDDY,719.0,22.44,12.76,9.87,12.76,14.32,19.59,21.9,14.86,14.97,15.55,20.97,22.64
Telangana,KARIMNAGAR,534.0,23.65,13.96,11.84,14.92,16.29,19.21,21.53,13.15,13.26,10.9,17.88,20.75
Telangana,KHAMMAM,541.0,29.29,19.61,16.78,17.94,18.03,20.95,23.27,14.75,14.87,7.72,18.36,19.5
Telangana,KUMURAM BHEEM,705.0,24.56,15.35,13.23,17.09,18.65,23.01,25.33,16.95,17.06,16.48,16.71,18.38
Telangana,MAHABUBABAD,738.0,25.7,16.02,13.89,16.1,16.29,19.21,21.53,13.01,13.13,9.34,15.99,18.85
Telangana,MAHBUBNAGAR,538.0,24.19,13.87,10.9,12.06,11.88,14.8,17.12,10.07,10.19,11.5,20.27,23.13
Telangana,MANCHERIAL,697.0,25.07,15.85,13.73,17.6,19.16,23.52,25.83,17.46,17.57,16.99,17.22,18.89
Telangana,MEDAK,535.0,23.19,13.51,10.62,12.24,13.8,18.9,21.22,14.17,14.29,15.3,21.72,23.39
Telangana,MEDCHAL-MALKAJGIRI,749.0,24.35,14.67,11.88,13.04,13.83,16.75,19.06,10.68,10.8,10.74,19.01,21.88
Telangana,MULUGU,762.0,25.88,16.2,14.08,16.29,16.98,19.9,22.22,13.84,13.95,11.01,17.66,20.52
Telangana,NAGARKURNOOL,743.0,25.63,15.32,12.35,13.51,12.87,15.8,18.11,8.62,8.74,10.05,19.8,21.83
Telangana,NALGONDA,539.0,26.76,16.45,13.48,14.64,14.0,16.93,19.24,10.73,10.84,9.62,17.98,20.84
Telangana,NARAYANPET,763.0,24.75,13.61,10.64,11.51,12.33,15.26,17.57,10.66,10.78,16.14,25.39,27.06
Telangana,NIRMAL,700.0,21.54,11.85,9.73,13.55,15.11,19.47,21.79,13.41,13.53,12.94,17.76,19.44
Telangana,NIZAMABAD,533.0,22.09,12.4,9.94,12.83,14.39,19.14,21.46,13.08,13.19,12.95,18.54,20.21
Telangana,PEDDAPALLI,715.0,24.45,14.77,12.65,15.81,17.37,21.73,24.05,15.67,15.78,13.55,18.5,20.17
Telangana,RAJANNA SIRCILLA,717.0,26.81,17.12,14.5,15.66,16.35,19.28,21.59,13.21,13.33,12.51,19.49,22.36
Telangana,RANGA REDDY,537.0,25.27,15.24,12.27,13.44,13.22,16.14,18.46,10.08,10.19,11.03,19.31,22.18
Telangana,SANGAREDDY,740.0,22.92,13.24,10.35,12.99,14.55,19.65,21.97,14.92,15.04,16.03,21.44,23.11
Telangana,SIDDIPET,741.0,25.84,16.16,13.54,14.7,15.39,18.31,20.62,12.25,12.36,11.54,18.53,21.39
Telangana,SURYAPET,745.0,26.45,16.71,13.74,14.91,14.99,17.91,20.23,11.71,11.83,8.16,17.15,19.94
Telangana,VIKARABAD,747.0,23.71,13.4,10.43,11.59,13.08,16.0,18.31,11.27,11.38,12.02,20.3,23.16
Telangana,WANAPARTHY,742.0,25.37,15.06,12.09,13.03,10.84,13.77,16.08,9.17,9.29,12.23,21.01,23.87
Telangana,WARANGAL,540.0,25.53,15.85,13.73,15.94,16.62,19.55,21.86,13.48,13.6,9.99,16.64,19.51
Telangana,YADADRI BHUVANAGIRI,746.0,26.21,16.53,14.33,15.49,15.65,18.57,20.89,12.37,12.49,9.73,17.27,20.14
Tripura,DHALAI,291.0,46.4,48.41,46.78,51.47,51.82,54.74,57.06,46.05,46.16,33.15,28.17,21.23
Tripura,GOMTI,725.0,48.57,50.58,48.95,53.64,53.99,56.91,59.23,48.22,48.33,35.32,30.34,23.4
Tripura,KHOWAI,698.0,46.87,48.88,47.25,51.94,52.29,55.21,57.53,46.52,46.63,33.62,28.64,21.7
Tripura,NORTH TRIPURA,292.0,46.66,48.66,47.04,51.73,52.08,55.0,57.32,46.3,46.42,33.4,28.43,21.49
Tripura,SEPAHIJALA,699.0,48.0,50.0,48.38,53.07,53.42,56.34,58.66,47.64,47.76,34.74,29.77,22.83
Tripura,SOUTH TRIPURA,290.0,48.73,50.74,49.12,53.8,54.15,57.08,59.39,48.38,48.5,35.48,30.51,23.56
Tripura,UNAKOTI,706.0,45.55,47.56,45.93,50.62,50.97,53.9,56.21,45.2,45.32,32.3,27.33,20.38
Tripura,WEST TRIPURA,289.0,47.49,49.5,47.87,52.56,52.91,55.83,58.15,47.14,47.25,34.24,29.26,22.32
Uttar Pradesh,AGRA,146.0,17.11,22.33,21.52,27.27,28.83,35.0,37.31,28.94,29.05,23.43,21.76,20.32
Uttar Pradesh,ALIGARH,143.0,17.99,23.21,23.67,29.42,30.98,37.15,39.46,31.09,31.2,25.58,22.52,21.08
Uttar Pradesh,AMBEDKAR NAGAR,178.0,23.19,26.5,24.88,29.57,31.13,36.14,38.46,30.08,30.19,22.29,16.13,14.69
Uttar Pradesh,AMETHI,661.0,21.39,24.79,23.17,27.86,29.42,34.43,36.75,28.37,28.48,22.54,16.37,14.94
Uttar Pradesh,AMROHA,137.0,18.57,23.79,24.61,31.93,33.49,39.66,41.97,33.59,33.71,28.09,23.55,22.11
Uttar Pradesh,AURAIYA,162.0,19.33,23.77,22.89,28.65,30.2,35.67,37.98,29.6,29.72,23.96,20.5,19.06
Uttar Pradesh,AYODHYA,177.0,21.94,25.67,24.05,28.73,30.29,35.31,37.62,29.24,29.36,23.1,16.94,15.51
Uttar Pradesh,AZAMGARH,191.0,24.01,25.24,23.62,28.31,29.86,34.88,37.19,28.81,28.93,20.91,14.75,13.31
Uttar Pradesh,BAGHPAT,139.0,17.09,22.31,23.13,32.07,33.62,39.79,42.1,33.73,33.84,28.22,25.16,23.73
Uttar Pradesh,BAHRAICH,180.0,24.54,28.46,26.84,31.52,33.08,38.1,40.41,32.03,32.15,25.36,19.2,17.76
Uttar Pradesh,BALLIA,193.0,25.78,26.97,25.34,30.03,31.59,36.6,38.92,30.54,30.66,19.33,13.16,11.73
Uttar Pradesh,BALRAMPUR,182.0,23.74,27.65,26.03,30.72,32.28,37.29,39.61,31.23,31.34,24.0,17.84,16.4
Uttar Pradesh,BANDA,170.0,19.35,22.23,20.6,26.1,27.65,32.67,34.98,26.6,26.72,20.97,17.37,15.93
Uttar Pradesh,BARA BANKI,176.0,20.86,24.95,24.18,29.5,31.05,36.07,38.38,30.0,30.12,24.1,17.94,16.5
Uttar Pradesh,BAREILLY,150.0,20.37,25.58,25.03,30.78,32.34,38.08,40.39,32.01,32.13,26.51,21.37,19.93
Uttar Pradesh,BASTI,185.0,22.71,26.63,25.0,29.69,31.25,36.26,38.58,30.2,30.32,22.74,16.58,15.14
Uttar Pradesh,BHADOHI,198.0,23.01,23.87,22.24,26.93,28.49,33.51,35.82,27.44,27.56,21.58,15.42,13.99
Uttar Pradesh,BIJNOR,134.0,21.05,26.26,27.09,33.16,34.72,40.81,43.13,34.75,34.86,29.11,24.21,22.77
Uttar Pradesh,BUDAUN,149.0,18.85,24.07,24.54,30.29,31.85,38.01,40.33,31.95,32.07,26.45,23.39,21.95
Uttar Pradesh,BULANDSHAHR,142.0,18.52,23.74,24.56,30.81,32.37,38.54,40.85,32.48,32.59,26.97,23.91,22.47
Uttar Pradesh,CHANDAULI,196.0,25.06,26.25,24.62,29.31,30.87,35.89,38.2,29.82,29.94,19.12,12.96,11.52
Uttar Pradesh,CHITRAKOOT,171.0,20.02,22.9,21.28,26.53,28.09,33.11,35.42,27.04,27.16,21.4,16.09,14.65
Uttar Pradesh,DEORIA,190.0,24.7,27.68,26.05,30.74,32.3,37.31,39.63,31.25,31.37,20.63,14.47,13.03
Uttar Pradesh,ETAH,201.0,17.7,22.92,23.38,29.13,30.69,36.69,39.01,30.63,30.75,24.99,22.01,20.57
Uttar Pradesh,ETAWAH,161.0,18.39,22.73,21.86,27.61,29.17,34.9,37.22,28.84,28.96,23.34,19.29,17.85
Uttar Pradesh,FARRUKHABAD,159.0,19.69,24.14,23.26,29.01,30.57,36.31,38.62,30.24,30.36,24.74,20.87,19.43
Uttar Pradesh,FATEHPUR,172.0,20.19,24.22,22.6,27.29,28.84,33.86,36.17,27.8,27.91,22.16,16.04,14.61
Uttar Pradesh,FIROZABAD,147.0,17.17,22.38,22.85,28.6,30.16,35.93,38.25,29.87,29.98,24.37,20.49,19.06
Uttar Pradesh,GAUTAM BUDDHA NAGAR,141.0,18.21,23.43,24.25,31.19,32.75,38.92,41.23,32.85,32.97,27.35,24.29,22.85
Uttar Pradesh,GHAZIABAD,140.0,17.49,22.71,23.53,31.46,33.02,39.19,41.5,33.12,33.24,27.62,24.56,23.12
Uttar Pradesh,GHAZIPUR,195.0,24.58,25.81,24.18,28.87,30.43,35.44,37.76,29.38,29.5,19.41,13.25,11.81
Uttar Pradesh,GONDA,183.0,22.83,26.74,25.12,29.81,31.37,36.38,38.7,30.32,30.44,23.74,17.58,16.15
Uttar Pradesh,GORAKHPUR,188.0,23.85,26.66,25.04,29.72,31.28,36.3,38.61,30.23,30.35,21.12,14.96,13.52
Uttar Pradesh,HAMIRPUR,168.0,19.49,22.37,20.75,26.24,27.8,32.82,35.13,26.75,26.87,21.11,19.05,17.61
Uttar Pradesh,HAPUR,665.0,18.01,23.23,24.05,31.19,32.75,38.92,41.23,32.85,32.97,27.35,23.91,22.47
Uttar Pradesh,HARDOI,155.0,20.35,24.69,23.07,28.56,30.12,35.13,37.45,29.07,29.19,23.43,19.12,17.68
Uttar Pradesh,HATHRAS,144.0,17.46,22.68,23.13,28.88,30.44,36.61,38.92,30.54,30.66,25.04,22.0,20.56
Uttar Pradesh,JALAUN,165.0,17.62,21.71,21.33,27.08,28.64,33.69,36.01,27.63,27.74,21.99,19.29,17.86
Uttar Pradesh,JAUNPUR,194.0,23.55,24.78,23.16,27.84,29.4,34.42,36.73,28.35,28.47,21.08,14.92,13.48
Uttar Pradesh,JHANSI,166.0,15.97,20.06,19.68,25.43,26.99,32.04,34.35,25.98,26.09,20.34,19.67,18.98
Uttar Pradesh,KANNAUJ,160.0,19.59,24.03,22.96,28.45,30.01,35.02,37.34,28.96,29.08,23.32,20.34,18.9
Uttar Pradesh,KANPUR DEHAT,163.0,18.73,22.82,22.44,28.19,29.75,34.8,37.12,28.74,28.85,23.1,18.18,16.74
Uttar Pradesh,KANPUR NAGAR,164.0,18.71,22.8,22.42,28.17,29.73,34.78,37.09,28.72,28.83,23.08,17.32,15.88
Uttar Pradesh,KASGANJ,202.0,18.5,23.72,24.19,29.94,31.5,37.67,39.98,31.6,31.72,26.1,23.04,21.6
Uttar Pradesh,KAUSHAMBI,174.0,20.72,23.6,21.98,27.47,29.03,34.05,36.36,27.98,28.1,22.34,17.36,15.92
Uttar Pradesh,KHERI,153.0,23.26,27.6,25.97,31.47,33.03,38.04,40.36,31.98,32.09,26.34,21.49,20.05
Uttar Pradesh,KUSHINAGAR,189.0,24.64,28.13,26.5,31.19,32.75,37.76,40.08,31.7,31.82,21.73,15.57,13.84
Uttar Pradesh,LALITPUR,167.0,17.11,19.77,18.15,23.9,25.46,30.54,32.86,24.48,24.6,20.52,19.86,20.74
Uttar Pradesh,LUCKNOW,157.0,20.03,24.12,23.36,28.85,30.41,35.42,37.74,29.36,29.48,23.72,17.59,16.15
Uttar Pradesh,MAHOBA,169.0,17.86,21.38,19.76,25.25,26.81,31.83,34.14,25.76,25.88,20.12,18.49,17.05
Uttar Pradesh,MAHRAJGANJ,187.0,24.72,27.96,26.34,31.03,32.58,37.6,39.91,31.53,31.65,22.42,16.26,14.72
Uttar Pradesh,MAINPURI,148.0,18.81,24.03,24.03,29.52,31.08,36.09,38.41,30.03,30.15,24.39,21.41,19.97
Uttar Pradesh,MATHURA,145.0,17.41,22.63,22.51,28.26,29.82,35.99,38.3,29.92,30.04,24.42,22.05,20.61
Uttar Pradesh,MAU,192.0,26.51,27.7,26.08,30.77,32.32,37.34,39.65,31.27,31.39,20.06,13.9,12.46
Uttar Pradesh,MEERUT,138.0,17.56,22.78,23.6,31.65,33.21,39.38,41.69,33.31,33.43,27.81,24.25,22.81
Uttar Pradesh,MIRZAPUR,199.0,23.32,23.51,21.88,26.57,28.13,33.15,35.46,27.08,27.2,21.44,16.36,14.92
Uttar Pradesh,MORADABAD,135.0,19.45,24.66,25.49,31.56,33.12,39.29,41.6,33.22,33.34,27.72,22.61,21.17
Uttar Pradesh,MUZAFFARNAGAR,133.0,18.13,23.35,24.17,32.42,33.98,40.14,42.46,34.08,34.19,28.57,25.01,23.58
Uttar Pradesh,PILIBHIT,151.0,23.17,27.39,26.21,31.7,33.26,38.27,40.59,32.21,32.33,26.57,20.79,19.35
Uttar Pradesh,PRATAPGARH,173.0,22.15,23.76,22.14,26.82,28.38,33.4,35.71,27.33,27.45,21.5,15.34,13.9
Uttar Pradesh,PRAYAGRAJ,175.0,21.66,22.85,21.23,25.92,27.48,32.49,34.81,26.43,26.54,20.79,15.01,13.57
Uttar Pradesh,RAE BARELI,158.0,21.03,24.87,23.24,27.93,29.49,34.5,36.82,28.44,28.56,22.61,16.45,15.01
Uttar Pradesh,RAMPUR,136.0,19.93,25.15,25.97,32.04,33.6,39.38,41.69,33.31,33.43,27.8,22.67,21.23
Uttar Pradesh,SAHARANPUR,132.0,17.54,23.67,24.49,33.43,34.99,41.16,43.47,35.1,35.21,29.59,26.53,25.09
Uttar Pradesh,SAMBHAL,663.0,19.18,24.4,24.85,30.61,32.16,38.33,40.65,32.27,32.38,26.76,23.53,22.09
Uttar Pradesh,SANT KABIR NAGAR,186.0,23.87,26.76,25.14,29.83,31.39,36.4,38.72,30.34,30.45,21.83,15.67,14.23
Uttar Pradesh,SHAHJAHANPUR,152.0,20.92,25.36,24.49,30.24,31.8,37.53,39.85,31.47,31.59,25.97,20.42,18.99
Uttar Pradesh,SHAMLI,662.0,16.86,23.07,23.89,34.04,35.59,42.69,45.01,36.63,36.74,32.88,29.82,28.38
Uttar Pradesh,SHRAWASTI,181.0,24.21,28.13,26.51,31.2,32.75,37.77,40.08,31.7,31.82,25.01,18.85,17.41
Uttar Pradesh,SIDDHARTHNAGAR,184.0,23.84,27.76,26.13,30.82,32.38,37.4,39.71,31.33,31.45,23.0,16.84,15.4
Uttar Pradesh,SITAPUR,154.0,21.32,25.4,24.64,30.13,31.69,36.71,39.02,30.64,30.76,24.96,18.8,17.36
Uttar Pradesh,SONBHADRA,200.0,28.73,29.92,28.3,32.98,34.54,39.17,41.49,30.54,30.66,17.64,11.48,10.04
Uttar Pradesh,SULTANPUR,179.0,22.95,26.26,24.64,29.33,30.88,35.9,38.21,29.84,29.95,22.56,16.4,14.96
Uttar Pradesh,UNNAO,156.0,19.46,23.55,22.79,28.28,29.84,34.85,37.17,28.79,28.91,23.15,17.71,16.27
Uttar Pradesh,VARANASI,197.0,23.92,25.15,23.52,28.21,29.77,34.79,37.1,28.72,28.84,20.39,14.23,12.79
Uttarakhand,ALMORA,64.0,22.36,28.77,29.59,36.59,38.15,43.16,45.48,37.1,37.22,31.46,26.96,25.52
Uttarakhand,BAGESHWAR,63.0,22.47,28.88,29.7,35.26,36.82,41.84,44.15,35.77,35.89,30.13,25.63,24.2
Uttarakhand,CHAMOLI,57.0,21.83,28.24,29.06,37.45,39.01,44.12,46.44,38.06,38.18,32.42,27.92,26.48
Uttarakhand,CHAMPAWAT,65.0,22.26,27.48,26.92,32.42,33.98,38.99,41.31,32.93,33.04,27.29,22.79,21.35
Uttarakhand,DEHRAD@N,60.0,17.51,24.89,25.71,34.64,36.2,42.37,44.68,36.3,36.42,30.8,27.39,25.96
Uttarakhand,HARIDWAR,68.0,18.31,24.22,25.05,33.36,34.92,41.09,43.4,35.02,35.14,29.52,25.96,24.52
Uttarakhand,NAINITAL,66.0,24.05,30.46,31.28,36.86,38.41,43.43,45.74,37.37,37.48,31.73,27.23,25.79
Uttarakhand,PAURI GARHWAL,61.0,24.23,29.45,30.27,36.34,37.9,44.0,46.31,37.93,38.05,32.29,27.39,25.95
Uttarakhand,PITHORAGARH,62.0,24.43,30.43,29.87,35.37,36.93,41.94,44.25,35.88,35.99,30.24,25.74,24.3
Uttarakhand,RUDRAPRAYAG,58.0,20.68,27.09,27.91,36.3,37.86,43.89,46.2,37.82,37.94,32.19,27.69,26.25
Uttarakhand,TEHRI GARHWAL,59.0,19.41,25.95,26.77,35.16,36.72,42.88,45.2,36.82,36.94,31.32,27.76,26.32
Uttarakhand,UDHAM SINGH NAGAR,67.0,20.34,25.56,26.38,32.42,33.98,39.12,41.44,33.06,33.17,27.42,22.92,21.48
Uttarakhand,UTTARKASHI,56.0,20.48,27.66,28.48,36.87,38.43,44.6,46.91,38.53,38.65,33.03,29.47,28.03
West Bengal,ALIPUR DUAR,675.0,35.0,37.36,35.74,40.43,40.78,43.7,46.02,35.01,35.12,22.11,17.13,10.19
West Bengal,BANKURA,339.0,32.9,28.81,27.18,31.87,30.91,33.84,36.15,25.14,25.25,12.24,7.54,2.9
West Bengal,BIRBH@M,334.0,34.39,30.85,29.23,33.92,33.24,36.16,38.48,27.46,27.58,14.56,9.59,3.25
West Bengal,DAKSHIN DINAJPUR,331.0,33.85,33.9,32.28,36.96,36.28,39.21,41.52,30.51,30.62,17.61,12.64,5.69
West Bengal,DARJILING,327.0,33.07,35.86,34.24,38.93,40.04,42.97,45.28,34.27,34.38,21.37,16.39,9.45
West Bengal,HAORA,341.0,34.02,28.66,27.04,31.73,30.67,33.6,35.91,24.9,25.02,12.0,7.4,0.64
West Bengal,HUGLI,338.0,35.54,30.21,28.59,33.27,32.22,35.14,37.46,26.45,26.56,13.55,8.95,1.31
West Bengal,JALPAIGURI,328.0,34.54,36.27,34.65,39.34,39.69,42.61,44.92,33.91,34.03,21.01,16.04,9.1
West Bengal,JHARGRAM,727.0,32.41,27.05,25.42,30.11,29.76,32.68,34.99,23.98,24.1,11.08,5.78,2.22
West Bengal,KALIMPONG,716.0,35.5,38.29,36.66,41.35,42.47,45.39,47.71,36.7,36.81,23.8,18.82,11.88
West Bengal,KOCH BIHAR,329.0,35.42,37.43,35.8,40.49,40.84,43.77,46.08,35.07,35.18,22.17,17.2,10.25
West Bengal,KOLKATA,342.0,34.67,29.31,27.69,32.37,31.32,34.24,36.56,25.55,25.66,12.65,8.04,0.1
West Bengal,MALDAH,332.0,33.35,33.13,31.5,36.19,35.51,38.43,40.75,29.74,29.85,16.84,11.86,4.92
West Bengal,MURSHIDABAD,333.0,39.0,33.64,32.02,36.71,35.65,38.58,40.89,29.88,30.0,16.98,12.38,4.75
West Bengal,NADIA,336.0,36.76,31.4,29.78,34.46,33.41,36.33,38.65,27.64,27.75,14.74,10.14,2.5
West Bengal,NORTH TWENTY-FOUR PARGANAS,337.0,35.38,30.02,28.39,33.08,32.03,34.95,37.27,26.25,26.37,13.35,8.75,1.12
West Bengal,PASCHIM BARDDHAMAN,728.0,33.34,29.71,28.09,32.78,32.1,35.02,37.33,26.32,26.44,13.42,8.45,2.93
West Bengal,PASCHIM MEDINIPUR,344.0,33.11,27.75,26.13,30.82,29.76,32.68,35.0,23.99,24.1,11.09,6.49,1.62
West Bengal,PURBA BARDDHAMAN,335.0,34.81,30.75,29.12,33.81,32.76,35.68,38.0,26.98,27.1,14.08,9.48,1.85
West Bengal,PURBA MEDINIPUR,345.0,34.6,29.25,27.62,32.31,31.26,34.18,36.5,25.48,25.6,12.58,7.98,2.13
West Bengal,PURULIYA,340.0,31.07,27.45,25.82,30.51,31.22,34.15,36.46,25.45,25.57,12.55,6.18,4.73
West Bengal,SOUTH 24PARGANAS,343.0,36.5,31.14,29.52,34.21,33.15,36.08,38.39,27.38,27.5,14.48,9.88,1.94
West Bengal,UTTAR DINAJPUR,330.0,32.15,33.88,32.25,36.94,36.99,39.91,42.23,31.21,31.33,18.31,13.34,6.4
