census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
20,Jammu And Kashmir,Reasi,314667,166461,148206,150542,144767,96147,4009,24066,14064,4733,203967,70767,39743
21,Jammu And Kashmir,Jammu,1529958,813821,716137,1137135,508622,68613,36873,261852,159257,146501,816827,435895,275585
22,Jammu And Kashmir,Samba,318898,169124,149774,228139,92526,16894,6105,61407,30503,14055,177277,88246,53022
23,Himachal Pradesh,Chamba,519080,261320,257760,323842,294035,196665,9193,64515,40440,15506,306555,130606,81566
24,Himachal Pradesh,Kangra,1510075,750591,759484,1152640,675170,303007,54849,284124,192936,91236,766581,419172,319420
25,Himachal Pradesh,Lahul AND Spiti,31564,16588,14976,21845,19295,11227,572,3934,3557,2378,15928,9181,6200
26,Himachal Pradesh,Kullu,437903,225452,212451,307672,269084,197141,12372,58122,39081,23168,244727,120510,72282
27,Himachal Pradesh,Mandi,999777,498065,501712,723747,572671,387944,15822,180188,128549,54139,524285,279321,194661
28,Himachal Pradesh,Hamirpur,454768,217070,237698,358091,241931,147103,8824,91184,64363,35620,224044,123941,106641
29,Himachal Pradesh,Una,521173,263692,257481,399715,215346,84800,19604,105204,60626,32120,273223,142351,105358
30,Himachal Pradesh,Bilaspur,381956,192764,189192,287620,205871,127169,4138,64730,45695,25474,193671,107367,80497
31,Himachal Pradesh,Solan,580320,308754,271566,428578,298737,141267,10283,95232,59363,36803,321533,167168,90808
32,Himachal Pradesh,Sirmaur,529855,276289,253566,362645,280083,182958,10730,67080,38282,23352,310244,136839,82471
33,Himachal Pradesh,Shimla,814010,425039,388971,612642,430926,249786,26114,141490,95341,80414,425721,241956,145577
34,Himachal Pradesh,Kinnaur,84121,46249,37872,60699,56273,32995,2537,11140,7871,5118,42360,26599,15075
35,Punjab,Gurdaspur,2298323,1212617,1085706,1634719,757138,147912,100684,372317,243539,104345,1261421,611353,423301
36,Punjab,Kapurthala,815168,426311,388857,576567,284165,55252,42387,128828,77442,48221,433331,222324,157833
37,Punjab,Jalandhar,2193590,1145211,1048379,1622537,774472,85695,66664,339758,216646,162965,1159156,616431,416449
38,Punjab,Hoshiarpur,1586625,809057,777568,1199699,499822,89772,74362,301435,176013,93618,831741,422782,330671
