name,code,zone,state,address,longitude,latitude
MANZURGARHI,MZGI,NCR,Uttar Pradesh,"Aligarh, Uttar Pradesh",78.10663,27.964290000000002
SIURI,SURI,ER,West Bengal,"Siuri, West Bengal",87.5327,23.890185
MATHELA,MTA,WCR,Madhya Pradesh,"East Nimar, Madhya Pradesh",76.38997105099999,21.8802561555
NAMLI,NLI,WR,Madhya Pradesh,"Namli, Madhya Pradesh",75.067161,23.455521
NIMBAHERA,NBH,WR,Rajasthan,"Nimbahera, Rajasthan",74.694312,24.623252
NONERA,NNE,NCR,Madhya Pradesh,"National Highway 92, Madhya Pradesh",78.333363,26.437569
NAGERCOIL JN,NCJ,SR,Tamil Nadu,"Nagercoil, Tamil Nadu",77.44347,8.17385
NIMBHORA,NB,CR,Maharashtra,"Jalgaon, Maharashtra",75.975186,21.160781
NIVARI,NEW,NCR,Uttar Pradesh,"Jhansi, Uttar Pradesh",78.82007,25.328061
RAMESHWAR NAGAR,RSWN,,,,84.520106,26.980403000000003
NAGAVANGALA,NVF,SWR,Karnataka,"Melanahalli Rd, Karnataka",75.98716300000001,13.661093
MEZENGA S,MZA,NFR,Assam,"Nazira Ali, Assam",94.679344,26.884475000000002
Nawalgarh,NWH,NWR,Rajasthan,"Jhunjhunu, Rajasthan",75.24608317762613,27.844017432134876
NAHARKATIYA,NHK,NFR,Assam,"Naharkatiya, Assam",95.32977500000001,27.289403
Nadwan,NDW,ECR,Bihar,"National Highway 83, Bihar",85.0656737195,25.3966869286
Manuguru,MUGR,SCR,Andhra Pradesh,"Telangana Region, Andhra Pradesh",80.799034,17.925272
NANDANI LAGUNIA,NNNL,ECR,Bihar,"Mahnar Bhartendunagar Rd, Bihar",85.6313754486,25.6254080511
MUTTARASANALLUR,MTNL,SR,Tamil Nadu,"Nagappattinam - Gundlupet Road(Vandikara Street), Tamil Nadu",78.648401,10.865860000000001
NARAINA,NRI,NWR,Rajasthan,"Ajmer, Rajasthan",75.193029,26.796463999999997
NIDI,NIDI,CR,Maharashtra,"Roha, Maharashtra",73.106567,18.472247
NIGATPUR,NTU,NER,Uttar Pradesh,"Mirzapur, Uttar Pradesh",82.758511,25.251216000000003
NIVASAR,NIV,KR,Maharashtra,"Ratnagiri, Maharashtra",73.454552,16.946588000000002
PADUBIDRI,PDD,KR,Karnataka,"Muloor, Karnataka",74.76816500000001,13.197027
NARASAMBUDHI,NBU,SWR,Karnataka,"Nanjangud Taluk, Karnataka",76.70180500000001,12.104692
NAGARGALI,NAG,SWR,Karnataka,"State Highway 34, Karnataka",74.6213530695,15.424554374700001
Nauganwan,NGW,WR,Madhya Pradesh,"Ratlam, Madhya Pradesh",75.1892654,23.414388
Naugarh,NUH,NER,Uttar Pradesh,"Naugarh, Uttar Pradesh",83.08829899999999,27.275029999999997
Padapahar Junction,PDPH,SER,Jharkhand,"National Highway 215, Jharkhand",85.545961,22.156554999999997
Nizampur,NIP,NWR,Rajasthan,"Nizampur, Rajasthan",76.0107869,27.9667684942
PAPATAPALLI,PPY,SCR,Andhra Pradesh,"GUDURU PADU, Andhra Pradesh",80.175744,17.373688
PANCH RUKHI,PHRH,NR,Himachal Pradesh,"National Highway 20, Himachal Pradesh",76.564492,32.056252
RAMPURA PHUL,PUL,NR,Punjab,"Rampura Phul, Punjab",75.23737999999999,30.269357000000003
