station_name,station_code,zone,division,state,address,latitude,longitude
MUMBAI MAHIM JN,MM,WR,,Maharashtra,"Mumbai, Maharashtra",19.040547,72.84687600000001
Manipur Bagan,MOAR,,,Assam,"Bairabi Rd, Assam",24.400845,92.54072
MANJESHWAR,MJS,SR,PGT,Kerala,"NH 17, Kerala",12.724197,74.887582
Morgram,MGAE,ER,HWH,West Bengal,"Murshidabad Distt., West Bengal",24.304919,88.018413
MYSORE NEW GOOD,MNGT,SWR,,Karnataka,"Mysore, Karnataka",12.338553999999998,76.642542
Manheru,MHU,NWR,BKN,Haryana,"Bhiwani, Haryana",28.701227,76.203117
Makum Junction,MJN,NFR,TSK,Assam,"Makum, Assam",27.485742,95.440958
Light House,MLHS,SR,,Tamil Nadu,"Chennai, Tamil Nadu",13.044645999999998,80.276539
Muragacha,MGM,ER,SDAH,West Bengal,"Nadia, West Bengal",23.529636,88.421243
Mandaveli,MNDY,SR,,Tamil Nadu,"Chennai, Tamil Nadu",13.027861,80.260507
Mohadi Pragane Laling,MHAD,CR,,Maharashtra,"Dhule, Maharashtra",20.863002,74.77978399999999
Mighauna,MIW,NER,,Uttar Pradesh,"Mighauna, Uttar Pradesh",28.24322,79.826515
Molisar,MIO,NWR,BKN,Rajasthan,"Churu, Rajasthan",28.13104,74.739025
Mahudha,MHUA,WR,,Gujarat,"Madhuda, Gujarat",22.817129,72.946947
Mulewal Khaihra,MLKH,NR,,Punjab,"Neewa Meianwal, Punjab",31.102966,75.29969399999999
Manamadurai East,MNME,SR,,Tamil Nadu,"Manamadurai, Tamil Nadu",9.697777,78.45434999999999
Monacherra,MNCR,,,,,24.611951,92.550058
Manjhagarh,MJV,NER,BSB,Bihar,"National Highway 28, Bihar",26.417226,84.504257
MOTICHUR,MOTC,NR,MB,Uttarakhand,"Haridwar, Uttarakhand",29.981150000000003,78.177678
MALIYA HATINA,MLHA,WR,BHAVNAGAR,Gujarat,"Malia, Gujarat",21.15957,70.29970100000001
MODNIMB,MLB,CR,SUR,Maharashtra,"Shetfal, Maharashtra",17.9165477096,75.4055439008
MINCHNAL,MNL,SWR,UBL,Karnataka,"Bijapur, Karnataka",16.971395,75.822432
MALAKHERA,MKH,NWR,JAIPUR,Rajasthan,"Mala Khera, Rajasthan",27.390236,76.618982
MALHARGARH,MLG,WR,RATLAM,Madhya Pradesh,"Malhargarh, Madhya Pradesh",24.265618,74.972666
MARKUNDI,MKD,WCR,JBP,Madhya Pradesh,"State Highway 11, Madhya Pradesh",25.017393,80.947114
MUDKHED,MUE,SCR,NED,Maharashtra,"Mudkhed, Maharashtra",19.148087,77.509661
MANDI DHANAURA,MNDR,NR,MB,Uttar Pradesh,"Jyotiba Phule Nagar, Uttar Pradesh",28.953119,78.26149799999999
MALLAPPA GATE,MLGT,SCR,,Andhra Pradesh,"Guntakal, Andhra Pradesh",15.225027,77.387152
MAINPURI,MNQ,NCR,PRYJ,Uttar Pradesh,"Mainpuri, Uttar Pradesh",27.216507,79.034774
MALLASANDRA,MLSA,SWR,SBC,Karnataka,"NH 206, Karnataka",13.335173,77.015018
Muktsar,MKS,NR,FZR,Punjab,"Muktsar, Punjab",30.47821,74.514271
MAHIPAL ROAD,MPLR,ER,MALDA,West Bengal,"Lalgola, West Bengal",24.2875453877,88.1911711557
MAKRAULI,MKLI,NR,,Haryana,"Rohtak, Haryana",28.946971,76.62755
MEHNAR ROAD,MNO,ECR,SEE,Bihar,"Bihar, Bihar",25.654307800700003,85.504477691
MUMBAI MATUNGA ROAD,MRU,WR,,Maharashtra,"Mumbai, Maharashtra",19.028606,72.847143
MAHAMANDIR,MMC,NWR,JU,Rajasthan,"Jodhpur, Rajasthan",26.3087448868,73.037935174
