station_code,station_name,category,zone,division,state,total_passengers,total_revenue,source_url
GNGD,GANGADHARPUR,NSG6,ECoR,KUR,Odisha,69585,2301923,https://railway-stations-classification.pages.dev/
GNH,GANGAKHER,NSG5,SCR,NED,Maharashtra,577172,36821484,https://railway-stations-classification.pages.dev/
GNJ,GUNJI,NSG6,SWR,UBL,Karnataka,4369,136390,https://railway-stations-classification.pages.dev/
GNK,Garhnokha,NSG6,ECR,DDU,Bihar,94611,4479543,https://railway-stations-classification.pages.dev/
GNL,Gongle,NSG6,SECR,NGP,Maharashtra,58927,1806264,https://railway-stations-classification.pages.dev/
GNN,GANGINENI,NSG6,SCR,SC,Andhra Pradesh,1513,54550,https://railway-stations-classification.pages.dev/
GNNA,GANGANIA,NSG6,ER,MALDA,Bihar,28604,418180,https://railway-stations-classification.pages.dev/
GNND,JNANDAS KANDRA,NSG6,ER,HWH,West Bengal,8942,251175,https://railway-stations-classification.pages.dev/
GNP,GHANPUR,NSG5,SCR,SC,Telangana,310758,15449345,https://railway-stations-classification.pages.dev/
GNPA,Gonpura,NSG6,ECR,DNR,Bihar,0,0,https://railway-stations-classification.pages.dev/
GNPR,GUNUPUR,NSG5,ECoR,WAT,Odisha,216623,27115805,https://railway-stations-classification.pages.dev/
GNQ,Godhni,NSG6,CR,NGP,Maharashtra,48480,1963475,https://railway-stations-classification.pages.dev/
GNR,GADIGANURU,NSG6,SWR,UBL,Karnataka,5479,166745,https://railway-stations-classification.pages.dev/
GNS,Ghansore,NSG6,SECR,NGP,Madhya Pradesh,216744,8097991,https://railway-stations-classification.pages.dev/
GNT,GUNTUR,NSG2,SCR,GNT,Andhra Pradesh,5928039,1107097582,https://railway-stations-classification.pages.dev/
GNU,GANAUR,NSG4P,NR,DLI,Haryana,2022426,29679113,https://railway-stations-classification.pages.dev/
GO,Ghoti,NSG6,CR,BSL,Maharashtra,24864,1225095,https://railway-stations-classification.pages.dev/
GOA,Gohad Road Halt,NSG6,NCR,JHS,Madhya Pradesh,49487,2911452,https://railway-stations-classification.pages.dev/
GOC,Ponmalai (golden rock),NSG6,SR,TPJ,Tamil Nadu,59665,2220827,https://railway-stations-classification.pages.dev/
GOD,GIDDAR PINDI,NSG6,NR,FZR,Punjab,20629,712803,https://railway-stations-classification.pages.dev/
GODA,GODDA,NSG5,ER,MALDA,Jharkhand,324263,48420655,https://railway-stations-classification.pages.dev/
GOE,Ghograpar,NSG6,NFR,RNY,Assam,156005,1719200,https://railway-stations-classification.pages.dev/
GOGH,Gosaigaonhat,NSG5,NFR,APDJ,Assam,162034,20280763,https://railway-stations-classification.pages.dev/
