station_code,station_name,category,zone,division,state,total_passengers,total_revenue,source_url
,Kodi,NSG6,WR,VADODARA,Gujarat,0,0,https://railway-stations-classification.pages.dev/
AA,Ataria,NSG6,NER,LJN,Uttar Pradesh,201334,2097420,https://railway-stations-classification.pages.dev/
AADR,AMB ANDAURA,NSG4,NR,UMB,Himachal Pradesh,298357,125417242,https://railway-stations-classification.pages.dev/
AAG,ANGAR,NSG6,CR,SUR,Maharashtra,7480,481100,https://railway-stations-classification.pages.dev/
AAGH,Antagarh,NSG6,SECR,R,Chhattisgarh,59184,3415535,https://railway-stations-classification.pages.dev/
AAL,Amlai,NSG5,SECR,BSP,Madhya Pradesh,200483,23115618,https://railway-stations-classification.pages.dev/
AAM,Angadipuram,NSG5,SR,PGT,Kerala,932343,53771471,https://railway-stations-classification.pages.dev/
AAP,AMBIYA PUR,NSG6,NCR,PRYJ,Uttar Pradesh,77901,2250755,https://railway-stations-classification.pages.dev/
AAR,Adesar,NSG6,WR,AHMEDABAD,Gujarat,15214,1099840,https://railway-stations-classification.pages.dev/
AAS,ASARANADA,NSG6,,JU,Rajasthan,29935,370140,https://railway-stations-classification.pages.dev/
AAY,Aralvaymoli,NSG6,SR,TVC,Tamil Nadu,20851,2952935,https://railway-stations-classification.pages.dev/
AB,Ambur,NSG4,SR,MAS,Tamil Nadu,1064014,101617651,https://railway-stations-classification.pages.dev/
ABD,Ambli road,NSG6,WR,AHMEDABAD,Gujarat,38600,7946679,https://railway-stations-classification.pages.dev/
ABFC,Ambari Falakata,NSG6,NFR,KIR,West Bengal,79319,888665,https://railway-stations-classification.pages.dev/
ABI,Ambaturai,NSG6,SR,MDU,Tamil Nadu,88608,6027962,https://railway-stations-classification.pages.dev/
ABKP,Ambikapur,NSG4,SECR,BSP,Chhattisgarh,651442,165046787,https://railway-stations-classification.pages.dev/
ABLE,Ambale,NSG5,CR,PUNE,Maharashtra,43997,29708858,https://railway-stations-classification.pages.dev/
ABO,ASTHAL BOHAR,NSG6,NR,DLI,Haryana,57439,780230,https://railway-stations-classification.pages.dev/
ABP,AKBARPUR,NSG3,NR,LKO,Uttar Pradesh,911794,264164199,https://railway-stations-classification.pages.dev/
ABR,Aburoad,NSG3,NWR,AII,Rajasthan,1336074,479611000,https://railway-stations-classification.pages.dev/
ABRV,Ambari Richhavi,NSG6,WR,VADODARA,Gujarat,1316,57385,https://railway-stations-classification.pages.dev/
ABS,ABOHAR,NSG4,NR,UMB,Punjab,1298175,109696368,https://railway-stations-classification.pages.dev/
ABSA,Ambassa,NSG5,NFR,LMG,Tripura,515015,45451777,https://railway-stations-classification.pages.dev/
ABX,AMBARI,NSG6,SCR,NED,Maharashtra,6054,267800,https://railway-stations-classification.pages.dev/
ACG,Achegaon,NSG6,CR,BSL,Maharashtra,4766,182810,https://railway-stations-classification.pages.dev/
ACLE,AZIMGANJ CITY,NSG6,ER,HWH,West Bengal,286885,6781705,https://railway-stations-classification.pages.dev/
ACPR,Archipathar,NSG6,NFR,TSK,Assam,40024,2212340,https://railway-stations-classification.pages.dev/
AD,ADONI,NSG4,SCR,GTL,Andhra Pradesh,1130119,197785610,https://railway-stations-classification.pages.dev/
ADB,ADILABAD,NSG4,SCR,NED,Telangana,731446,113254326,https://railway-stations-classification.pages.dev/
ADD,Adas Road,NSG6,WR,VADODARA,Gujarat,36244,336135,https://railway-stations-classification.pages.dev/
ADE,Adri Road,NSG6,WR,BHAVNAGAR,Gujarat,4146,218550,https://railway-stations-classification.pages.dev/
ADF,Adina,NSG6,NFR,KIR,West Bengal,70281,2450735,https://railway-stations-classification.pages.dev/
ADI,Ahmedabad,NSG1,WR,AHMEDABAD,Gujarat,18260021,10103556329,https://railway-stations-classification.pages.dev/
ADPT,Andipatti,NSG6,SR,MDU,Tamil Nadu,36448,4329555,https://railway-stations-classification.pages.dev/
ADQ,Adhikari,NSG6,NFR,KIR,West Bengal,40656,691965,https://railway-stations-classification.pages.dev/
ADR,MANDI ADAMPUR,NSG5,,BKN,Haryana,812930,20300308,https://railway-stations-classification.pages.dev/
ADRA,Adra,NSG4,SER,ADRA,West Bengal,2135701,118292996,https://railway-stations-classification.pages.dev/
ADT,Aduturai,NSG5,SR,TPJ,Tamil Nadu,191493,14084764,https://railway-stations-classification.pages.dev/
ADTL,ADHARTAL,NSG6,WCR,JBP,Madhya Pradesh,59218,3752038,https://railway-stations-classification.pages.dev/
ADTP,Adityapur,NSG5,SER,CKP,Jharkhand,357731,10438961,https://railway-stations-classification.pages.dev/
ADX,Adapur,NSG6,ECR,SPJ,Bihar,118161,4152665,https://railway-stations-classification.pages.dev/
AE,Amreli,NSG6,WR,BHAVNAGAR,Gujarat,66552,3007455,https://railway-stations-classification.pages.dev/
AEH,Anant Paith,NSG6,NCR,JHS,Madhya Pradesh,1322,47980,https://railway-stations-classification.pages.dev/
AEK,ANEKAL ROAD,NSG6,SWR,SBC,Karnataka,184424,3114975,https://railway-stations-classification.pages.dev/
AEL,ATELI,NSG6,NWR,JAIPUR,Haryana,126820,5344676,https://railway-stations-classification.pages.dev/
AF,AGRA FORT,NSG3,NCR,AGC,Uttar Pradesh,2431060,499712478,https://railway-stations-classification.pages.dev/
AFK,Angamali for kaladi,NSG4,SR,TVC,Kerala,1206746,87996686,https://railway-stations-classification.pages.dev/
AFR,ASAFPUR,NSG6,NR,MB,Uttar Pradesh,153198,6795686,https://railway-stations-classification.pages.dev/
AGA,AGRA CITY,NSG6,NCR,AGC,Uttar Pradesh,13010,551867,https://railway-stations-classification.pages.dev/
AGB,AMBAGAON,NSG6,ECoR,WAT,Odisha,3070,153465,https://railway-stations-classification.pages.dev/
AGC,AGRA CANTT,NSG2,NCR,AGC,Uttar Pradesh,7487838,2725902830,https://railway-stations-classification.pages.dev/
AGD,Agasod,NSG6,NCR,JHS,Madhya Pradesh,1925,63390,https://railway-stations-classification.pages.dev/
AGI,Amguri,NSG5,NFR,TSK,Assam,219414,17248310,https://railway-stations-classification.pages.dev/
AGM,Agaram sibbandi,NSG6,SR,TPJ,Tamil Nadu,1274,60235,https://railway-stations-classification.pages.dev/
AGMN,Agomoni,NSG6,NFR,APDJ,Assam,6113,311720,https://railway-stations-classification.pages.dev/
AGN,Amgaon,NSG5,SECR,NGP,Maharashtra,331001,23543851,https://railway-stations-classification.pages.dev/
AGQ,Asirgarh Road,NSG6,CR,BSL,Madhya Pradesh,2,165,https://railway-stations-classification.pages.dev/
AGR,Amargarh,NSG6,WR,RATLAM,Madhya Pradesh,16931,965738,https://railway-stations-classification.pages.dev/
AGT,Agthori,NSG6,NFR,LMG,Assam,15315,408720,https://railway-stations-classification.pages.dev/
AGTL,Agartala,NSG3,NFR,LMG,Tripura,2200988,525863796,https://railway-stations-classification.pages.dev/
AGX,Agastiampalli,NSG6,SR,TPJ,Tamil Nadu,9467,237225,https://railway-stations-classification.pages.dev/
AGY,AGORI KHAS,NSG6,NCR,PRYJ,Uttar Pradesh,284,16905,https://railway-stations-classification.pages.dev/
AGZ,AMAGURA,NSG6,ECoR,WAT,Chhattisgarh,3192,149443,https://railway-stations-classification.pages.dev/
AH,ACHHNERA JN,NSG5,NCR,AGC,Uttar Pradesh,820853,36952537,https://railway-stations-classification.pages.dev/
AHA,ABHAIPUR,NSG5,ER,MALDA,Bihar,251875,28046388,https://railway-stations-classification.pages.dev/
AHH,AHMED GARH,NSG6,NR,UMB,Punjab,195680,6802687,https://railway-stations-classification.pages.dev/
AHJU,AHJU,NSG6,NR,FZR,Himachal Pradesh,1835,51920,https://railway-stations-classification.pages.dev/
AHO,Adrash Nagar,NSG6,NWR,AII,Rajasthan,26868,925000,https://railway-stations-classification.pages.dev/
AHZ,ADHINPUR,NSG6,NR,LKO,Uttar Pradesh,1412,61590,https://railway-stations-classification.pages.dev/
AI,Adipur,NSG5,WR,AHMEDABAD,Gujarat,90955,37257315,https://railway-stations-classification.pages.dev/
AIA,AJERKA,NSG6,NWR,JAIPUR,Rajasthan,104626,3246260,https://railway-stations-classification.pages.dev/
AIG,AIGAWAN,NSG6,NR,MB,Uttar Pradesh,2152,69285,https://railway-stations-classification.pages.dev/
AII,Ajmer,NSG2,NWR,AII,Rajasthan,7895415,3213559000,https://railway-stations-classification.pages.dev/
AIT,Ait Jn,NSG6,NCR,JHS,Uttar Pradesh,57230,3847583,https://railway-stations-classification.pages.dev/
AJ,AJGAIN,NSG6,NR,LKO,Uttar Pradesh,216990,3465717,https://railway-stations-classification.pages.dev/
AJE,Anjar,NSG5,WR,AHMEDABAD,Gujarat,142353,56770681,https://railway-stations-classification.pages.dev/
AJH,AJHAI,NSG6,NCR,AGC,Uttar Pradesh,48988,1190308,https://railway-stations-classification.pages.dev/
AJI,ANJI SHAHABAD,NSG5,NR,MB,Uttar Pradesh,188008,16409800,https://railway-stations-classification.pages.dev/
AJIT,AJIT,NSG6,NWR,JU,Rajasthan,74391,1963025,https://railway-stations-classification.pages.dev/
AJJ,Arakkonam jn,NSG2P,SR,MAS,Tamil Nadu,10652607,439325477,https://railway-stations-classification.pages.dev/
AJL,AJITWAL,NSG6,NR,FZR,Punjab,27350,819408,https://railway-stations-classification.pages.dev/
AJN,Ajnod,NSG6,WR,RATLAM,Madhya Pradesh,274001,2973075,https://railway-stations-classification.pages.dev/
AJNI,Ajni,NSG4,CR,NGP,Maharashtra,526626,158724610,https://railway-stations-classification.pages.dev/
AJP,Ajjampur,NSG5,SWR,MYS,Karnataka,184627,14430269,https://railway-stations-classification.pages.dev/
AJR,AJAIBPUR,NSG6,NCR,PRYJ,Uttar Pradesh,486222,6418491,https://railway-stations-classification.pages.dev/
AJRE,Aujuri,NSG6,NFR,LMG,Assam,18564,319115,https://railway-stations-classification.pages.dev/
AJU,Arjuni,NSG6,SECR,NGP,Maharashtra,165963,4806587,https://railway-stations-classification.pages.dev/
AK,Akola,NSG3,CR,BSL,Maharashtra,4445831,840352089,https://railway-stations-classification.pages.dev/
AKD,Akodia,NSG5,WR,RATLAM,Madhya Pradesh,266466,18607351,https://railway-stations-classification.pages.dev/
AKE,AKANAPET,NSG6,SCR,HYB,Telangana,133582,6391195,https://railway-stations-classification.pages.dev/
AKI,Adarki,NSG6,CR,PUNE,Maharashtra,310,14955,https://railway-stations-classification.pages.dev/
AKJ,AKBARGANJ,NSG6,NR,LKO,Uttar Pradesh,8744,1349111,https://railway-stations-classification.pages.dev/
AKK,Akkihebbal,NSG6,SWR,MYS,Karnataka,78567,2380892,https://railway-stations-classification.pages.dev/
AKLA,AKLERA,NSG6,WCR,KOTA,Rajasthan,6707,232495,https://railway-stations-classification.pages.dev/
AKM,Arambakkam,NSG6,SR,MAS,Tamil Nadu,405711,5404255,https://railway-stations-classification.pages.dev/
AKN,AKBARNAGAR,NSG5,ER,MALDA,Bihar,442091,15553804,https://railway-stations-classification.pages.dev/
AKOR,AKALKOT ROAD,NSG5,CR,SUR,Maharashtra,268458,33880938,https://railway-stations-classification.pages.dev/
AKP,ANAKAPALLE,NSG3,SCR,BZA,Andhra Pradesh,1725587,253791285,https://railway-stations-classification.pages.dev/
AKR,Akolner,NSG6,CR,PUNE,Maharashtra,0,0,https://railway-stations-classification.pages.dev/
AKS,Ankuspur,NSG6,NER,BSB,Uttar Pradesh,10373,414485,https://railway-stations-classification.pages.dev/
AKT,Akaltara,NSG4,SECR,BSP,Chhattisgarh,608251,119373461,https://railway-stations-classification.pages.dev/
AKV,Ankleshwar,NSG3,WR,VADODARA,Gujarat,2691050,216422154,https://railway-stations-classification.pages.dev/
AKVD,AKIVIDU,NSG5,SCR,BZA,Andhra Pradesh,609593,62620909,https://railway-stations-classification.pages.dev/
AKW,Akona,NSG6,NCR,JHS,Uttar Pradesh,45976,1489775,https://railway-stations-classification.pages.dev/
AL,ATTILI,NSG6,SCR,BZA,Andhra Pradesh,60182,634555,https://railway-stations-classification.pages.dev/
ALAI,ALAI,NSG6,NWR,JU,Rajasthan,3368,226415,https://railway-stations-classification.pages.dev/
ALAL,ALAL,NSG6,NR,UMB,Punjab,1873,75595,https://railway-stations-classification.pages.dev/
ALAU,Alau,NSG6,WR,BHAVNAGAR,Gujarat,609,34755,https://railway-stations-classification.pages.dev/
ALB,Aliya wada,NSG6,WR,RAJKOT,Gujarat,5271,403239,https://railway-stations-classification.pages.dev/
ALER,ALER,NSG5,SCR,SC,Telangana,338539,10337077,https://railway-stations-classification.pages.dev/
ALGP,Algapur,NSG6,NFR,LMG,Assam,21571,248185,https://railway-stations-classification.pages.dev/
ALJ,Aliganj,NSG6,NER,IZN,Uttar Pradesh,176952,3106815,https://railway-stations-classification.pages.dev/
ALJN,ALIGARH JN,NSG3,NCR,PRYJ,Uttar Pradesh,5482644,732541408,https://railway-stations-classification.pages.dev/
ALK,Alakkudi,NSG6,SR,TPJ,Tamil Nadu,130885,1097770,https://railway-stations-classification.pages.dev/
ALLP,Alappuzha,NSG3,SR,TVC,Kerala,2262950,344081494,https://railway-stations-classification.pages.dev/
ALM,ALAMANDA,NSG6,ECoR,WAT,Andhra Pradesh,119539,1028542,https://railway-stations-classification.pages.dev/
ALMG,Alamganj,NSG6,NFR,RNY,Assam,0,0,https://railway-stations-classification.pages.dev/
ALMR,Alampar,NSG6,WR,BHAVNAGAR,Gujarat,36707,997825,https://railway-stations-classification.pages.dev/
ALN,Alandi,NSG6,CR,PUNE,Maharashtra,700,24105,https://railway-stations-classification.pages.dev/
ALNI,ALNIYA,NSG6,WCR,KOTA,Rajasthan,11504,437095,https://railway-stations-classification.pages.dev/
ALP,Alapakam,NSG6,SR,TPJ,Tamil Nadu,17237,292895,https://railway-stations-classification.pages.dev/
ALPR,ALAMPUR ROAD,NSG6,SCR,HYB,Andhra Pradesh,2707,106835,https://railway-stations-classification.pages.dev/
ALS,Amlori Sarsar,NSG6,NER,BSB,Bihar,26862,671080,https://railway-stations-classification.pages.dev/
ALU,Ariyalur,NSG5,SR,TPJ,Tamil Nadu,898306,89090860,https://railway-stations-classification.pages.dev/
ALUH,Alauli ###,NSG6,ECR,SPJ,Bihar,0,0,https://railway-stations-classification.pages.dev/
ALUR,ALUR,NSG6,SWR,MYS,Karnataka,509,32874,https://railway-stations-classification.pages.dev/
AMB,AMBODALA,NSG5,ECoR,SBP,Odisha,106334,14092235,https://railway-stations-classification.pages.dev/
AMC,Amritapura,NSG6,SWR,MYS,Karnataka,1271,57267,https://railway-stations-classification.pages.dev/
AME,AMETHI,NSG4,NR,LKO,Uttar Pradesh,470801,137773621,https://railway-stations-classification.pages.dev/
AMG,ALAMNAGAR,NSG5,NR,LKO,Uttar Pradesh,140032,15819318,https://railway-stations-classification.pages.dev/
AMGA,Amjonga,NSG6,NFR,RNY,Assam,9828,362595,https://railway-stations-classification.pages.dev/
AMH,Azamgarh,NSG3,NER,BSB,Uttar Pradesh,1304360,533616952,https://railway-stations-classification.pages.dev/
AMI,Amravati,NSG3,CR,BSL,Maharashtra,1400027,332082419,https://railway-stations-classification.pages.dev/
AMIN,AMIN,NSG6,NR,DLI,Haryana,15592,432700,https://railway-stations-classification.pages.dev/
AML,Amalsad,NSG5,WR,MUMBAI,Gujarat,1408320,14502285,https://railway-stations-classification.pages.dev/
AMLA,Amla,NSG5,CR,NGP,Madhya Pradesh,652729,75136339,https://railway-stations-classification.pages.dev/
AMLI,AMLI,NSG6,WCR,KOTA,Rajasthan,27029,1148058,https://railway-stations-classification.pages.dev/
AMM,Adirampattinam,NSG6,SR,TPJ,Tamil Nadu,15889,1840700,https://railway-stations-classification.pages.dev/
AMO,Amolwa,NSG6,ECR,SPJ,Bihar,1017,17615,https://railway-stations-classification.pages.dev/
AMP,AHAMADPUR JN,NSG5,ER,HWH,West Bengal,803393,24215914,https://railway-stations-classification.pages.dev/
AMPA,Ambalapuzha,NSG5,SR,TVC,Kerala,366549,30762166,https://railway-stations-classification.pages.dev/
AMRO,AMROHA,NSG5,NR,MB,Uttar Pradesh,1363650,96732996,https://railway-stations-classification.pages.dev/
AMS,AMAUSI,NSG6,NR,LKO,Uttar Pradesh,39341,986303,https://railway-stations-classification.pages.dev/
AMSA,Ammasandra,NSG6,SWR,MYS,Karnataka,308328,4717525,https://railway-stations-classification.pages.dev/
AMW,AMANWADI,NSG6,SCR,NED,Maharashtra,26316,791360,https://railway-stations-classification.pages.dev/
AN,Amalner,NSG4,WR,MUMBAI,Maharashtra,763695,114862620,https://railway-stations-classification.pages.dev/
ANA,ASLANA,NSG6,WCR,JBP,Madhya Pradesh,10192,399420,https://railway-stations-classification.pages.dev/
ANAS,Anas,NSG6,WR,RATLAM,Gujarat,45672,2730853,https://railway-stations-classification.pages.dev/
ANB,AMMANABROLU,NSG6,SCR,BZA,Andhra Pradesh,60767,2262753,https://railway-stations-classification.pages.dev/
ANDI,ADARSH NAGAR DELHI,NSG5,NR,DLI,Delhi,191135,29092722,https://railway-stations-classification.pages.dev/
ANDN,Anand nagar Jn,NSG4,NER,LJN,Uttar Pradesh,907165,147640386,https://railway-stations-classification.pages.dev/
ANE,ANANTARAJUPET,NSG6,SCR,GTL,Andhra Pradesh,9120,337660,https://railway-stations-classification.pages.dev/
ANF,Anandapuram,NSG5,SWR,MYS,Karnataka,71047,10144804,https://railway-stations-classification.pages.dev/
ANG,Ahmednagar,NSG3,CR,PUNE,Maharashtra,1075834,374634973,https://railway-stations-classification.pages.dev/
ANGL,ANGUL,NSG4,ECoR,KUR,Odisha,847119,194149336,https://railway-stations-classification.pages.dev/
ANH,Ankorha,NSG6,ECR,DDU,Bihar,45883,1742030,https://railway-stations-classification.pages.dev/
ANI,Ajanti,NSG6,WR,RATLAM,Madhya Pradesh,191,8535,https://railway-stations-classification.pages.dev/
ANK,Ankai,NSG6,CR,BSL,Maharashtra,2036,137690,https://railway-stations-classification.pages.dev/
ANLG,Aman Lodge,NSG4P,CR,BB,Maharashtra,189831,12547134,https://railway-stations-classification.pages.dev/
ANMD,ARANG MAHANANDI,NSG6,ECoR,SBP,Chhattisgarh,26778,687857,https://railway-stations-classification.pages.dev/
ANND,Anand,NSG3,WR,VADODARA,Gujarat,4074083,457188386,https://railway-stations-classification.pages.dev/
ANNG,Anna nagar,NSG6,SR,MAS,Tamil Nadu,0,0,https://railway-stations-classification.pages.dev/
ANP,Anandatandavapuram,NSG6,SR,TPJ,Tamil Nadu,15593,389805,https://railway-stations-classification.pages.dev/
ANPR,Anpara,NSG5,ECR,DHN,Uttar Pradesh,29530,7993717,https://railway-stations-classification.pages.dev/
ANR,Anara,NSG5,SER,ADRA,West Bengal,412424,14613293,https://railway-stations-classification.pages.dev/
ANSB,ANANDPUR SAHIB,NSG5,NR,UMB,Punjab,428740,51366495,https://railway-stations-classification.pages.dev/
ANT,ANANTNAG,NSG5,NR,FZR,Jammu And Kashmir,628973,16096450,https://railway-stations-classification.pages.dev/
ANU,Anangur,NSG6,SR,SA,Tamil Nadu,8567,472200,https://railway-stations-classification.pages.dev/
ANV,ANNAVARAM,NSG4,SCR,BZA,Andhra Pradesh,702630,119953113,https://railway-stations-classification.pages.dev/
ANVT,ANAND VIHAR TERMINAL,NSG1,NR,DLI,Delhi,12235275,8449855785,https://railway-stations-classification.pages.dev/
ANY,Arumuganeri,NSG6,SR,MDU,Tamil Nadu,62116,2675992,https://railway-stations-classification.pages.dev/
AO,AONLA,NSG5,NR,MB,Uttar Pradesh,286967,24217550,https://railway-stations-classification.pages.dev/
AONI,Amoni,NSG6,NFR,LMG,Assam,11281,634440,https://railway-stations-classification.pages.dev/
AP,Ashokapuram,NSG6,SWR,MYS,Karnataka,237199,2762315,https://railway-stations-classification.pages.dev/
APA,Amarpura,NSG6,NWR,AII,Rajasthan,1040,23000,https://railway-stations-classification.pages.dev/
APD,Alipurduar,NSG6,NFR,APDJ,West Bengal,31843,628130,https://railway-stations-classification.pages.dev/
APDJ,Alipurduar Jn,NSG5,NFR,APDJ,West Bengal,267259,96523840,https://railway-stations-classification.pages.dev/
APG,ANUPGANJ,NSG6,NR,LKO,Uttar Pradesh,1614,82815,https://railway-stations-classification.pages.dev/
APH,ANUPGARH,NSG5,,BKN,Rajasthan,460568,25268695,https://railway-stations-classification.pages.dev/
API,Akkaraippatti,NSG6,SR,MDU,Tamil Nadu,4186,184215,https://railway-stations-classification.pages.dev/
APJ,AMARPUR JORASI,NSG6,,JAIPUR,Haryana,20385,635935,https://railway-stations-classification.pages.dev/
APK,Aruppukkottai,NSG5,SR,MDU,Tamil Nadu,98113,23686049,https://railway-stations-classification.pages.dev/
APL,APPIKATLA,NSG6,SCR,BZA,Andhra Pradesh,11960,413740,https://railway-stations-classification.pages.dev/
APR,Anuppur,NSG3,SECR,BSP,Madhya Pradesh,1111783,213853049,https://railway-stations-classification.pages.dev/
APT,ANAPARTHI,NSG5,SCR,BZA,Andhra Pradesh,508980,80820605,https://railway-stations-classification.pages.dev/
APTA,Apta,NSG6,CR,BB,Maharashtra,158063,1604678,https://railway-stations-classification.pages.dev/
AQG,ASHAPURA GOMAT,NSG6,NWR,JU,Rajasthan,3348,890369,https://railway-stations-classification.pages.dev/
ARA,Ara,NSG3,ECR,DNR,Bihar,5772561,987242241,https://railway-stations-classification.pages.dev/
ARAG,ARAG,NSG6,CR,SUR,Maharashtra,14727,883405,https://railway-stations-classification.pages.dev/
ARCL,Arunachal,NSG6,NFR,LMG,Assam,29202,3708683,https://railway-stations-classification.pages.dev/
ARD,Amrada,NSG6,SER,KGP,Odisha,105413,3232678,https://railway-stations-classification.pages.dev/
ARE,ARNETHA,NSG6,WCR,KOTA,Rajasthan,7423,394545,https://railway-stations-classification.pages.dev/
ARG,Angarghat,NSG6,ECR,SPJ,Bihar,54826,830550,https://railway-stations-classification.pages.dev/
ARGD,Arigada,NSG6,ECR,DHN,Jharkhand,23095,944120,https://railway-stations-classification.pages.dev/
ARI,Antri,NSG6,NCR,JHS,Madhya Pradesh,10725,464670,https://railway-stations-classification.pages.dev/
ARJ,Aunrihar Jn,NSG4,NER,BSB,Uttar Pradesh,682253,115409072,https://railway-stations-classification.pages.dev/
ARK,ARAKU,NSG4,ECoR,WAT,Andhra Pradesh,167024,28572123,https://railway-stations-classification.pages.dev/
ARL,AraulMakanpur,NSG6,NER,IZN,Uttar Pradesh,401615,9961300,https://railway-stations-classification.pages.dev/
ARMU,ARMOOR,NSG6,SCR,SC,Telangana,4930,589115,https://railway-stations-classification.pages.dev/
ARN,ARAND,NSG6,ECoR,SBP,Chhattisgarh,2248,81470,https://railway-stations-classification.pages.dev/
ARNA,ARNIA,NSG6,NWR,JAIPUR,Rajasthan,56929,1540895,https://railway-stations-classification.pages.dev/
ARP,ATRAMPUR,NSG6,NR,LKO,Uttar Pradesh,6025,312510,https://railway-stations-classification.pages.dev/
ARPR,Alirajpur,NSG6,WR,VADODARA,Gujarat,16174,947520,https://railway-stations-classification.pages.dev/
ARQ,Arraria Court,NSG4,NFR,KIR,Bihar,531156,129211143,https://railway-stations-classification.pages.dev/
ARR,Araria,NSG6,NFR,KIR,Bihar,220173,6891446,https://railway-stations-classification.pages.dev/
ARV,Arni road,NSG6,SR,TPJ,Tamil Nadu,50367,1961139,https://railway-stations-classification.pages.dev/
AS,ARJANSAR,NSG6,NWR,BKN,Rajasthan,40985,1856410,https://railway-stations-classification.pages.dev/
ASAF,ASIFABAD ROAD,NSG6,SCR,SC,Telangana,70298,5184096,https://railway-stations-classification.pages.dev/
ASB,Asanboni,NSG6,SER,CKP,Jharkhand,100694,813543,https://railway-stations-classification.pages.dev/
ASCE,ATHSARAI,NSG6,NCR,PRYJ,Uttar Pradesh,3926,155755,https://railway-stations-classification.pages.dev/
ASD,Ambasamudram,NSG5,SR,MDU,Tamil Nadu,761774,29467356,https://railway-stations-classification.pages.dev/
ASE,ASAUDAH,NSG6,NR,DLI,Haryana,177189,1068615,https://railway-stations-classification.pages.dev/
ASH,Aishbagh,NSG3,NER,LJN,Uttar Pradesh,1235245,472083798,https://railway-stations-classification.pages.dev/
ASK,Arsikere,NSG3,SWR,MYS,Karnataka,1869005,212094155,https://railway-stations-classification.pages.dev/
ASKN,ASHOK NAGAR,NSG5,WCR,BPL,Madhya Pradesh,881370,77518116,https://railway-stations-classification.pages.dev/
ASL,Aslaoda,NSG6,WR,RATLAM,Madhya Pradesh,34391,735570,https://railway-stations-classification.pages.dev/
ASLU,ASLU,NSG6,NWR,BKN,Rajasthan,61064,894875,https://railway-stations-classification.pages.dev/
ASN,ASANSOL,NSG2,ER,ASN,West Bengal,9682721,1713311560,https://railway-stations-classification.pages.dev/
ASP,ASPARI,NSG6,SCR,GTL,Andhra Pradesh,6,295,https://railway-stations-classification.pages.dev/
ASR,AMRITSAR Jn,NSG2,NR,FZR,Punjab,6769614,2944331103,https://railway-stations-classification.pages.dev/
AST,ASAOTI,NSG6,NR,DLI,Haryana,492921,3168429,https://railway-stations-classification.pages.dev/
ASV,Asarva,NSG3,WR,AHMEDABAD,Gujarat,1071039,441805670,https://railway-stations-classification.pages.dev/
ATA,Ata,NSG6,NCR,JHS,Uttar Pradesh,13953,808390,https://railway-stations-classification.pages.dev/
ATDA,Atladara,NSG6,WR,VADODARA,Gujarat,0,0,https://railway-stations-classification.pages.dev/
ATE,Atarra,NSG4,NCR,JHS,Uttar Pradesh,599092,110958727,https://railway-stations-classification.pages.dev/
ATH,ANTAH,NSG6,WCR,KOTA,Rajasthan,86572,5528759,https://railway-stations-classification.pages.dev/
ATL,Athmal Gola,NSG6,ECR,DNR,Bihar,167834,2474545,https://railway-stations-classification.pages.dev/
ATM,Altagram,NSG6,NFR,APDJ,West Bengal,1454,61130,https://railway-stations-classification.pages.dev/
ATMO,AITHAL,NSG6,NR,MB,Uttar Pradesh,6529,277265,https://railway-stations-classification.pages.dev/
ATNR,Awtar Nagar,NSG6,ECR,SEE,Bihar,13124,415230,https://railway-stations-classification.pages.dev/
ATP,ANANTAPUR,NSG3,SCR,GTL,Andhra Pradesh,1861162,382704611,https://railway-stations-classification.pages.dev/
ATPA,AWANTIPURA,NSG6,NR,FZR,Jammu And Kashmir,186793,4001787,https://railway-stations-classification.pages.dev/
ATQ,Arantangi,NSG6,SR,TPJ,Tamil Nadu,54287,8242435,https://railway-stations-classification.pages.dev/
ATR,Attar,NSG6,WR,RATLAM,Madhya Pradesh,159,7155,https://railway-stations-classification.pages.dev/
ATRU,ATRU,NSG6,WCR,KOTA,Rajasthan,84746,5447085,https://railway-stations-classification.pages.dev/
ATS,ATTABIRA,NSG6,ECoR,SBP,Odisha,46134,5780857,https://railway-stations-classification.pages.dev/
ATT,ATARI,NSG6,NR,FZR,Punjab,11393,146079,https://railway-stations-classification.pages.dev/
ATU,Attur,NSG5,SR,SA,Tamil Nadu,185013,16351849,https://railway-stations-classification.pages.dev/
ATUL,Atul,NSG6,WR,MUMBAI,Gujarat,74431,956220,https://railway-stations-classification.pages.dev/
ATWN,Asthwan,NSG6,ECR,DNR,Bihar,0,0,https://railway-stations-classification.pages.dev/
AUB,Alluabari Road,NSG5,NFR,KIR,West Bengal,431340,89225692,https://railway-stations-classification.pages.dev/
AUBR,Anugrah Narayan Road,NSG3,ECR,DDU,Bihar,1120573,271691018,https://railway-stations-classification.pages.dev/
AUL,Agsauli,NSG6,NER,IZN,Uttar Pradesh,130341,4635490,https://railway-stations-classification.pages.dev/
AUNG,AUNG,NSG6,NCR,PRYJ,Uttar Pradesh,21632,612110,https://railway-stations-classification.pages.dev/
AUR,ATRAULI ROAD,NSG6,NR,MB,Uttar Pradesh,69628,2455920,https://railway-stations-classification.pages.dev/
AUS,ANUP SHAHR,NSG6,NWR,BKN,Rajasthan,67450,1964470,https://railway-stations-classification.pages.dev/
AUWA,Auwa,NSG6,NWR,AII,Rajasthan,1834,106000,https://railway-stations-classification.pages.dev/
